Transaction_Text,Amount,Debit_Account,Credit_Account,Transaction_Type
Employee wages paid,288296,Salary Expense,Bank,Salary Payment
Salary paid to employees,498757,Salary Expense,Bank,Salary Payment
Payroll expense booked,445836,Salary Expense,Bank,Salary Payment
Salary transfer through bank,493208,Salary Expense,Bank,Salary Payment
Payroll expense booked,412282,Salary Expense,Bank,Salary Payment
Payroll expense booked,119538,Salary Expense,Bank,Salary Payment
Salary paid to employees,337051,Salary Expense,Bank,Salary Payment
Monthly payroll processed,355184,Salary Expense,Bank,Salary Payment
Monthly payroll processed,248413,Salary Expense,Bank,Salary Payment
Monthly payroll processed,487103,Salary Expense,Bank,Salary Payment
Salary transfer through bank,359461,Salary Expense,Bank,Salary Payment
Salary transfer through bank,267533,Salary Expense,Bank,Salary Payment
Payroll expense booked,96722,Salary Expense,Bank,Salary Payment
Monthly payroll processed,488777,Salary Expense,Bank,Salary Payment
Monthly payroll processed,367723,Salary Expense,Bank,Salary Payment
Salary transfer through bank,57992,Salary Expense,Bank,Salary Payment
Payroll expense booked,213599,Salary Expense,Bank,Salary Payment
Office premises rent paid,492224,Rent Expense,Bank,Office Rent
Office rent paid,255182,Rent Expense,Bank,Office Rent
Rent payment through bank,313864,Rent Expense,Bank,Office Rent
Office premises rent paid,91945,Rent Expense,Bank,Office Rent
Monthly building rent,298843,Rent Expense,Bank,Office Rent
Office premises rent paid,303099,Rent Expense,Bank,Office Rent
Commercial rent transfer,268686,Rent Expense,Bank,Office Rent
Office rent paid,155926,Rent Expense,Bank,Office Rent
Rent payment through bank,234839,Rent Expense,Bank,Office Rent
Monthly building rent,476680,Rent Expense,Bank,Office Rent
Commercial rent transfer,77297,Rent Expense,Bank,Office Rent
Office rent paid,177103,Rent Expense,Bank,Office Rent
Commercial rent transfer,320175,Rent Expense,Bank,Office Rent
Office rent paid,429088,Rent Expense,Bank,Office Rent
Office premises rent paid,266951,Rent Expense,Bank,Office Rent
Office rent paid,285814,Rent Expense,Bank,Office Rent
Office rent paid,271579,Rent Expense,Bank,Office Rent
Office premises rent paid,454135,Rent Expense,Bank,Office Rent
Monthly building rent,6917,Rent Expense,Bank,Office Rent
Office premises rent paid,29147,Rent Expense,Bank,Office Rent
Office premises rent paid,363043,Rent Expense,Bank,Office Rent
Commercial rent transfer,312320,Rent Expense,Bank,Office Rent
Rent payment through bank,15601,Rent Expense,Bank,Office Rent
Commercial rent transfer,137697,Rent Expense,Bank,Office Rent
Office rent paid,235649,Rent Expense,Bank,Office Rent
Office rent paid,453436,Rent Expense,Bank,Office Rent
Office rent paid,465736,Rent Expense,Bank,Office Rent
Office rent paid,398111,Rent Expense,Bank,Office Rent
Office rent paid,78498,Rent Expense,Bank,Office Rent
Office rent paid,449866,Rent Expense,Bank,Office Rent
Monthly building rent,19112,Rent Expense,Bank,Office Rent
Office rent paid,90227,Rent Expense,Bank,Office Rent
Commercial rent transfer,252965,Rent Expense,Bank,Office Rent
Rent payment through bank,369733,Rent Expense,Bank,Office Rent
Office premises rent paid,116554,Rent Expense,Bank,Office Rent
Monthly building rent,33948,Rent Expense,Bank,Office Rent
Office premises rent paid,65297,Rent Expense,Bank,Office Rent
Commercial rent transfer,495362,Rent Expense,Bank,Office Rent
Commercial rent transfer,165626,Rent Expense,Bank,Office Rent
Rent payment through bank,162489,Rent Expense,Bank,Office Rent
Office premises rent paid,65457,Rent Expense,Bank,Office Rent
Commercial rent transfer,14975,Rent Expense,Bank,Office Rent
Rent payment through bank,84040,Rent Expense,Bank,Office Rent
Rent payment through bank,327301,Rent Expense,Bank,Office Rent
Office rent paid,295750,Rent Expense,Bank,Office Rent
Office rent paid,271680,Rent Expense,Bank,Office Rent
Rent payment through bank,489986,Rent Expense,Bank,Office Rent
Rent payment through bank,481147,Rent Expense,Bank,Office Rent
Monthly building rent,200766,Rent Expense,Bank,Office Rent
Rent payment through bank,14670,Rent Expense,Bank,Office Rent
Commercial rent transfer,240635,Rent Expense,Bank,Office Rent
Commercial rent transfer,474008,Rent Expense,Bank,Office Rent
Commercial rent transfer,287820,Rent Expense,Bank,Office Rent
Office rent paid,236128,Rent Expense,Bank,Office Rent
Office rent paid,402194,Rent Expense,Bank,Office Rent
Office premises rent paid,40978,Rent Expense,Bank,Office Rent
Commercial rent transfer,457772,Rent Expense,Bank,Office Rent
Office premises rent paid,212135,Rent Expense,Bank,Office Rent
Monthly building rent,166894,Rent Expense,Bank,Office Rent
Office rent paid,286180,Rent Expense,Bank,Office Rent
Monthly building rent,382399,Rent Expense,Bank,Office Rent
Office premises rent paid,311400,Rent Expense,Bank,Office Rent
Monthly building rent,318989,Rent Expense,Bank,Office Rent
Commercial rent transfer,241043,Rent Expense,Bank,Office Rent
Office rent paid,124118,Rent Expense,Bank,Office Rent
Monthly building rent,80541,Rent Expense,Bank,Office Rent
Office rent paid,449066,Rent Expense,Bank,Office Rent
Rent payment through bank,308509,Rent Expense,Bank,Office Rent
Office premises rent paid,210323,Rent Expense,Bank,Office Rent
Commercial rent transfer,246093,Rent Expense,Bank,Office Rent
Monthly building rent,456050,Rent Expense,Bank,Office Rent
Office rent paid,93124,Rent Expense,Bank,Office Rent
Office premises rent paid,53008,Rent Expense,Bank,Office Rent
Office premises rent paid,369814,Rent Expense,Bank,Office Rent
Commercial rent transfer,475632,Rent Expense,Bank,Office Rent
Office premises rent paid,118035,Rent Expense,Bank,Office Rent
Monthly building rent,291968,Rent Expense,Bank,Office Rent
Office rent paid,161223,Rent Expense,Bank,Office Rent
Office premises rent paid,56584,Rent Expense,Bank,Office Rent
Office rent paid,497144,Rent Expense,Bank,Office Rent
Rent payment through bank,317494,Rent Expense,Bank,Office Rent
Commercial rent transfer,262303,Rent Expense,Bank,Office Rent
Commercial rent transfer,291196,Rent Expense,Bank,Office Rent
Office premises rent paid,141357,Rent Expense,Bank,Office Rent
Rent payment through bank,415636,Rent Expense,Bank,Office Rent
Office premises rent paid,292426,Rent Expense,Bank,Office Rent
Office premises rent paid,334738,Rent Expense,Bank,Office Rent
Rent payment through bank,268388,Rent Expense,Bank,Office Rent
Rent payment through bank,108360,Rent Expense,Bank,Office Rent
Rent payment through bank,479442,Rent Expense,Bank,Office Rent
Monthly building rent,340173,Rent Expense,Bank,Office Rent
Monthly building rent,351372,Rent Expense,Bank,Office Rent
Commercial rent transfer,17099,Rent Expense,Bank,Office Rent
Commercial rent transfer,299680,Rent Expense,Bank,Office Rent
Office premises rent paid,445748,Rent Expense,Bank,Office Rent
Rent payment through bank,195708,Rent Expense,Bank,Office Rent
Commercial rent transfer,142792,Rent Expense,Bank,Office Rent
Monthly building rent,245413,Rent Expense,Bank,Office Rent
Office premises rent paid,194179,Rent Expense,Bank,Office Rent
Rent payment through bank,258526,Rent Expense,Bank,Office Rent
Monthly building rent,270529,Rent Expense,Bank,Office Rent
Rent payment through bank,124476,Rent Expense,Bank,Office Rent
Office rent paid,190003,Rent Expense,Bank,Office Rent
Office premises rent paid,23523,Rent Expense,Bank,Office Rent
Monthly building rent,213696,Rent Expense,Bank,Office Rent
Office premises rent paid,92252,Rent Expense,Bank,Office Rent
Monthly building rent,497522,Rent Expense,Bank,Office Rent
Commercial rent transfer,458199,Rent Expense,Bank,Office Rent
Commercial rent transfer,95215,Rent Expense,Bank,Office Rent
Rent payment through bank,24757,Rent Expense,Bank,Office Rent
Office rent paid,295916,Rent Expense,Bank,Office Rent
Monthly building rent,272070,Rent Expense,Bank,Office Rent
Monthly building rent,34883,Rent Expense,Bank,Office Rent
Monthly building rent,245797,Rent Expense,Bank,Office Rent
Commercial rent transfer,234544,Rent Expense,Bank,Office Rent
Monthly building rent,108014,Rent Expense,Bank,Office Rent
Rent payment through bank,113970,Rent Expense,Bank,Office Rent
Office rent paid,222498,Rent Expense,Bank,Office Rent
Commercial rent transfer,100475,Rent Expense,Bank,Office Rent
Commercial rent transfer,200527,Rent Expense,Bank,Office Rent
Monthly building rent,348626,Rent Expense,Bank,Office Rent
Monthly building rent,287373,Rent Expense,Bank,Office Rent
Commercial rent transfer,30771,Rent Expense,Bank,Office Rent
Rent payment through bank,278003,Rent Expense,Bank,Office Rent
Office rent paid,171831,Rent Expense,Bank,Office Rent
Monthly building rent,66081,Rent Expense,Bank,Office Rent
Rent payment through bank,274200,Rent Expense,Bank,Office Rent
Monthly building rent,366429,Rent Expense,Bank,Office Rent
Monthly building rent,386606,Rent Expense,Bank,Office Rent
Office rent paid,97482,Rent Expense,Bank,Office Rent
Commercial rent transfer,265518,Rent Expense,Bank,Office Rent
Commercial rent transfer,279763,Rent Expense,Bank,Office Rent
Commercial rent transfer,78966,Rent Expense,Bank,Office Rent
Office premises rent paid,251472,Rent Expense,Bank,Office Rent
Rent payment through bank,217087,Rent Expense,Bank,Office Rent
Commercial rent transfer,286017,Rent Expense,Bank,Office Rent
Office premises rent paid,225025,Rent Expense,Bank,Office Rent
Rent payment through bank,498032,Rent Expense,Bank,Office Rent
Office premises rent paid,21917,Rent Expense,Bank,Office Rent
Rent payment through bank,233340,Rent Expense,Bank,Office Rent
Commercial rent transfer,233801,Rent Expense,Bank,Office Rent
Office rent paid,223021,Rent Expense,Bank,Office Rent
Rent payment through bank,189737,Rent Expense,Bank,Office Rent
Office rent paid,482829,Rent Expense,Bank,Office Rent
Office premises rent paid,386556,Rent Expense,Bank,Office Rent
Office premises rent paid,300374,Rent Expense,Bank,Office Rent
Office rent paid,350010,Rent Expense,Bank,Office Rent
Monthly building rent,275416,Rent Expense,Bank,Office Rent
Office premises rent paid,32104,Rent Expense,Bank,Office Rent
Office rent paid,26605,Rent Expense,Bank,Office Rent
Office rent paid,429527,Rent Expense,Bank,Office Rent
Commercial rent transfer,100954,Rent Expense,Bank,Office Rent
Monthly building rent,378788,Rent Expense,Bank,Office Rent
Rent payment through bank,204874,Rent Expense,Bank,Office Rent
Commercial rent transfer,81059,Rent Expense,Bank,Office Rent
Commercial rent transfer,364522,Rent Expense,Bank,Office Rent
Commercial rent transfer,57179,Rent Expense,Bank,Office Rent
Commercial rent transfer,135123,Rent Expense,Bank,Office Rent
Commercial rent transfer,495486,Rent Expense,Bank,Office Rent
Commercial rent transfer,242815,Rent Expense,Bank,Office Rent
Office rent paid,89392,Rent Expense,Bank,Office Rent
Commercial rent transfer,324248,Rent Expense,Bank,Office Rent
Office rent paid,458687,Rent Expense,Bank,Office Rent
Office premises rent paid,398969,Rent Expense,Bank,Office Rent
Commercial rent transfer,460244,Rent Expense,Bank,Office Rent
Monthly building rent,142717,Rent Expense,Bank,Office Rent
Monthly building rent,444808,Rent Expense,Bank,Office Rent
Office premises rent paid,144414,Rent Expense,Bank,Office Rent
Monthly building rent,399972,Rent Expense,Bank,Office Rent
Monthly building rent,57504,Rent Expense,Bank,Office Rent
Monthly building rent,280250,Rent Expense,Bank,Office Rent
Monthly building rent,375323,Rent Expense,Bank,Office Rent
Monthly building rent,175949,Rent Expense,Bank,Office Rent
Commercial rent transfer,434868,Rent Expense,Bank,Office Rent
Rent payment through bank,319082,Rent Expense,Bank,Office Rent
Commercial rent transfer,72810,Rent Expense,Bank,Office Rent
Rent payment through bank,109295,Rent Expense,Bank,Office Rent
Office rent paid,62358,Rent Expense,Bank,Office Rent
Commercial rent transfer,482911,Rent Expense,Bank,Office Rent
Commercial rent transfer,329784,Rent Expense,Bank,Office Rent
Office rent paid,258292,Rent Expense,Bank,Office Rent
Rent payment through bank,65499,Rent Expense,Bank,Office Rent
Office rent paid,153785,Rent Expense,Bank,Office Rent
Commercial rent transfer,70435,Rent Expense,Bank,Office Rent
Office rent paid,397349,Rent Expense,Bank,Office Rent
Commercial rent transfer,220892,Rent Expense,Bank,Office Rent
Commercial rent transfer,386874,Rent Expense,Bank,Office Rent
Commercial rent transfer,265080,Rent Expense,Bank,Office Rent
Rent payment through bank,97039,Rent Expense,Bank,Office Rent
Commercial rent transfer,174767,Rent Expense,Bank,Office Rent
Office premises rent paid,193859,Rent Expense,Bank,Office Rent
Commercial rent transfer,393517,Rent Expense,Bank,Office Rent
Office premises rent paid,8599,Rent Expense,Bank,Office Rent
Commercial rent transfer,173531,Rent Expense,Bank,Office Rent
Office rent paid,287439,Rent Expense,Bank,Office Rent
Office premises rent paid,467864,Rent Expense,Bank,Office Rent
Office rent paid,244706,Rent Expense,Bank,Office Rent
Rent payment through bank,289792,Rent Expense,Bank,Office Rent
Commercial rent transfer,177288,Rent Expense,Bank,Office Rent
Monthly building rent,320122,Rent Expense,Bank,Office Rent
Electric utility charges,227036,Electricity Expense,Bank,Electricity Bill
Electric utility charges,337472,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,324425,Electricity Expense,Bank,Electricity Bill
Monthly power expense,250420,Electricity Expense,Bank,Electricity Bill
Power bill payment,451473,Electricity Expense,Bank,Electricity Bill
Monthly power expense,38674,Electricity Expense,Bank,Electricity Bill
Power bill payment,192356,Electricity Expense,Bank,Electricity Bill
Monthly power expense,478198,Electricity Expense,Bank,Electricity Bill
Monthly power expense,126653,Electricity Expense,Bank,Electricity Bill
Power bill payment,215412,Electricity Expense,Bank,Electricity Bill
Power bill payment,494624,Electricity Expense,Bank,Electricity Bill
Electric utility charges,129344,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,406866,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,413198,Electricity Expense,Bank,Electricity Bill
Power bill payment,251313,Electricity Expense,Bank,Electricity Bill
Electric utility charges,151439,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,19735,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,72742,Electricity Expense,Bank,Electricity Bill
Power bill payment,379071,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,471497,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,109863,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,306115,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,115529,Electricity Expense,Bank,Electricity Bill
Monthly power expense,441236,Electricity Expense,Bank,Electricity Bill
Monthly power expense,433381,Electricity Expense,Bank,Electricity Bill
Electric utility charges,371088,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,2173,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,115886,Electricity Expense,Bank,Electricity Bill
Electric utility charges,40121,Electricity Expense,Bank,Electricity Bill
Monthly power expense,240662,Electricity Expense,Bank,Electricity Bill
Power bill payment,328174,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,42958,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,166443,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,127832,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,337764,Electricity Expense,Bank,Electricity Bill
Electric utility charges,467960,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,244489,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,129050,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,430847,Electricity Expense,Bank,Electricity Bill
Electric utility charges,347778,Electricity Expense,Bank,Electricity Bill
Monthly power expense,264713,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,41585,Electricity Expense,Bank,Electricity Bill
Power bill payment,5802,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,53339,Electricity Expense,Bank,Electricity Bill
Electric utility charges,162374,Electricity Expense,Bank,Electricity Bill
Electric utility charges,175299,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,344847,Electricity Expense,Bank,Electricity Bill
Monthly power expense,124895,Electricity Expense,Bank,Electricity Bill
Power bill payment,332537,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,148780,Electricity Expense,Bank,Electricity Bill
Monthly power expense,152846,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,131533,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,18244,Electricity Expense,Bank,Electricity Bill
Monthly power expense,4254,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,242204,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,363166,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,25252,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,283675,Electricity Expense,Bank,Electricity Bill
Electric utility charges,48518,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,253601,Electricity Expense,Bank,Electricity Bill
Electric utility charges,351424,Electricity Expense,Bank,Electricity Bill
Electric utility charges,30553,Electricity Expense,Bank,Electricity Bill
Power bill payment,272088,Electricity Expense,Bank,Electricity Bill
Power bill payment,272197,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,149071,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,80212,Electricity Expense,Bank,Electricity Bill
Monthly power expense,414425,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,293920,Electricity Expense,Bank,Electricity Bill
