Invoice_Text,Category
Export of garments to Germany Rs 498357,Export
Mobile phone sale bill Rs 97757,B2C
Mobile phone sale bill Rs 141043,B2C
School tuition fees Rs 161303,Exempt Supply
Refund received under GST Rs 62644,GST Refund
Advocate service payment Rs 260075,Reverse Charge
Supply of goods to Tech Mahindra Rs 397274,B2B
Invoice to TCS Rs 193097,B2B
Consulting invoice to Japan Rs 40538,Export
GST invoice raised on Deloitte Rs 186404,B2B
Educational service invoice Rs 265231,Exempt Supply
Supplier debit adjustment Rs 379868,Debit Note
GST liability payment Rs 403200,GST Payment
Corporate software license for HCL Rs 182579,B2B
Invoice to Accenture Rs 13633,B2B
Raw material imported from China Rs 288169,Import
Industrial equipment imported from Australia Rs 494487,Import
Credit note for cancelled order Rs 342352,Credit Note
Reverse charge professional service Rs 346589,Reverse Charge
Corporate software license for Wipro Rs 392873,B2B
Corporate software license for TCS Rs 164612,B2B
Consumer electronics invoice Rs 27459,B2C
IT support service to UK Rs 5964,Export
Healthcare exempt supply Rs 219421,Exempt Supply
International client invoice Australia Rs 200217,Export
Consulting invoice to China Rs 24646,Export
IT support service to Singapore Rs 116160,Export
Legal service under reverse charge Rs 452614,Reverse Charge
Consumer electronics invoice Rs 391811,B2C
Credit note for cancelled order Rs 73799,Credit Note
Export GST refund Rs 245384,GST Refund
Credit adjustment invoice Rs 341734,Credit Note
Sales return credit note Rs 435654,Credit Note
Wholesale supply to Tech Mahindra Rs 195656,B2B
Customer return credit note Rs 76567,Credit Note
Consulting invoice to Canada Rs 212264,Export
Consulting invoice to South Korea Rs 304588,Export
Educational service invoice Rs 454312,Exempt Supply
Invoice to Infosys Rs 180632,B2B
Credit note for cancelled order Rs 400790,Credit Note
School tuition fees Rs 446820,Exempt Supply
Sales return credit note Rs 239299,Credit Note
Hospital treatment charges Rs 178855,Exempt Supply
Debit note against shortage Rs 29724,Debit Note
GST payment for current month Rs 305341,GST Payment
GTA transport service Rs 38835,Reverse Charge
GST deposited through bank Rs 274157,GST Payment
Hardware purchase from Canada Rs 240353,Import
IT support service to Japan Rs 330903,Export
GST refund received Rs 5009,GST Refund
Legal service under reverse charge Rs 364614,Reverse Charge
Reverse charge professional service Rs 138304,Reverse Charge
Refund received under GST Rs 219417,GST Refund
Cash sale invoice Rs 25244,B2C
Wholesale supply to Accenture Rs 431589,B2B
Refund received under GST Rs 495097,GST Refund
Export GST refund Rs 309769,GST Refund
Agricultural produce sale Rs 381521,Exempt Supply
Input GST refund Rs 80295,GST Refund
GTA transport service Rs 131708,Reverse Charge
GST deposited through bank Rs 247319,GST Payment
Debit note for freight charges Rs 254023,Debit Note
Input GST refund Rs 284004,GST Refund
Debit note raised for additional tax Rs 339742,Debit Note
Debit note raised for additional tax Rs 393752,Debit Note
Export software service to South Korea Rs 202087,Export
Export GST refund Rs 155409,GST Refund
Educational service invoice Rs 479388,Exempt Supply
School tuition fees Rs 221748,Exempt Supply
Industrial equipment imported from Canada Rs 109768,Import
Wholesale supply to Tech Mahindra Rs 417568,B2B
Debit note raised for additional tax Rs 381941,Debit Note
Debit note for freight charges Rs 238657,Debit Note
Input GST refund Rs 92166,GST Refund
Supply of goods to XYZ Industries Rs 106772,B2B
Customer return credit note Rs 274860,Credit Note
GST payment challan Rs 38169,GST Payment
Cash sale invoice Rs 263755,B2C
Export software service to USA Rs 480942,Export
Invoice to Tata Steel Rs 396377,B2B
GST refund from department Rs 317039,GST Refund
International client invoice Germany Rs 112980,Export
Import machinery from France Rs 212937,Import
Monthly GST tax payment Rs 460047,GST Payment
Sales return credit note Rs 57836,Credit Note
Monthly GST tax payment Rs 232910,GST Payment
Hardware purchase from USA Rs 334178,Import
Debit note raised for additional tax Rs 452511,Debit Note
GST liability payment Rs 302409,GST Payment
Invoice to Tata Steel Rs 37430,B2B
GST liability payment Rs 136873,GST Payment
Advocate service payment Rs 462725,Reverse Charge
GST liability payment Rs 460996,GST Payment
GST invoice raised on Deloitte Rs 258590,B2B
Import electronics from UK Rs 185163,Import
Healthcare exempt supply Rs 481973,Exempt Supply
Debit note for transport expenses Rs 137769,Debit Note
Industrial equipment imported from Japan Rs 34757,Import
Supply of goods to Infosys Rs 118095,B2B
Debit note raised for additional tax Rs 372297,Debit Note
Input GST refund Rs 408658,GST Refund
GST refund received Rs 294835,GST Refund
GST refund from department Rs 45370,GST Refund
Consumer electronics invoice Rs 78489,B2C
Industrial equipment imported from Canada Rs 425447,Import
Retail customer purchase bill Rs 307909,B2C
Export GST refund Rs 96402,GST Refund
Refund received under GST Rs 343241,GST Refund
Educational service invoice Rs 157177,Exempt Supply
Customer return credit note Rs 226079,Credit Note
Export software service to France Rs 84691,Export
Cash sale invoice Rs 400074,B2C
Debit note for transport expenses Rs 435871,Debit Note
GST refund from department Rs 358341,GST Refund
Reverse charge professional service Rs 449514,Reverse Charge
GST refund from department Rs 215615,GST Refund
Retail customer purchase bill Rs 218755,B2C
Debit note for freight charges Rs 305376,Debit Note
Advocate service payment Rs 63965,Reverse Charge
GST payment for current month Rs 320990,GST Payment
Credit note for cancelled order Rs 318655,Credit Note
Sales return credit note Rs 495013,Credit Note
Monthly GST tax payment Rs 485926,GST Payment
Input GST refund Rs 424347,GST Refund
Retail customer purchase bill Rs 348122,B2C
GST payment challan Rs 417867,GST Payment
Walk-in customer invoice Rs 146621,B2C
Export GST refund Rs 385132,GST Refund
Credit note issued against damaged goods Rs 191992,Credit Note
Legal service under reverse charge Rs 444727,Reverse Charge
Credit adjustment invoice Rs 87256,Credit Note
School tuition fees Rs 47298,Exempt Supply
Supply of goods to HCL Rs 191526,B2B
Export GST refund Rs 411072,GST Refund
Consulting invoice to France Rs 181700,Export
Industrial equipment imported from USA Rs 288391,Import
Consumer electronics invoice Rs 64667,B2C
Agricultural produce sale Rs 413924,Exempt Supply
Monthly GST tax payment Rs 46439,GST Payment
Raw material imported from China Rs 400754,Import
GST payment for current month Rs 393916,GST Payment
Debit note raised for additional tax Rs 386785,Debit Note
Debit note for freight charges Rs 112250,Debit Note
Wholesale supply to Deloitte Rs 478421,B2B
Credit note for cancelled order Rs 486526,Credit Note
Cash sale invoice Rs 368598,B2C
Export GST refund Rs 174108,GST Refund
Consulting invoice to Singapore Rs 260599,Export
Agricultural produce sale Rs 117047,Exempt Supply
GST invoice raised on Microsoft Rs 357275,B2B
GST payment challan Rs 334858,GST Payment
GST liability payment Rs 178895,GST Payment
Cash sale invoice Rs 16928,B2C
Debit note for transport expenses Rs 432351,Debit Note
Educational service invoice Rs 126863,Exempt Supply
Walk-in customer invoice Rs 252619,B2C
Mobile phone sale bill Rs 58294,B2C
Reverse charge professional service Rs 238296,Reverse Charge
Reverse charge professional service Rs 475758,Reverse Charge
Export software service to France Rs 6124,Export
Industrial equipment imported from USA Rs 398999,Import
Sales return credit note Rs 232429,Credit Note
Export of garments to Singapore Rs 171197,Export
Import machinery from UK Rs 76003,Import
Agricultural produce sale Rs 89130,Exempt Supply
Educational service invoice Rs 84067,Exempt Supply
Legal service under reverse charge Rs 223561,Reverse Charge
Hardware purchase from China Rs 449149,Import
Export software service to UK Rs 122862,Export
Customer return credit note Rs 291455,Credit Note
Mobile phone sale bill Rs 41674,B2C
Input GST refund Rs 135015,GST Refund
Sales return credit note Rs 349190,Credit Note
GST invoice raised on Amazon Rs 101756,B2B
Retail customer purchase bill Rs 276339,B2C
Import machinery from Singapore Rs 218796,Import
Credit note issued against damaged goods Rs 157223,Credit Note
Credit adjustment invoice Rs 459735,Credit Note
Reverse charge professional service Rs 229448,Reverse Charge
International client invoice France Rs 89183,Export
Raw material imported from Germany Rs 369230,Import
Customer return credit note Rs 149897,Credit Note
Debit note against shortage Rs 185318,Debit Note
Debit note raised for additional tax Rs 60716,Debit Note
Supply of goods to Accenture Rs 211906,B2B
Cash sale invoice Rs 114785,B2C
Consulting invoice to UK Rs 59208,Export
Educational service invoice Rs 300979,Exempt Supply
Wholesale supply to TCS Rs 191680,B2B
Industrial equipment imported from China Rs 215441,Import
GST payment challan Rs 263070,GST Payment
Export software service to South Korea Rs 406961,Export
Debit note raised for additional tax Rs 299693,Debit Note
Input GST refund Rs 361661,GST Refund
Consulting invoice to USA Rs 74436,Export
Healthcare exempt supply Rs 327981,Exempt Supply
Agricultural produce sale Rs 281886,Exempt Supply
Mobile phone sale bill Rs 472139,B2C
Consulting invoice to France Rs 109145,Export
Import electronics from France Rs 374267,Import
GST refund received Rs 131634,GST Refund
Export software service to South Korea Rs 130741,Export
GST payment for current month Rs 318177,GST Payment
Raw material imported from Japan Rs 114865,Import
Cash sale invoice Rs 468276,B2C
GST invoice raised on Google Rs 197096,B2B
Debit note for freight charges Rs 363113,Debit Note
Customer return credit note Rs 334106,Credit Note
Credit note for cancelled order Rs 403272,Credit Note
GST payment challan Rs 249890,GST Payment
Walk-in customer invoice Rs 99688,B2C
Sales return credit note Rs 411833,Credit Note
Sales return credit note Rs 48577,Credit Note
Legal service under reverse charge Rs 289699,Reverse Charge
IT support service to USA Rs 24261,Export
Wholesale supply to TCS Rs 236564,B2B
Supply of goods to Amazon Rs 93232,B2B
GST payment challan Rs 229524,GST Payment
International client invoice South Korea Rs 373165,Export
Debit note for transport expenses Rs 31263,Debit Note
Hospital treatment charges Rs 87087,Exempt Supply
Agricultural produce sale Rs 368914,Exempt Supply
Debit note raised for additional tax Rs 373984,Debit Note
Supply of goods to TCS Rs 264714,B2B
Hardware purchase from Australia Rs 378853,Import
GST payment for current month Rs 268951,GST Payment
Input GST refund Rs 13067,GST Refund
Customer return credit note Rs 207868,Credit Note
School tuition fees Rs 424757,Exempt Supply
Industrial equipment imported from Australia Rs 349446,Import
Mobile phone sale bill Rs 218820,B2C
Hardware purchase from Singapore Rs 485986,Import
Debit note for freight charges Rs 348469,Debit Note
Healthcare exempt supply Rs 34499,Exempt Supply
GST refund from department Rs 15765,GST Refund
Hospital treatment charges Rs 401651,Exempt Supply
GST refund from department Rs 53867,GST Refund
Customer return credit note Rs 374694,Credit Note
Monthly GST tax payment Rs 411674,GST Payment
Corporate software license for Google Rs 136909,B2B
Mobile phone sale bill Rs 125509,B2C
Credit note issued against damaged goods Rs 295740,Credit Note
Consumer electronics invoice Rs 173193,B2C
Director remuneration Rs 328913,Reverse Charge
Reverse charge professional service Rs 218742,Reverse Charge
GST refund received Rs 33968,GST Refund
Invoice to Google Rs 164158,B2B
Director remuneration Rs 255656,Reverse Charge
Consulting invoice to Canada Rs 401686,Export
Invoice to TCS Rs 498398,B2B
Retail customer purchase bill Rs 150688,B2C
Walk-in customer invoice Rs 119467,B2C
Consumer electronics invoice Rs 258824,B2C
Refund received under GST Rs 375580,GST Refund
IT support service to Canada Rs 170915,Export
Advocate service payment Rs 451473,Reverse Charge
Advocate service payment Rs 141247,Reverse Charge
Consulting invoice to UK Rs 482233,Export
Sales return credit note Rs 88082,Credit Note
Export GST refund Rs 223785,GST Refund
GST refund from department Rs 274756,GST Refund
Educational service invoice Rs 472552,Exempt Supply
GST payment challan Rs 496655,GST Payment
Customer return credit note Rs 351159,Credit Note
Credit adjustment invoice Rs 106884,Credit Note
GST deposited through bank Rs 419061,GST Payment
Refund received under GST Rs 108196,GST Refund
Consulting invoice to Australia Rs 440917,Export
Invoice to Deloitte Rs 25734,B2B
Agricultural produce sale Rs 482495,Exempt Supply
Invoice to Amazon Rs 377094,B2B
GST payment for current month Rs 308932,GST Payment
Corporate software license for Wipro Rs 368680,B2B
Export of garments to UK Rs 296780,Export
Raw material imported from China Rs 233612,Import
Supply of goods to ABC Pvt Ltd Rs 189612,B2B
Invoice to Accenture Rs 459687,B2B
GST refund from department Rs 26261,GST Refund
Credit note for cancelled order Rs 327790,Credit Note
Walk-in customer invoice Rs 209610,B2C
GST liability payment Rs 355300,GST Payment
Wholesale supply to TCS Rs 53442,B2B
Supply of goods to XYZ Industries Rs 485595,B2B
Cash sale invoice Rs 413430,B2C
GTA transport service Rs 180206,Reverse Charge
Export GST refund Rs 175899,GST Refund
Input GST refund Rs 141877,GST Refund
Import machinery from China Rs 477805,Import
Credit note for cancelled order Rs 74803,Credit Note
Sales return credit note Rs 248618,Credit Note
GTA transport service Rs 206390,Reverse Charge
GST payment challan Rs 304973,GST Payment
Wholesale supply to Infosys Rs 394604,B2B
Export software service to Japan Rs 47383,Export
Reverse charge professional service Rs 137891,Reverse Charge
GST refund received Rs 476269,GST Refund
Director remuneration Rs 79528,Reverse Charge
Debit note against shortage Rs 199839,Debit Note
Sales return credit note Rs 191499,Credit Note
Consulting invoice to Germany Rs 483825,Export
Import machinery from Germany Rs 295404,Import
School tuition fees Rs 345338,Exempt Supply
Wholesale supply to Amazon Rs 460404,B2B
IT support service to Canada Rs 329791,Export
Customer return credit note Rs 125396,Credit Note
Industrial equipment imported from Australia Rs 375351,Import
Hospital treatment charges Rs 292177,Exempt Supply
Monthly GST tax payment Rs 328128,GST Payment
GST invoice raised on Accenture Rs 217114,B2B
Consumer electronics invoice Rs 4879,B2C
Supplier debit adjustment Rs 83157,Debit Note
Import machinery from South Korea Rs 205688,Import
Import electronics from UK Rs 419395,Import
Input GST refund Rs 410347,GST Refund
Monthly GST tax payment Rs 437186,GST Payment
Consulting invoice to UK Rs 90226,Export
Director remuneration Rs 126461,Reverse Charge
Mobile phone sale bill Rs 17088,B2C
Debit note for freight charges Rs 92911,Debit Note
GST refund received Rs 321064,GST Refund
Credit note issued against damaged goods Rs 330720,Credit Note
Hardware purchase from USA Rs 130092,Import
Retail customer purchase bill Rs 47465,B2C
GST invoice raised on Accenture Rs 310956,B2B
Debit note for freight charges Rs 78304,Debit Note
Export software service to South Korea Rs 187254,Export
GST payment challan Rs 49320,GST Payment
Debit note for transport expenses Rs 316979,Debit Note
Consulting invoice to Australia Rs 377411,Export
Invoice to Microsoft Rs 261988,B2B
Reverse charge professional service Rs 341587,Reverse Charge
Wholesale supply to Wipro Rs 24798,B2B
School tuition fees Rs 31006,Exempt Supply
GST liability payment Rs 104403,GST Payment
Debit note for freight charges Rs 147650,Debit Note
Debit note against shortage Rs 273589,Debit Note
Debit note raised for additional tax Rs 5231,Debit Note
Credit note issued against damaged goods Rs 376397,Credit Note
International client invoice Canada Rs 246126,Export
Credit note for cancelled order Rs 193934,Credit Note
Agricultural produce sale Rs 217164,Exempt Supply
Retail customer purchase bill Rs 334007,B2C
Consulting invoice to USA Rs 291206,Export
Hospital treatment charges Rs 126794,Exempt Supply
Mobile phone sale bill Rs 13131,B2C
Retail customer purchase bill Rs 468262,B2C
Director remuneration Rs 423440,Reverse Charge
Raw material imported from Australia Rs 458116,Import
Debit note against shortage Rs 330722,Debit Note
Sales return credit note Rs 113499,Credit Note
Debit note for transport expenses Rs 161686,Debit Note
Customer return credit note Rs 306764,Credit Note
GST refund received Rs 271990,GST Refund
Supply of goods to Google Rs 1950,B2B
Debit note for transport expenses Rs 319518,Debit Note
GST refund from department Rs 148202,GST Refund
Supply of goods to Deloitte Rs 168692,B2B
Debit note raised for additional tax Rs 448283,Debit Note
Import electronics from Germany Rs 214825,Import
Industrial equipment imported from Singapore Rs 485842,Import
Industrial equipment imported from USA Rs 5726,Import
Sales return credit note Rs 21762,Credit Note
Hospital treatment charges Rs 302353,Exempt Supply
GST invoice raised on Deloitte Rs 182485,B2B
Supply of goods to Microsoft Rs 55392,B2B
Supplier debit adjustment Rs 483805,Debit Note
GST liability payment Rs 365744,GST Payment
Legal service under reverse charge Rs 189952,Reverse Charge
Export of garments to Germany Rs 45771,Export
School tuition fees Rs 70449,Exempt Supply
Export of garments to France Rs 399047,Export
Sales return credit note Rs 256387,Credit Note
Debit note for freight charges Rs 117119,Debit Note
GST refund from department Rs 193597,GST Refund
Walk-in customer invoice Rs 255052,B2C
Consulting invoice to Japan Rs 220076,Export
Cash sale invoice Rs 284893,B2C
IT support service to Germany Rs 18379,Export
GST payment challan Rs 477240,GST Payment
Supplier debit adjustment Rs 192527,Debit Note
GST refund received Rs 422025,GST Refund
Debit note for transport expenses Rs 485925,Debit Note
Agricultural produce sale Rs 95066,Exempt Supply
School tuition fees Rs 222754,Exempt Supply
Hospital treatment charges Rs 248849,Exempt Supply
Supplier debit adjustment Rs 400038,Debit Note
Supplier debit adjustment Rs 472723,Debit Note
Consumer electronics invoice Rs 444511,B2C
Debit note for freight charges Rs 16776,Debit Note
Supplier debit adjustment Rs 105972,Debit Note
Debit note against shortage Rs 89219,Debit Note
Debit note for freight charges Rs 67942,Debit Note
Import electronics from UK Rs 32118,Import
Retail customer purchase bill Rs 383086,B2C
Wholesale supply to Microsoft Rs 22418,B2B
Director remuneration Rs 221065,Reverse Charge
GST refund received Rs 316991,GST Refund
Import machinery from South Korea Rs 356080,Import
GST deposited through bank Rs 174687,GST Payment
GST refund from department Rs 51522,GST Refund
Educational service invoice Rs 88200,Exempt Supply
Wholesale supply to Accenture Rs 151422,B2B
GST payment challan Rs 141582,GST Payment
Corporate software license for Tata Steel Rs 286409,B2B
Consumer electronics invoice Rs 288187,B2C
Invoice to Tech Mahindra Rs 235903,B2B
Export of garments to France Rs 249037,Export
Mobile phone sale bill Rs 93358,B2C
Debit note against shortage Rs 495125,Debit Note
Cash sale invoice Rs 160581,B2C
Refund received under GST Rs 449598,GST Refund
Retail customer purchase bill Rs 130025,B2C
Invoice to Microsoft Rs 375215,B2B
Hardware purchase from Japan Rs 135719,Import
GST refund from department Rs 198294,GST Refund
Input GST refund Rs 447964,GST Refund
Refund received under GST Rs 135650,GST Refund
GST invoice raised on XYZ Industries Rs 463559,B2B
Reverse charge professional service Rs 5451,Reverse Charge
Export of garments to UK Rs 65422,Export
GST invoice raised on Infosys Rs 325379,B2B
International client invoice Singapore Rs 13745,Export
Walk-in customer invoice Rs 306428,B2C
Hardware purchase from France Rs 428600,Import
Customer return credit note Rs 311269,Credit Note
Input GST refund Rs 15244,GST Refund
Debit note for transport expenses Rs 43867,Debit Note
Industrial equipment imported from China Rs 374723,Import
Retail customer purchase bill Rs 183706,B2C
Wholesale supply to Accenture Rs 153171,B2B
International client invoice UK Rs 484203,Export
Customer return credit note Rs 74985,Credit Note
Supply of goods to Infosys Rs 295615,B2B
Corporate software license for Deloitte Rs 315080,B2B
Reverse charge professional service Rs 431161,Reverse Charge
Reverse charge professional service Rs 53444,Reverse Charge
GST refund received Rs 320724,GST Refund
Consulting invoice to China Rs 132194,Export
Debit note for freight charges Rs 98855,Debit Note
Credit note for cancelled order Rs 214030,Credit Note
Wholesale supply to Deloitte Rs 297335,B2B
Advocate service payment Rs 145603,Reverse Charge
GST payment for current month Rs 80088,GST Payment
Export GST refund Rs 274148,GST Refund
Agricultural produce sale Rs 105635,Exempt Supply
Supplier debit adjustment Rs 122403,Debit Note
Export of garments to USA Rs 60124,Export
Refund received under GST Rs 60616,GST Refund
Supply of goods to HCL Rs 284643,B2B
Refund received under GST Rs 474428,GST Refund
Input GST refund Rs 48503,GST Refund
Retail customer purchase bill Rs 212036,B2C
Input GST refund Rs 130047,GST Refund
Debit note for freight charges Rs 342805,Debit Note
Healthcare exempt supply Rs 20290,Exempt Supply
Import machinery from Japan Rs 445445,Import
Debit note raised for additional tax Rs 107847,Debit Note
Hardware purchase from Singapore Rs 277240,Import
Healthcare exempt supply Rs 50175,Exempt Supply
Advocate service payment Rs 103496,Reverse Charge
Monthly GST tax payment Rs 59617,GST Payment
Export GST refund Rs 55299,GST Refund
Legal service under reverse charge Rs 399636,Reverse Charge
GST refund received Rs 286215,GST Refund
Mobile phone sale bill Rs 61575,B2C
GST payment for current month Rs 191452,GST Payment
Customer return credit note Rs 176050,Credit Note
Refund received under GST Rs 315093,GST Refund
Cash sale invoice Rs 49490,B2C
Customer return credit note Rs 41267,Credit Note
IT support service to UK Rs 58817,Export
Healthcare exempt supply Rs 239692,Exempt Supply
School tuition fees Rs 172585,Exempt Supply
Educational service invoice Rs 261570,Exempt Supply
GST liability payment Rs 207702,GST Payment
GTA transport service Rs 263986,Reverse Charge
GST liability payment Rs 180357,GST Payment
Monthly GST tax payment Rs 216398,GST Payment
Customer return credit note Rs 494894,Credit Note
IT support service to Japan Rs 205304,Export
School tuition fees Rs 155027,Exempt Supply
GST refund received Rs 153859,GST Refund
Hardware purchase from South Korea Rs 83000,Import
Debit note raised for additional tax Rs 314216,Debit Note
Export GST refund Rs 273386,GST Refund
School tuition fees Rs 313051,Exempt Supply
Refund received under GST Rs 13407,GST Refund
Input GST refund Rs 165854,GST Refund
Credit note issued against damaged goods Rs 314767,Credit Note
Supply of goods to Tata Steel Rs 168949,B2B
Agricultural produce sale Rs 97643,Exempt Supply
International client invoice Canada Rs 479736,Export
Director remuneration Rs 266352,Reverse Charge
GST payment challan Rs 124873,GST Payment
Input GST refund Rs 254553,GST Refund
Consulting invoice to France Rs 142462,Export
Agricultural produce sale Rs 27850,Exempt Supply
Consulting invoice to Australia Rs 20168,Export
Export GST refund Rs 492604,GST Refund
IT support service to China Rs 231535,Export
GST payment challan Rs 156703,GST Payment
Hospital treatment charges Rs 233131,Exempt Supply
Customer return credit note Rs 183788,Credit Note
Retail customer purchase bill Rs 238151,B2C
School tuition fees Rs 495693,Exempt Supply
GST refund received Rs 236325,GST Refund
Export software service to China Rs 355107,Export
Credit note for cancelled order Rs 493257,Credit Note
School tuition fees Rs 15345,Exempt Supply
Agricultural produce sale Rs 19795,Exempt Supply
IT support service to Canada Rs 338397,Export
GST payment for current month Rs 124982,GST Payment
Credit note issued against damaged goods Rs 221214,Credit Note
International client invoice Canada Rs 6900,Export
Import machinery from Australia Rs 182607,Import
Mobile phone sale bill Rs 434638,B2C
Director remuneration Rs 406943,Reverse Charge
Consulting invoice to China Rs 439207,Export
Healthcare exempt supply Rs 300588,Exempt Supply
Healthcare exempt supply Rs 345275,Exempt Supply
Input GST refund Rs 447681,GST Refund
Cash sale invoice Rs 175501,B2C
Supplier debit adjustment Rs 276166,Debit Note
Director remuneration Rs 499503,Reverse Charge
Hospital treatment charges Rs 344875,Exempt Supply
GST invoice raised on Tech Mahindra Rs 399372,B2B
Educational service invoice Rs 196758,Exempt Supply
Import electronics from UK Rs 54816,Import
GST invoice raised on Microsoft Rs 50445,B2B
Director remuneration Rs 23736,Reverse Charge
Credit note for cancelled order Rs 263531,Credit Note
Export of garments to Canada Rs 57691,Export
Cash sale invoice Rs 155955,B2C
Invoice to Flipkart Rs 146622,B2B
IT support service to China Rs 300887,Export
Industrial equipment imported from South Korea Rs 470770,Import
GST liability payment Rs 355511,GST Payment
Cash sale invoice Rs 461104,B2C
Monthly GST tax payment Rs 155505,GST Payment
GTA transport service Rs 34066,Reverse Charge
School tuition fees Rs 434952,Exempt Supply
Import machinery from China Rs 184341,Import
Export of garments to Singapore Rs 498654,Export
Import machinery from UK Rs 434781,Import
GST invoice raised on Reliance Rs 487191,B2B
Export software service to Australia Rs 437067,Export
Retail customer purchase bill Rs 91017,B2C
Wholesale supply to Deloitte Rs 347630,B2B
Monthly GST tax payment Rs 102297,GST Payment
Credit note issued against damaged goods Rs 141099,Credit Note
Walk-in customer invoice Rs 131749,B2C
Export software service to Singapore Rs 230624,Export
Legal service under reverse charge Rs 94967,Reverse Charge
Hospital treatment charges Rs 237968,Exempt Supply
Export GST refund Rs 472681,GST Refund
GST payment challan Rs 453338,GST Payment
GST liability payment Rs 396154,GST Payment
Debit note against shortage Rs 335989,Debit Note
Credit note for cancelled order Rs 243272,Credit Note
Director remuneration Rs 119088,Reverse Charge
Refund received under GST Rs 185232,GST Refund
Monthly GST tax payment Rs 46673,GST Payment
Director remuneration Rs 128030,Reverse Charge
Walk-in customer invoice Rs 110834,B2C
Reverse charge professional service Rs 168930,Reverse Charge
Export GST refund Rs 245743,GST Refund
Retail customer purchase bill Rs 451503,B2C
Agricultural produce sale Rs 122561,Exempt Supply
Debit note for freight charges Rs 87155,Debit Note
Consumer electronics invoice Rs 411102,B2C
Customer return credit note Rs 373000,Credit Note
Input GST refund Rs 236217,GST Refund
Mobile phone sale bill Rs 478664,B2C
International client invoice South Korea Rs 443676,Export
Export software service to Canada Rs 34058,Export
International client invoice Germany Rs 280555,Export
Supply of goods to Infosys Rs 122743,B2B
GST refund from department Rs 176279,GST Refund
