Invoice_Text,Category
HCL Customer Purchase Invoice Rs 59957,B2C
Infosys Consumer Sale Bill Rs 80388,B2C
Google Store Sale Invoice Rs 4328,B2C
Flipkart Retail Customer Invoice Rs 26216,B2C
Airtel Retail Customer Invoice Rs 79011,B2C
Wipro Retail Customer Invoice Rs 43369,B2C
Jio Retail Customer Invoice Rs 28243,B2C
Wipro GST Cash Memo Rs 66883,B2C
Airtel Store Sale Invoice Rs 14393,B2C
HCL Retail Customer Invoice Rs 81511,B2C
TCS GST Cash Memo Rs 22000,B2C
Amazon GST Cash Memo Rs 14942,B2C
Infosys Store Sale Invoice Rs 78484,B2C
Infosys Consumer Sale Bill Rs 10216,B2C
TCS Consumer Sale Bill Rs 69570,B2C
Airtel Consumer Sale Bill Rs 39907,B2C
Amazon GST Cash Memo Rs 56020,B2C
Flipkart Consumer Sale Bill Rs 87275,B2C
Airtel Store Sale Invoice Rs 95888,B2C
HCL Consumer Sale Bill Rs 46752,B2C
TCS Customer Purchase Invoice Rs 98161,B2C
Flipkart GST Cash Memo Rs 95434,B2C
Infosys Retail Customer Invoice Rs 37768,B2C
Google Store Sale Invoice Rs 61129,B2C
Jio GST Cash Memo Rs 56228,B2C
Airtel Store Sale Invoice Rs 27857,B2C
Google Consumer Sale Bill Rs 26720,B2C
Wipro GST Cash Memo Rs 99024,B2C
Google Customer Purchase Invoice Rs 35410,B2C
Airtel Customer Purchase Invoice Rs 61736,B2C
Flipkart Retail Customer Invoice Rs 85340,B2C
Infosys Retail Customer Invoice Rs 54113,B2C
Wipro Retail Customer Invoice Rs 24358,B2C
TCS Store Sale Invoice Rs 80606,B2C
Jio Retail Customer Invoice Rs 54937,B2C
TCS GST Cash Memo Rs 71018,B2C
Amazon Store Sale Invoice Rs 97626,B2C
Amazon Customer Purchase Invoice Rs 72181,B2C
Amazon Consumer Sale Bill Rs 20882,B2C
Flipkart Retail Customer Invoice Rs 31481,B2C
Reliance GST Cash Memo Rs 77998,B2C
Airtel Customer Purchase Invoice Rs 98450,B2C
Airtel Customer Purchase Invoice Rs 61820,B2C
HCL Consumer Sale Bill Rs 78606,B2C
Wipro Customer Purchase Invoice Rs 61189,B2C
Amazon Customer Purchase Invoice Rs 95054,B2C
Flipkart Store Sale Invoice Rs 47827,B2C
Amazon Retail Customer Invoice Rs 4605,B2C
Flipkart Consumer Sale Bill Rs 27576,B2C
Amazon Store Sale Invoice Rs 92631,B2C
Airtel Retail Customer Invoice Rs 65498,B2C
TCS GST Cash Memo Rs 32122,B2C
TCS Retail Customer Invoice Rs 65297,B2C
TCS Store Sale Invoice Rs 56935,B2C
HCL Store Sale Invoice Rs 50160,B2C
Google Retail Customer Invoice Rs 38520,B2C
Reliance Consumer Sale Bill Rs 79678,B2C
Jio International Export Invoice Rs 43597,Export
TCS Export Sale UK Rs 55467,Export
Infosys Export Shipment Invoice Rs 32252,Export
Flipkart Export Shipment Invoice Rs 22874,Export
Airtel Export Invoice USA Rs 42080,Export
Jio International Export Invoice Rs 12423,Export
TCS Overseas Customer Invoice Rs 81013,Export
Google Overseas Customer Invoice Rs 40213,Export
Wipro Export Sale UK Rs 52843,Export
TCS International Export Invoice Rs 23617,Export
Amazon Export Invoice USA Rs 47206,Export
Wipro International Export Invoice Rs 34604,Export
Jio Export Invoice USA Rs 77918,Export
Flipkart Overseas Customer Invoice Rs 57091,Export
Infosys Export Shipment Invoice Rs 82661,Export
Amazon Export Shipment Invoice Rs 4646,Export
Jio Export Shipment Invoice Rs 46441,Export
Airtel Overseas Customer Invoice Rs 82092,Export
Reliance Export Shipment Invoice Rs 63736,Export
Wipro International Export Invoice Rs 30137,Export
Amazon Export Shipment Invoice Rs 61301,Export
Amazon International Export Invoice Rs 7719,Export
Google Export Sale UK Rs 50023,Export
Google Export Invoice USA Rs 36601,Export
Google Export Invoice USA Rs 74004,Export
Jio International Export Invoice Rs 3385,Export
Amazon Export Sale UK Rs 84638,Export
Jio International Export Invoice Rs 29017,Export
Wipro International Export Invoice Rs 50985,Export
Wipro Export Sale UK Rs 29509,Export
Flipkart Overseas Customer Invoice Rs 56148,Export
Airtel International Export Invoice Rs 74431,Export
Wipro Export Shipment Invoice Rs 35697,Export
Wipro Export Sale UK Rs 18932,Export
Jio International Export Invoice Rs 75977,Export
Google Export Invoice USA Rs 77175,Export
Google Overseas Customer Invoice Rs 57203,Export
Wipro Overseas Customer Invoice Rs 77472,Export
Infosys Export Sale UK Rs 34999,Export
Jio Export Sale UK Rs 87259,Export
Airtel Export Sale UK Rs 37886,Export
Google Overseas Customer Invoice Rs 55785,Export
HCL Export Sale UK Rs 72173,Export
Airtel Export Invoice USA Rs 29903,Export
Google Export Invoice USA Rs 36973,Export
Flipkart Export Sale UK Rs 13584,Export
Wipro Overseas Customer Invoice Rs 95661,Export
Reliance Export Sale UK Rs 81178,Export
HCL Export Invoice USA Rs 76723,Export
Amazon International Export Invoice Rs 19191,Export
Wipro Export Sale UK Rs 79670,Export
Wipro Export Invoice USA Rs 10739,Export
Amazon Export Sale UK Rs 91313,Export
Flipkart Overseas Customer Invoice Rs 24973,Export
Airtel International Export Invoice Rs 58404,Export
Amazon Export Invoice USA Rs 30890,Export
Airtel International Export Invoice Rs 12186,Export
Amazon Export Shipment Invoice Rs 18580,Export
Flipkart International Export Invoice Rs 58536,Export
Wipro Overseas Customer Invoice Rs 2124,Export
Google Overseas Supplier Invoice Rs 78859,Import
Jio Import Goods Invoice Rs 21635,Import
Infosys Import Material Purchase Rs 74163,Import
Flipkart Import Material Purchase Rs 28012,Import
Infosys Overseas Supplier Invoice Rs 1443,Import
Jio Import Material Purchase Rs 14556,Import
Flipkart Import Goods Invoice Rs 71572,Import
Infosys International Vendor Invoice Rs 91663,Import
HCL International Vendor Invoice Rs 68601,Import
Reliance Import Purchase China Rs 72238,Import
Flipkart Overseas Supplier Invoice Rs 73836,Import
Wipro Import Goods Invoice Rs 45971,Import
Flipkart Import Purchase China Rs 56212,Import
Airtel Import Goods Invoice Rs 80392,Import
Infosys International Vendor Invoice Rs 91816,Import
Google Import Material Purchase Rs 14333,Import
Amazon Import Material Purchase Rs 92030,Import
Infosys Overseas Supplier Invoice Rs 6875,Import
Flipkart International Vendor Invoice Rs 57461,Import
Amazon International Vendor Invoice Rs 53185,Import
Reliance Overseas Supplier Invoice Rs 53251,Import
Google Import Goods Invoice Rs 42259,Import
Reliance Import Material Purchase Rs 82859,Import
Jio Import Purchase China Rs 76274,Import
Reliance International Vendor Invoice Rs 28840,Import
Reliance International Vendor Invoice Rs 67688,Import
Infosys International Vendor Invoice Rs 71228,Import
Amazon Import Material Purchase Rs 73101,Import
Amazon Import Goods Invoice Rs 19295,Import
Google Import Purchase China Rs 35990,Import
Infosys Import Goods Invoice Rs 72919,Import
Infosys Import Material Purchase Rs 22265,Import
Infosys Import Goods Invoice Rs 60916,Import
HCL Overseas Supplier Invoice Rs 50462,Import
Jio International Vendor Invoice Rs 85708,Import
Jio Overseas Supplier Invoice Rs 8670,Import
Wipro Import Material Purchase Rs 60845,Import
TCS Import Goods Invoice Rs 12319,Import
Infosys Overseas Supplier Invoice Rs 11292,Import
Jio Import Goods Invoice Rs 77800,Import
Airtel International Vendor Invoice Rs 37742,Import
Reliance International Vendor Invoice Rs 23329,Import
TCS Overseas Supplier Invoice Rs 87684,Import
Airtel Import Goods Invoice Rs 37197,Import
Wipro Overseas Supplier Invoice Rs 29694,Import
Jio Import Material Purchase Rs 1757,Import
HCL International Vendor Invoice Rs 95509,Import
Wipro Overseas Supplier Invoice Rs 36437,Import
Wipro Overseas Supplier Invoice Rs 60620,Import
Google International Vendor Invoice Rs 45596,Import
Reliance Import Goods Invoice Rs 4799,Import
Flipkart Import Purchase China Rs 34065,Import
Wipro Import Purchase China Rs 43315,Import
Flipkart Import Goods Invoice Rs 85120,Import
Jio Import Goods Invoice Rs 36986,Import
HCL Overseas Supplier Invoice Rs 66326,Import
Jio Overseas Supplier Invoice Rs 75290,Import
Amazon International Vendor Invoice Rs 19102,Import
Wipro Import Goods Invoice Rs 32511,Import
Jio International Vendor Invoice Rs 26841,Import
Jio Product Return Credit Note Rs 12315,Credit Note
Jio Customer Refund Credit Note Rs 75984,Credit Note
Amazon Customer Refund Credit Note Rs 58109,Credit Note
Wipro Credit Adjustment Note Rs 85502,Credit Note
HCL Product Return Credit Note Rs 71067,Credit Note
TCS GST Credit Note Rs 3685,Credit Note
HCL GST Credit Note Rs 36538,Credit Note
HCL GST Credit Note Rs 1028,Credit Note
Amazon Customer Refund Credit Note Rs 42131,Credit Note
Google Credit Adjustment Note Rs 28938,Credit Note
TCS Sales Return Credit Note Rs 85526,Credit Note
Infosys Sales Return Credit Note Rs 38293,Credit Note
Airtel Sales Return Credit Note Rs 73289,Credit Note
Airtel Product Return Credit Note Rs 78651,Credit Note
Google Credit Adjustment Note Rs 56593,Credit Note
Jio Customer Refund Credit Note Rs 50034,Credit Note
Google GST Credit Note Rs 88246,Credit Note
Wipro Sales Return Credit Note Rs 55491,Credit Note
Infosys Customer Refund Credit Note Rs 43578,Credit Note
TCS Product Return Credit Note Rs 2672,Credit Note
HCL Credit Adjustment Note Rs 70479,Credit Note
HCL Customer Refund Credit Note Rs 58518,Credit Note
TCS Sales Return Credit Note Rs 61451,Credit Note
Airtel Sales Return Credit Note Rs 99092,Credit Note
Infosys Product Return Credit Note Rs 23978,Credit Note
TCS Credit Adjustment Note Rs 51227,Credit Note
Airtel GST Credit Note Rs 98421,Credit Note
HCL Sales Return Credit Note Rs 10176,Credit Note
Amazon GST Credit Note Rs 22346,Credit Note
Reliance Credit Adjustment Note Rs 26463,Credit Note
Flipkart Customer Refund Credit Note Rs 44344,Credit Note
Google Product Return Credit Note Rs 24346,Credit Note
Google Customer Refund Credit Note Rs 53700,Credit Note
Flipkart Sales Return Credit Note Rs 34788,Credit Note
TCS Product Return Credit Note Rs 59020,Credit Note
Jio Sales Return Credit Note Rs 2705,Credit Note
Airtel Customer Refund Credit Note Rs 17549,Credit Note
Reliance Credit Adjustment Note Rs 51544,Credit Note
Jio GST Credit Note Rs 48481,Credit Note
HCL Customer Refund Credit Note Rs 2510,Credit Note
Reliance GST Credit Note Rs 50678,Credit Note
Amazon GST Credit Note Rs 12940,Credit Note
Flipkart Product Return Credit Note Rs 54648,Credit Note
Google Customer Refund Credit Note Rs 9358,Credit Note
Airtel Credit Adjustment Note Rs 12330,Credit Note
HCL Product Return Credit Note Rs 22598,Credit Note
Jio GST Credit Note Rs 83399,Credit Note
Infosys Sales Return Credit Note Rs 86999,Credit Note
Flipkart Product Return Credit Note Rs 91498,Credit Note
HCL Sales Return Credit Note Rs 83115,Credit Note
Google Customer Refund Credit Note Rs 25300,Credit Note
Jio GST Credit Note Rs 79950,Credit Note
Airtel Sales Return Credit Note Rs 17588,Credit Note
Jio Sales Return Credit Note Rs 21883,Credit Note
TCS Sales Return Credit Note Rs 88976,Credit Note
Infosys GST Credit Note Rs 81461,Credit Note
Jio Customer Refund Credit Note Rs 34108,Credit Note
Amazon Customer Refund Credit Note Rs 17609,Credit Note
HCL Customer Refund Credit Note Rs 96300,Credit Note
Jio Customer Refund Credit Note Rs 80446,Credit Note
Jio Debit Adjustment Invoice Rs 20843,Debit Note
Airtel Additional Charge Debit Note Rs 14472,Debit Note
Wipro GST Debit Note Rs 44871,Debit Note
Jio Supplier Debit Adjustment Rs 74216,Debit Note
Wipro Supplier Debit Adjustment Rs 71838,Debit Note
Jio Purchase Debit Note Rs 44912,Debit Note
Google Supplier Debit Adjustment Rs 2104,Debit Note
Amazon Supplier Debit Adjustment Rs 28783,Debit Note
Airtel Additional Charge Debit Note Rs 70821,Debit Note
Infosys Additional Charge Debit Note Rs 25936,Debit Note
Airtel Debit Adjustment Invoice Rs 70061,Debit Note
HCL Supplier Debit Adjustment Rs 79932,Debit Note
Infosys Supplier Debit Adjustment Rs 4107,Debit Note
HCL Supplier Debit Adjustment Rs 2734,Debit Note
Infosys Supplier Debit Adjustment Rs 11237,Debit Note
Infosys Debit Adjustment Invoice Rs 14645,Debit Note
Flipkart Purchase Debit Note Rs 55586,Debit Note
Jio Debit Adjustment Invoice Rs 6942,Debit Note
Jio Supplier Debit Adjustment Rs 52048,Debit Note
Reliance Purchase Debit Note Rs 13561,Debit Note
Infosys Debit Adjustment Invoice Rs 52033,Debit Note
Reliance Additional Charge Debit Note Rs 70852,Debit Note
Infosys Purchase Debit Note Rs 11723,Debit Note
Wipro Additional Charge Debit Note Rs 1118,Debit Note
Flipkart Debit Adjustment Invoice Rs 41926,Debit Note
Flipkart Additional Charge Debit Note Rs 60073,Debit Note
Jio GST Debit Note Rs 27867,Debit Note
Infosys Purchase Debit Note Rs 89303,Debit Note
Google Purchase Debit Note Rs 32468,Debit Note
Google Supplier Debit Adjustment Rs 68374,Debit Note
Jio GST Debit Note Rs 76015,Debit Note
Airtel Supplier Debit Adjustment Rs 32636,Debit Note
Reliance Additional Charge Debit Note Rs 18003,Debit Note
Wipro Additional Charge Debit Note Rs 78921,Debit Note
Airtel Debit Adjustment Invoice Rs 37140,Debit Note
Airtel Purchase Debit Note Rs 75089,Debit Note
Reliance GST Debit Note Rs 54430,Debit Note
Flipkart Supplier Debit Adjustment Rs 28510,Debit Note
Reliance Purchase Debit Note Rs 77277,Debit Note
Flipkart Debit Adjustment Invoice Rs 4033,Debit Note
Infosys GST Debit Note Rs 68915,Debit Note
Wipro GST Debit Note Rs 7606,Debit Note
HCL Debit Adjustment Invoice Rs 7145,Debit Note
Flipkart Additional Charge Debit Note Rs 8023,Debit Note
Jio Additional Charge Debit Note Rs 55703,Debit Note
Infosys Debit Adjustment Invoice Rs 83722,Debit Note
Infosys GST Debit Note Rs 88591,Debit Note
Google Purchase Debit Note Rs 30956,Debit Note
TCS Additional Charge Debit Note Rs 96431,Debit Note
Reliance Supplier Debit Adjustment Rs 42120,Debit Note
Airtel Additional Charge Debit Note Rs 90645,Debit Note
Flipkart Additional Charge Debit Note Rs 38187,Debit Note
Google GST Debit Note Rs 41382,Debit Note
Flipkart GST Debit Note Rs 81434,Debit Note
Airtel Additional Charge Debit Note Rs 90077,Debit Note
HCL Purchase Debit Note Rs 96949,Debit Note
Infosys Supplier Debit Adjustment Rs 94551,Debit Note
TCS Additional Charge Debit Note Rs 23468,Debit Note
HCL Debit Adjustment Invoice Rs 9787,Debit Note
TCS Additional Charge Debit Note Rs 44803,Debit Note
Jio IGST Payment Rs 37747,GST Payment
Flipkart GST Challan Payment Rs 37237,GST Payment
Airtel GST Challan Payment Rs 26809,GST Payment
TCS CGST Payment Rs 16625,GST Payment
Amazon SGST Payment Rs 79932,GST Payment
Amazon CGST Payment Rs 56371,GST Payment
Amazon GST Liability Payment Rs 52895,GST Payment
Google CGST Payment Rs 82423,GST Payment
Flipkart GST Challan Payment Rs 59379,GST Payment
Jio GST Liability Payment Rs 4351,GST Payment
HCL GST Challan Payment Rs 54298,GST Payment
TCS GST Liability Payment Rs 72531,GST Payment
Airtel GST Liability Payment Rs 52974,GST Payment
Jio IGST Payment Rs 45593,GST Payment
TCS CGST Payment Rs 10260,GST Payment
TCS SGST Payment Rs 3539,GST Payment
HCL SGST Payment Rs 41368,GST Payment
Wipro SGST Payment Rs 11428,GST Payment
Google GST Liability Payment Rs 82917,GST Payment
TCS IGST Payment Rs 80791,GST Payment
Google IGST Payment Rs 26513,GST Payment
Amazon CGST Payment Rs 73143,GST Payment
Reliance GST Liability Payment Rs 90830,GST Payment
Airtel IGST Payment Rs 54733,GST Payment
TCS SGST Payment Rs 23313,GST Payment
Jio IGST Payment Rs 58129,GST Payment
Infosys GST Liability Payment Rs 34064,GST Payment
Amazon GST Challan Payment Rs 91285,GST Payment
Flipkart SGST Payment Rs 43735,GST Payment
Amazon SGST Payment Rs 61097,GST Payment
Infosys GST Challan Payment Rs 92861,GST Payment
HCL CGST Payment Rs 93204,GST Payment
Airtel GST Liability Payment Rs 29778,GST Payment
Jio IGST Payment Rs 68455,GST Payment
TCS GST Challan Payment Rs 7393,GST Payment
Google GST Liability Payment Rs 42113,GST Payment
Wipro GST Liability Payment Rs 83693,GST Payment
Amazon GST Liability Payment Rs 80382,GST Payment
Google SGST Payment Rs 79022,GST Payment
Reliance GST Challan Payment Rs 18770,GST Payment
Reliance GST Challan Payment Rs 2808,GST Payment
Wipro CGST Payment Rs 56399,GST Payment
Infosys SGST Payment Rs 2763,GST Payment
Amazon CGST Payment Rs 24594,GST Payment
Wipro GST Liability Payment Rs 5009,GST Payment
Reliance IGST Payment Rs 85639,GST Payment
Reliance GST Liability Payment Rs 69904,GST Payment
HCL CGST Payment Rs 58064,GST Payment
Reliance CGST Payment Rs 16180,GST Payment
Google GST Liability Payment Rs 57325,GST Payment
Wipro SGST Payment Rs 92960,GST Payment
Wipro IGST Payment Rs 94646,GST Payment
Infosys CGST Payment Rs 14015,GST Payment
HCL CGST Payment Rs 60779,GST Payment
Airtel GST Challan Payment Rs 63211,GST Payment
Reliance GST Liability Payment Rs 5720,GST Payment
Amazon GST Challan Payment Rs 74918,GST Payment
Wipro CGST Payment Rs 63188,GST Payment
Wipro GST Liability Payment Rs 80170,GST Payment
Jio CGST Payment Rs 49457,GST Payment
TCS GST Refund Processing Rs 32108,GST Refund
Reliance Refund Settlement Rs 80441,GST Refund
TCS GST Refund Claim Rs 68659,GST Refund
Google Refund Application Invoice Rs 20734,GST Refund
Reliance Refund Application Invoice Rs 83613,GST Refund
Jio GST Refund Claim Rs 11708,GST Refund
Wipro Refund Application Invoice Rs 15088,GST Refund
TCS GST Refund Processing Rs 34425,GST Refund
Reliance GST Refund Processing Rs 36040,GST Refund
Airtel Refund Settlement Rs 69800,GST Refund
Amazon Refund Application Invoice Rs 14050,GST Refund
Amazon Refund Application Invoice Rs 95953,GST Refund
Airtel Refund Settlement Rs 2101,GST Refund
HCL Refund Application Invoice Rs 32349,GST Refund
TCS GST Refund Processing Rs 82488,GST Refund
Reliance GST Refund Processing Rs 19894,GST Refund
Amazon GST Refund Processing Rs 14445,GST Refund
Flipkart Refund Application Invoice Rs 21487,GST Refund
Jio Input Tax Refund Rs 72661,GST Refund
TCS Refund Settlement Rs 86688,GST Refund
Airtel GST Refund Processing Rs 55161,GST Refund
Jio Refund Settlement Rs 56475,GST Refund
Jio GST Refund Claim Rs 25863,GST Refund
Jio Refund Application Invoice Rs 30675,GST Refund
Infosys GST Refund Processing Rs 85838,GST Refund
Amazon Refund Application Invoice Rs 62503,GST Refund
HCL GST Refund Claim Rs 40030,GST Refund
Airtel GST Refund Processing Rs 6716,GST Refund
Jio GST Refund Processing Rs 84701,GST Refund
Google Input Tax Refund Rs 15773,GST Refund
Airtel Input Tax Refund Rs 91061,GST Refund
TCS GST Refund Processing Rs 23892,GST Refund
Airtel Refund Application Invoice Rs 65497,GST Refund
Google GST Refund Claim Rs 28387,GST Refund
Wipro Refund Settlement Rs 30883,GST Refund
Jio GST Refund Processing Rs 83202,GST Refund
Jio Refund Settlement Rs 11019,GST Refund
Wipro GST Refund Processing Rs 4840,GST Refund
Wipro Input Tax Refund Rs 56536,GST Refund
Flipkart Refund Application Invoice Rs 55313,GST Refund
TCS GST Refund Processing Rs 25545,GST Refund
Infosys Input Tax Refund Rs 16473,GST Refund
Wipro Input Tax Refund Rs 95609,GST Refund
Amazon GST Refund Processing Rs 79124,GST Refund
Jio GST Refund Claim Rs 73470,GST Refund
Amazon GST Refund Claim Rs 92556,GST Refund
Airtel GST Refund Claim Rs 32747,GST Refund
Jio Refund Application Invoice Rs 29691,GST Refund
TCS Refund Application Invoice Rs 93341,GST Refund
Wipro GST Refund Processing Rs 85972,GST Refund
Flipkart Refund Settlement Rs 96761,GST Refund
Wipro GST Refund Claim Rs 11725,GST Refund
Amazon GST Refund Claim Rs 75954,GST Refund
TCS GST Refund Claim Rs 96425,GST Refund
Jio GST Refund Claim Rs 24645,GST Refund
Wipro Input Tax Refund Rs 13546,GST Refund
Jio GST Refund Processing Rs 69530,GST Refund
HCL Input Tax Refund Rs 14401,GST Refund
HCL Refund Settlement Rs 48278,GST Refund
Jio GST Refund Processing Rs 44914,GST Refund
Flipkart Transport Reverse Charge Rs 67027,Reverse Charge
TCS RCM Vendor Invoice Rs 33037,Reverse Charge
Flipkart RCM Vendor Invoice Rs 60950,Reverse Charge
Google Reverse Charge GST Invoice Rs 52896,Reverse Charge
Flipkart Reverse Charge GST Invoice Rs 38750,Reverse Charge
Airtel RCM Vendor Invoice Rs 59632,Reverse Charge
Amazon RCM Vendor Invoice Rs 85602,Reverse Charge
Airtel Legal Service Reverse Charge Rs 84194,Reverse Charge
Flipkart Legal Service Reverse Charge Rs 47326,Reverse Charge
Flipkart Transport Reverse Charge Rs 4383,Reverse Charge
Jio Transport Reverse Charge Rs 72024,Reverse Charge
Google Legal Service Reverse Charge Rs 24943,Reverse Charge
Infosys Transport Reverse Charge Rs 51286,Reverse Charge
Jio RCM Purchase Invoice Rs 55214,Reverse Charge
Flipkart Legal Service Reverse Charge Rs 39225,Reverse Charge
Reliance RCM Vendor Invoice Rs 69890,Reverse Charge
Infosys Transport Reverse Charge Rs 66775,Reverse Charge
Airtel RCM Purchase Invoice Rs 52813,Reverse Charge
HCL RCM Purchase Invoice Rs 88084,Reverse Charge
Flipkart RCM Vendor Invoice Rs 89980,Reverse Charge
Flipkart RCM Purchase Invoice Rs 27423,Reverse Charge
Jio RCM Purchase Invoice Rs 37064,Reverse Charge
Google Transport Reverse Charge Rs 92336,Reverse Charge
Wipro Reverse Charge GST Invoice Rs 92399,Reverse Charge
Google Legal Service Reverse Charge Rs 96174,Reverse Charge
Wipro Transport Reverse Charge Rs 59287,Reverse Charge
Infosys RCM Purchase Invoice Rs 82413,Reverse Charge
Infosys Legal Service Reverse Charge Rs 40651,Reverse Charge
Jio Reverse Charge GST Invoice Rs 25290,Reverse Charge
Reliance RCM Vendor Invoice Rs 83125,Reverse Charge
Airtel Legal Service Reverse Charge Rs 47030,Reverse Charge
HCL Legal Service Reverse Charge Rs 2770,Reverse Charge
HCL RCM Vendor Invoice Rs 6456,Reverse Charge
Wipro Transport Reverse Charge Rs 2863,Reverse Charge
Infosys RCM Vendor Invoice Rs 38905,Reverse Charge
Airtel RCM Vendor Invoice Rs 36721,Reverse Charge
Google Legal Service Reverse Charge Rs 21467,Reverse Charge
HCL RCM Vendor Invoice Rs 75671,Reverse Charge
HCL RCM Vendor Invoice Rs 16927,Reverse Charge
Wipro RCM Purchase Invoice Rs 66034,Reverse Charge
Flipkart RCM Vendor Invoice Rs 12333,Reverse Charge
Amazon RCM Purchase Invoice Rs 41530,Reverse Charge
Amazon RCM Purchase Invoice Rs 63459,Reverse Charge
Wipro Reverse Charge GST Invoice Rs 93938,Reverse Charge
Airtel RCM Purchase Invoice Rs 57470,Reverse Charge
Airtel Legal Service Reverse Charge Rs 29416,Reverse Charge
Google RCM Vendor Invoice Rs 48764,Reverse Charge
HCL Transport Reverse Charge Rs 52920,Reverse Charge
TCS Reverse Charge GST Invoice Rs 36748,Reverse Charge
Amazon RCM Vendor Invoice Rs 30285,Reverse Charge
Flipkart Reverse Charge GST Invoice Rs 87839,Reverse Charge
TCS Legal Service Reverse Charge Rs 75704,Reverse Charge
Google Transport Reverse Charge Rs 20929,Reverse Charge
Jio Reverse Charge GST Invoice Rs 96395,Reverse Charge
Airtel RCM Vendor Invoice Rs 49362,Reverse Charge
TCS Transport Reverse Charge Rs 6646,Reverse Charge
TCS RCM Purchase Invoice Rs 65479,Reverse Charge
HCL Transport Reverse Charge Rs 16465,Reverse Charge
HCL Transport Reverse Charge Rs 26215,Reverse Charge
Flipkart Transport Reverse Charge Rs 44503,Reverse Charge
HCL Nil Rated Supply Invoice Rs 45302,Exempt Supply
Reliance Nil Rated Supply Invoice Rs 55652,Exempt Supply
HCL GST Exempt Supply Invoice Rs 95458,Exempt Supply
Flipkart Tax Free Supply Invoice Rs 82006,Exempt Supply
Google Exempt Goods Sale Rs 95187,Exempt Supply
Jio Exempt Service Bill Rs 62705,Exempt Supply
TCS Exempt Service Bill Rs 21334,Exempt Supply
Wipro Nil Rated Supply Invoice Rs 46104,Exempt Supply
Reliance Tax Free Supply Invoice Rs 81496,Exempt Supply
