Account_Name,Account_Type,Debit,Credit
Bank Account,Asset,284331,0
Accounts Receivable,Asset,202077,0
Vehicle,Asset,341239,0
Cash,Asset,180640,0
Inventory,Asset,280866,0
Vehicle,Asset,330404,0
Accounts Receivable,Asset,241726,0
Inventory,Asset,97360,0
Cash,Asset,435714,0
Bank Account,Asset,469975,0
Cash,Asset,36051,0
Furniture,Asset,497595,0
Bank Account,Asset,98565,0
Inventory,Asset,280239,0
Vehicle,Asset,188041,0
Inventory,Asset,445315,0
Accounts Receivable,Asset,464082,0
Vehicle,Asset,25829,0
Vehicle,Asset,274917,0
Accounts Receivable,Asset,98489,0
Vehicle,Asset,199362,0
Bank Account,Asset,216482,0
Inventory,Asset,437310,0
Bank Account,Asset,206669,0
Furniture,Asset,144986,0
Inventory,Asset,112660,0
Furniture,Asset,369283,0
Inventory,Asset,52036,0
Cash,Asset,68863,0
Cash,Asset,221270,0
Vehicle,Asset,222007,0
Inventory,Asset,37865,0
Accounts Receivable,Asset,284619,0
Inventory,Asset,74849,0
Inventory,Asset,438910,0
Vehicle,Asset,334236,0
Accounts Receivable,Asset,352570,0
Cash,Asset,328575,0
Cash,Asset,434976,0
Vehicle,Asset,187569,0
Furniture,Asset,400962,0
Furniture,Asset,194553,0
Accounts Receivable,Asset,266264,0
Vehicle,Asset,474280,0
Inventory,Asset,339713,0
Cash,Asset,310444,0
Bank Account,Asset,245238,0
Cash,Asset,21488,0
Vehicle,Asset,468155,0
Inventory,Asset,418718,0
Accounts Receivable,Asset,352098,0
Accounts Receivable,Asset,131777,0
Cash,Asset,329324,0
Bank Account,Asset,140759,0
Cash,Asset,178012,0
Inventory,Asset,40499,0
Vehicle,Asset,464573,0
Vehicle,Asset,33654,0
Furniture,Asset,499590,0
Inventory,Asset,324622,0
Accounts Receivable,Asset,44649,0
Accounts Receivable,Asset,23747,0
Bank Account,Asset,131969,0
Accounts Receivable,Asset,299419,0
Bank Account,Asset,223608,0
Accounts Receivable,Asset,239173,0
Bank Account,Asset,379651,0
Accounts Receivable,Asset,73967,0
Cash,Asset,117265,0
Cash,Asset,273034,0
Furniture,Asset,244376,0
Bank Account,Asset,189936,0
Inventory,Asset,351963,0
Cash,Asset,13652,0
Inventory,Asset,449583,0
Vehicle,Asset,342821,0
Bank Account,Asset,317934,0
Inventory,Asset,476931,0
Vehicle,Asset,10464,0
Bank Account,Asset,283922,0
Inventory,Asset,173249,0
Furniture,Asset,105998,0
Cash,Asset,491993,0
Furniture,Asset,226821,0
Inventory,Asset,450228,0
Furniture,Asset,61446,0
Accounts Receivable,Asset,83148,0
Furniture,Asset,202631,0
Cash,Asset,221671,0
Accounts Receivable,Asset,454950,0
Furniture,Asset,44507,0
Vehicle,Asset,121603,0
Furniture,Asset,310821,0
Bank Account,Asset,118209,0
Furniture,Asset,262317,0
Bank Account,Asset,184799,0
Bank Account,Asset,297709,0
Furniture,Asset,6978,0
Inventory,Asset,415527,0
Accounts Receivable,Asset,158153,0
Accounts Receivable,Asset,287408,0
Inventory,Asset,344137,0
Accounts Receivable,Asset,405932,0
Accounts Receivable,Asset,237642,0
Inventory,Asset,21275,0
Bank Account,Asset,192933,0
Vehicle,Asset,381388,0
Cash,Asset,169039,0
Vehicle,Asset,424339,0
Vehicle,Asset,351937,0
Furniture,Asset,13940,0
Furniture,Asset,403245,0
Furniture,Asset,144887,0
Cash,Asset,232057,0
Bank Account,Asset,407295,0
Cash,Asset,223415,0
Inventory,Asset,128335,0
Inventory,Asset,127158,0
Bank Account,Asset,157060,0
Bank Account,Asset,173501,0
Furniture,Asset,30920,0
Furniture,Asset,32325,0
Vehicle,Asset,94181,0
Cash,Asset,124113,0
Cash,Asset,26792,0
Bank Account,Asset,100936,0
Accounts Receivable,Asset,229339,0
Furniture,Asset,287081,0
Cash,Asset,30809,0
Cash,Asset,12874,0
Inventory,Asset,225563,0
Inventory,Asset,495544,0
Bank Account,Asset,370822,0
Inventory,Asset,411299,0
Bank Account,Asset,15951,0
Furniture,Asset,333529,0
Cash,Asset,495744,0
Bank Account,Asset,435284,0
Accounts Receivable,Asset,371925,0
Inventory,Asset,105974,0
Furniture,Asset,320424,0
Accounts Receivable,Asset,313907,0
Accounts Receivable,Asset,316429,0
Cash,Asset,313977,0
Bank Account,Asset,354721,0
Furniture,Asset,278137,0
Cash,Asset,392164,0
Furniture,Asset,128063,0
Accounts Receivable,Asset,145033,0
Furniture,Asset,92305,0
Cash,Asset,166285,0
Cash,Asset,326876,0
Bank Account,Asset,376721,0
Cash,Asset,11219,0
Inventory,Asset,189126,0
Cash,Asset,486268,0
Vehicle,Asset,367602,0
Cash,Asset,190176,0
Accounts Receivable,Asset,361886,0
Vehicle,Asset,170769,0
Furniture,Asset,313662,0
Accounts Receivable,Asset,23199,0
Vehicle,Asset,154785,0
Vehicle,Asset,260396,0
Accounts Receivable,Asset,63549,0
Furniture,Asset,435966,0
Accounts Receivable,Asset,55295,0
Inventory,Asset,123659,0
Furniture,Asset,289808,0
Inventory,Asset,167732,0
Furniture,Asset,487490,0
Cash,Asset,70309,0
Cash,Asset,344807,0
Inventory,Asset,95443,0
Accounts Receivable,Asset,302522,0
Cash,Asset,37673,0
Inventory,Asset,225228,0
Bank Account,Asset,108740,0
Vehicle,Asset,160554,0
Cash,Asset,79807,0
Accounts Receivable,Asset,401053,0
Vehicle,Asset,344759,0
Furniture,Asset,256169,0
Cash,Asset,272001,0
Furniture,Asset,158167,0
Bank Account,Asset,210602,0
Vehicle,Asset,489015,0
Bank Account,Asset,168148,0
Accounts Receivable,Asset,49804,0
Cash,Asset,370837,0
Furniture,Asset,24389,0
Vehicle,Asset,56445,0
Vehicle,Asset,295538,0
Vehicle,Asset,280249,0
Inventory,Asset,239903,0
Accounts Receivable,Asset,104754,0
Vehicle,Asset,37781,0
Accounts Receivable,Asset,430415,0
Vehicle,Asset,304150,0
Bank Account,Asset,472256,0
Bank Account,Asset,288737,0
Bank Account,Asset,385449,0
Bank Account,Asset,286203,0
Bank Account,Asset,395799,0
Furniture,Asset,415328,0
Bank Account,Asset,499291,0
Bank Account,Asset,422562,0
Bank Account,Asset,407713,0
Bank Account,Asset,477148,0
Bank Account,Asset,370989,0
Inventory,Asset,443169,0
Bank Account,Asset,192882,0
Cash,Asset,470005,0
Accounts Receivable,Asset,317982,0
Cash,Asset,221486,0
Accounts Receivable,Asset,438395,0
Cash,Asset,112293,0
Accounts Receivable,Asset,431264,0
Bank Account,Asset,18661,0
Inventory,Asset,57429,0
Inventory,Asset,182209,0
Accounts Receivable,Asset,327312,0
Furniture,Asset,183853,0
Bank Account,Asset,57953,0
Cash,Asset,42447,0
Inventory,Asset,364258,0
Bank Account,Asset,68939,0
Furniture,Asset,27876,0
Furniture,Asset,12224,0
Accounts Receivable,Asset,498814,0
Furniture,Asset,393032,0
Bank Account,Asset,360968,0
Bank Account,Asset,209632,0
Accounts Receivable,Asset,373039,0
Vehicle,Asset,435683,0
Inventory,Asset,232764,0
Bank Account,Asset,264916,0
Vehicle,Asset,372476,0
Inventory,Asset,195422,0
Accounts Receivable,Asset,423423,0
Inventory,Asset,206666,0
Vehicle,Asset,395655,0
Inventory,Asset,184773,0
Cash,Asset,323938,0
Bank Account,Asset,239852,0
Cash,Asset,235032,0
Vehicle,Asset,352150,0
Vehicle,Asset,343610,0
Inventory,Asset,229736,0
Inventory,Asset,334046,0
Bank Account,Asset,134810,0
Cash,Asset,154052,0
Bank Account,Asset,224705,0
Inventory,Asset,350997,0
Inventory,Asset,125206,0
Cash,Asset,9677,0
Cash,Asset,207411,0
Accounts Receivable,Asset,373573,0
Inventory,Asset,15019,0
Bank Account,Asset,283757,0
Vehicle,Asset,379965,0
Inventory,Asset,17534,0
Bank Account,Asset,213438,0
Vehicle,Asset,282444,0
Furniture,Asset,92875,0
Furniture,Asset,434862,0
Inventory,Asset,23072,0
Furniture,Asset,315170,0
Cash,Asset,182238,0
Inventory,Asset,149312,0
Furniture,Asset,324993,0
Furniture,Asset,209420,0
Cash,Asset,157398,0
Inventory,Asset,75571,0
Bank Account,Asset,196982,0
Vehicle,Asset,44622,0
Inventory,Asset,48013,0
Cash,Asset,354585,0
Cash,Asset,402924,0
Furniture,Asset,225854,0
Vehicle,Asset,475179,0
Furniture,Asset,460563,0
Cash,Asset,262758,0
Furniture,Asset,32161,0
Vehicle,Asset,208118,0
Accounts Receivable,Asset,464134,0
Cash,Asset,278182,0
Accounts Receivable,Asset,428069,0
Inventory,Asset,398450,0
Bank Account,Asset,206942,0
Vehicle,Asset,386047,0
Furniture,Asset,381553,0
Cash,Asset,110654,0
Accounts Receivable,Asset,261911,0
Vehicle,Asset,356515,0
Inventory,Asset,117321,0
Accounts Receivable,Asset,344476,0
Accounts Receivable,Asset,87885,0
Vehicle,Asset,260628,0
Furniture,Asset,301386,0
Cash,Asset,496378,0
Furniture,Asset,206596,0
Inventory,Asset,122325,0
Furniture,Asset,279024,0
Vehicle,Asset,377898,0
Accounts Receivable,Asset,96988,0
Bank Account,Asset,137768,0
Cash,Asset,281381,0
Vehicle,Asset,419479,0
Inventory,Asset,336225,0
Accounts Receivable,Asset,469681,0
Inventory,Asset,374821,0
Inventory,Asset,161586,0
Accounts Receivable,Asset,47026,0
Furniture,Asset,428475,0
Cash,Asset,327078,0
Cash,Asset,267964,0
Inventory,Asset,195770,0
Accounts Receivable,Asset,496118,0
Accounts Receivable,Asset,99337,0
Vehicle,Asset,305077,0
Cash,Asset,47395,0
Vehicle,Asset,274546,0
Inventory,Asset,301462,0
Accounts Receivable,Asset,118957,0
Accounts Receivable,Asset,198508,0
Vehicle,Asset,13370,0
Cash,Asset,296956,0
Cash,Asset,376865,0
Cash,Asset,292264,0
Vehicle,Asset,335344,0
Vehicle,Asset,322278,0
Vehicle,Asset,223893,0
Inventory,Asset,469615,0
Cash,Asset,304775,0
Cash,Asset,337204,0
Inventory,Asset,227935,0
Vehicle,Asset,499682,0
Inventory,Asset,15993,0
Accounts Receivable,Asset,448210,0
Cash,Asset,372121,0
Accounts Receivable,Asset,463464,0
Cash,Asset,122477,0
Inventory,Asset,154141,0
Bank Account,Asset,412049,0
Cash,Asset,467985,0
Cash,Asset,27749,0
Vehicle,Asset,297615,0
Inventory,Asset,163029,0
Accounts Receivable,Asset,342517,0
Inventory,Asset,193311,0
Accounts Receivable,Asset,477237,0
Inventory,Asset,62012,0
Inventory,Asset,54440,0
Furniture,Asset,81489,0
Furniture,Asset,361724,0
Inventory,Asset,227252,0
Bank Account,Asset,374289,0
Bank Account,Asset,164317,0
Bank Account,Asset,281763,0
Accounts Receivable,Asset,426768,0
Inventory,Asset,378875,0
Bank Account,Asset,244934,0
Bank Account,Asset,250032,0
Cash,Asset,211520,0
Vehicle,Asset,320030,0
Cash,Asset,486729,0
Vehicle,Asset,19575,0
Bank Account,Asset,209880,0
Bank Account,Asset,121769,0
Accounts Receivable,Asset,415286,0
Vehicle,Asset,113248,0
Furniture,Asset,165039,0
Cash,Asset,82643,0
Accounts Receivable,Asset,369086,0
Vehicle,Asset,488660,0
Bank Account,Asset,437250,0
Bank Account,Asset,344509,0
Bank Account,Asset,338007,0
Bank Account,Asset,292286,0
Inventory,Asset,159237,0
Accounts Receivable,Asset,389943,0
Furniture,Asset,324465,0
Bank Account,Asset,63188,0
Vehicle,Asset,139041,0
Furniture,Asset,284920,0
Accounts Receivable,Asset,198250,0
Accounts Receivable,Asset,470272,0
Furniture,Asset,63091,0
Vehicle,Asset,417866,0
Accounts Receivable,Asset,81703,0
Cash,Asset,170635,0
Cash,Asset,289177,0
Vehicle,Asset,170680,0
Vehicle,Asset,390670,0
Furniture,Asset,265129,0
Furniture,Asset,211857,0
Cash,Asset,13130,0
Bank Account,Asset,398666,0
Cash,Asset,372717,0
Accounts Receivable,Asset,461335,0
Bank Account,Asset,477783,0
Bank Account,Asset,6155,0
Bank Account,Asset,146523,0
Vehicle,Asset,293760,0
Vehicle,Asset,243078,0
Accounts Receivable,Asset,458258,0
Furniture,Asset,355419,0
Cash,Asset,94500,0
Bank Account,Asset,363239,0
Accounts Receivable,Asset,283706,0
Inventory,Asset,107105,0
Furniture,Asset,324065,0
Vehicle,Asset,170723,0
Furniture,Asset,338765,0
Vehicle,Asset,458026,0
Vehicle,Asset,390661,0
Bank Account,Asset,52260,0
Bank Account,Asset,98260,0
Furniture,Asset,109989,0
Bank Account,Asset,66204,0
Inventory,Asset,280027,0
Furniture,Asset,92168,0
Bank Account,Asset,386312,0
Cash,Asset,229085,0
Cash,Asset,411342,0
Vehicle,Asset,102746,0
Vehicle,Asset,271168,0
Accounts Receivable,Asset,319105,0
Accounts Receivable,Asset,189104,0
Inventory,Asset,340691,0
Accounts Receivable,Asset,166595,0
Bank Account,Asset,356136,0
Accounts Receivable,Asset,499913,0
Bank Account,Asset,394162,0
Accounts Receivable,Asset,221410,0
Inventory,Asset,327539,0
Cash,Asset,427766,0
Bank Account,Asset,370138,0
Vehicle,Asset,47063,0
Furniture,Asset,71912,0
Cash,Asset,190358,0
Cash,Asset,364652,0
Inventory,Asset,234266,0
Inventory,Asset,222817,0
Furniture,Asset,29548,0
Vehicle,Asset,446003,0
Bank Account,Asset,108150,0
Bank Account,Asset,334016,0
Inventory,Asset,311214,0
Furniture,Asset,34482,0
Bank Account,Asset,450151,0
Accounts Receivable,Asset,258577,0
Furniture,Asset,418286,0
Vehicle,Asset,359702,0
Cash,Asset,181038,0
Furniture,Asset,191255,0
Accounts Receivable,Asset,163257,0
Bank Account,Asset,111768,0
Furniture,Asset,323213,0
Inventory,Asset,423794,0
Bank Account,Asset,137661,0
Furniture,Asset,34569,0
Accounts Receivable,Asset,461336,0
Inventory,Asset,388286,0
Bank Account,Asset,182386,0
Furniture,Asset,74220,0
Cash,Asset,204953,0
Cash,Asset,403552,0
Cash,Asset,469959,0
Bank Account,Asset,311064,0
Cash,Asset,72344,0
Vehicle,Asset,129256,0
Furniture,Asset,369349,0
Inventory,Asset,369293,0
Furniture,Asset,66655,0
Bank Account,Asset,418753,0
Inventory,Asset,419281,0
Cash,Asset,49474,0
Inventory,Asset,337834,0
Accounts Receivable,Asset,421524,0
Furniture,Asset,201561,0
Inventory,Asset,103520,0
Accounts Receivable,Asset,58734,0
Furniture,Asset,182176,0
Cash,Asset,133864,0
Inventory,Asset,362050,0
Inventory,Asset,134786,0
Bank Account,Asset,301682,0
Bank Account,Asset,445774,0
Vehicle,Asset,340804,0
Furniture,Asset,98817,0
Vehicle,Asset,417548,0
Cash,Asset,482080,0
Furniture,Asset,457559,0
Vehicle,Asset,338251,0
Bank Account,Asset,107389,0
Inventory,Asset,106276,0
Accounts Receivable,Asset,237567,0
Inventory,Asset,206277,0
Vehicle,Asset,315567,0
Vehicle,Asset,41861,0
Accounts Receivable,Asset,177720,0
Furniture,Asset,122560,0
Vehicle,Asset,471454,0
Accounts Receivable,Asset,237639,0
Bank Account,Asset,298166,0
Vehicle,Asset,409094,0
Inventory,Asset,77471,0
Inventory,Asset,181473,0
Vehicle,Asset,416007,0
Furniture,Asset,351545,0
Vehicle,Asset,384738,0
Furniture,Asset,143483,0
Cash,Asset,12985,0
Vehicle,Asset,123784,0
Accounts Receivable,Asset,75227,0
Inventory,Asset,318049,0
Vehicle,Asset,87817,0
Vehicle,Asset,296773,0
Cash,Asset,325471,0
Furniture,Asset,5392,0
Bank Account,Asset,451364,0
Vehicle,Asset,451380,0
Furniture,Asset,433814,0
Vehicle,Asset,54520,0
Furniture,Asset,291708,0
Inventory,Asset,112602,0
Accounts Receivable,Asset,477383,0
Vehicle,Asset,274837,0
Vehicle,Asset,50208,0
Furniture,Asset,489830,0
Bank Account,Asset,197260,0
Furniture,Asset,15125,0
Furniture,Asset,222874,0
Furniture,Asset,472964,0
Vehicle,Asset,224867,0
Bank Account,Asset,425811,0
Accounts Receivable,Asset,217300,0
Furniture,Asset,328380,0
Inventory,Asset,315753,0
Furniture,Asset,158947,0
Furniture,Asset,350920,0
Inventory,Asset,65557,0
Vehicle,Asset,13304,0
Vehicle,Asset,488280,0
Accounts Receivable,Asset,340871,0
Bank Account,Asset,283136,0
Bank Account,Asset,461693,0
Vehicle,Asset,40158,0
Inventory,Asset,207654,0
Furniture,Asset,412299,0
Vehicle,Asset,107100,0
Cash,Asset,286341,0
Accounts Receivable,Asset,83547,0
Bank Account,Asset,240658,0
Inventory,Asset,123834,0
Inventory,Asset,486707,0
Inventory,Asset,236121,0
Accounts Receivable,Asset,307097,0
Accounts Receivable,Asset,334364,0
Cash,Asset,413619,0
Cash,Asset,73695,0
Cash,Asset,154190,0
Furniture,Asset,476556,0
Cash,Asset,250067,0
Vehicle,Asset,396068,0
Bank Account,Asset,94363,0
Bank Account,Asset,181180,0
Cash,Asset,101662,0
Cash,Asset,430301,0
Vehicle,Asset,352076,0
Accounts Receivable,Asset,33245,0
Cash,Asset,433396,0
Bank Account,Asset,174991,0
Cash,Asset,388780,0
Accounts Receivable,Asset,169069,0
Furniture,Asset,147468,0
Furniture,Asset,263360,0
Accounts Receivable,Asset,11498,0
Inventory,Asset,410510,0
Accounts Receivable,Asset,281482,0
Bank Account,Asset,310606,0
Vehicle,Asset,451806,0
Furniture,Asset,235829,0
Vehicle,Asset,442929,0
Furniture,Asset,210972,0
Vehicle,Asset,44953,0
Accounts Receivable,Asset,155708,0
Furniture,Asset,166001,0
Bank Account,Asset,131775,0
Inventory,Asset,115465,0
Bank Account,Asset,428811,0
Cash,Asset,276902,0
Vehicle,Asset,135777,0
Vehicle,Asset,291440,0
Inventory,Asset,461915,0
Bank Account,Asset,406176,0
Inventory,Asset,449250,0
Bank Account,Asset,39287,0
Furniture,Asset,90540,0
Accounts Receivable,Asset,176678,0
Accounts Receivable,Asset,496495,0
Cash,Asset,409228,0
Vehicle,Asset,490501,0
Bank Account,Asset,460443,0
Bank Account,Asset,454773,0
Furniture,Asset,392493,0
Inventory,Asset,228693,0
Bank Account,Asset,366113,0
Accounts Receivable,Asset,277791,0
Cash,Asset,198869,0
Inventory,Asset,336796,0
Inventory,Asset,362489,0
Bank Account,Asset,284548,0
Inventory,Asset,102886,0
Furniture,Asset,216279,0
Accounts Receivable,Asset,289392,0
Furniture,Asset,370284,0
Accounts Receivable,Asset,165246,0
Inventory,Asset,336838,0
Furniture,Asset,273716,0
Inventory,Asset,38411,0
Accounts Receivable,Asset,419516,0
Inventory,Asset,36183,0
Cash,Asset,130972,0
Accounts Receivable,Asset,172386,0
Cash,Asset,451804,0
Vehicle,Asset,348193,0
Cash,Asset,342595,0
Inventory,Asset,178254,0
Bank Account,Asset,79764,0
Inventory,Asset,307110,0
Furniture,Asset,483542,0
Inventory,Asset,243028,0
Furniture,Asset,69308,0
Vehicle,Asset,188079,0
Inventory,Asset,265895,0
Bank Account,Asset,304438,0
Furniture,Asset,176069,0
Bank Account,Asset,316914,0
Vehicle,Asset,405869,0
Cash,Asset,30204,0
Cash,Asset,430083,0
Bank Account,Asset,370359,0
Inventory,Asset,439696,0
Accounts Receivable,Asset,83332,0
Vehicle,Asset,375468,0
Furniture,Asset,317019,0
Cash,Asset,323898,0
Accounts Receivable,Asset,303129,0
Cash,Asset,44609,0
Vehicle,Asset,379187,0
Accounts Receivable,Asset,204805,0
Vehicle,Asset,455911,0
Vehicle,Asset,16579,0
Inventory,Asset,322430,0
Cash,Asset,98275,0
Bank Account,Asset,474968,0
Inventory,Asset,261270,0
Cash,Asset,176029,0
Bank Account,Asset,108706,0
Accounts Receivable,Asset,28265,0
Bank Account,Asset,83000,0
Bank Account,Asset,272135,0
Accounts Receivable,Asset,137566,0
Accounts Receivable,Asset,217687,0
Vehicle,Asset,446976,0
Bank Account,Asset,390252,0
Bank Account,Asset,64735,0
Bank Account,Asset,350694,0
Vehicle,Asset,490732,0
Cash,Asset,118248,0
Accounts Receivable,Asset,207697,0
Inventory,Asset,122233,0
Accounts Receivable,Asset,405606,0
Accounts Receivable,Asset,480276,0
Cash,Asset,10205,0
Vehicle,Asset,406743,0
Cash,Asset,487966,0
Accounts Receivable,Asset,375007,0
Vehicle,Asset,71460,0
Bank Account,Asset,90292,0
Bank Account,Asset,490183,0
Accounts Receivable,Asset,375051,0
Bank Account,Asset,267569,0
Bank Account,Asset,212448,0
Accounts Receivable,Asset,444514,0
Bank Account,Asset,142665,0
Inventory,Asset,254405,0
Cash,Asset,123502,0
Inventory,Asset,117338,0
Inventory,Asset,318488,0
Cash,Asset,478966,0
Cash,Asset,74796,0
Accounts Receivable,Asset,418092,0
Vehicle,Asset,133572,0
Bank Account,Asset,40578,0
Furniture,Asset,427725,0
Accounts Receivable,Asset,468459,0
Bank Account,Asset,197000,0
Furniture,Asset,95848,0
Accounts Receivable,Asset,431122,0
Vehicle,Asset,234280,0
Inventory,Asset,58580,0
Accounts Receivable,Asset,139247,0
Furniture,Asset,360755,0
Furniture,Asset,479862,0
Furniture,Asset,297767,0
Vehicle,Asset,432550,0
Inventory,Asset,478475,0
Vehicle,Asset,403665,0
Furniture,Asset,111334,0
Furniture,Asset,484173,0
Cash,Asset,252119,0
Bank Account,Asset,210820,0
Vehicle,Asset,296113,0
Vehicle,Asset,166579,0
Vehicle,Asset,370512,0
Cash,Asset,355995,0
Inventory,Asset,90258,0
Accounts Receivable,Asset,433329,0
Bank Account,Asset,174377,0
Bank Account,Asset,169599,0
Vehicle,Asset,64458,0
Inventory,Asset,108314,0
Cash,Asset,293983,0
Bank Account,Asset,278485,0
Cash,Asset,290297,0
Cash,Asset,338600,0
Inventory,Asset,397067,0
Furniture,Asset,339724,0
Accounts Receivable,Asset,280099,0
Cash,Asset,386643,0
Cash,Asset,449081,0
Inventory,Asset,480867,0
Vehicle,Asset,309267,0
Cash,Asset,304468,0
Inventory,Asset,474840,0
Furniture,Asset,120017,0
Furniture,Asset,264006,0
Bank Account,Asset,434312,0
Accounts Receivable,Asset,357340,0
Inventory,Asset,59104,0
Bank Account,Asset,495921,0
Accounts Receivable,Asset,372073,0
Bank Account,Asset,468755,0
Inventory,Asset,209779,0
Accounts Receivable,Asset,375236,0
Inventory,Asset,239587,0
Accounts Receivable,Asset,75767,0
Inventory,Asset,147060,0
Furniture,Asset,263341,0
Cash,Asset,79721,0
Cash,Asset,206700,0
Furniture,Asset,218118,0
Inventory,Asset,260122,0
Accounts Receivable,Asset,21164,0
Vehicle,Asset,10811,0
Accounts Receivable,Asset,462786,0
Vehicle,Asset,398135,0
Furniture,Asset,223747,0
Cash,Asset,193452,0
Cash,Asset,237843,0
Cash,Asset,279054,0
Inventory,Asset,44412,0
Furniture,Asset,407102,0
