Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Interest on unsecured loan,475860,Contractor,194A,10%,47586.0,428274.0,Interest Expense
Construction work payment,392801,Professional,194C,1%,3928.01,388872.99,Contractor Expense
Shop rent transferred,415512,Individual,194I,10%,41551.2,373960.8,Rent Expense
Referral commission paid,91961,Professional,194H,5%,4598.05,87362.95,Commission Expense
Referral commission paid,162557,Contractor,194H,5%,8127.85,154429.15,Commission Expense
Sales commission payment,463524,Individual,194H,5%,23176.2,440347.8,Commission Expense
Vendor supply payment,248765,Professional,194Q,0.1%,248.76,248516.24,Purchase Expense
Contractor payment made,315688,Contractor,194C,1%,3156.88,312531.12,Contractor Expense
Transport charges paid,356399,Firm,194C,1%,3563.99,352835.01,Contractor Expense
Contractor payment made,116600,Individual,194C,1%,1166.0,115434.0,Contractor Expense
Freight charges paid,290462,Professional,194C,1%,2904.62,287557.38,Contractor Expense
Goods purchased from vendor,129269,Individual,194Q,0.1%,129.27,129139.73,Purchase Expense
Interest on unsecured loan,273717,Firm,194A,10%,27371.7,246345.3,Interest Expense
Goods purchased from vendor,479481,Professional,194Q,0.1%,479.48,479001.52,Purchase Expense
CA fees paid,13201,Firm,194J,10%,1320.1,11880.9,Professional Fees
Sales commission payment,379081,Individual,194H,5%,18954.05,360126.95,Commission Expense
Freight charges paid,283905,Company,194C,1%,2839.05,281065.95,Contractor Expense
Vendor supply payment,377600,Professional,194Q,0.1%,377.6,377222.4,Purchase Expense
Construction work payment,259864,Contractor,194C,1%,2598.64,257265.36,Contractor Expense
Doctor consultation fees paid,381304,Contractor,194J,10%,38130.4,343173.6,Professional Fees
Agent incentive paid,147702,Firm,194H,5%,7385.1,140316.9,Commission Expense
Office rent paid,270005,Contractor,194I,10%,27000.5,243004.5,Rent Expense
Raw material purchase made,147519,Contractor,194Q,0.1%,147.52,147371.48,Purchase Expense
Construction work payment,109380,Professional,194C,1%,1093.8,108286.2,Contractor Expense
Construction work payment,39176,Company,194C,1%,391.76,38784.24,Contractor Expense
Doctor consultation fees paid,77339,Company,194J,10%,7733.9,69605.1,Professional Fees
Building lease payment,89260,Individual,194I,10%,8926.0,80334.0,Rent Expense
Goods purchased from vendor,255041,Individual,194Q,0.1%,255.04,254785.96,Purchase Expense
Interest payment booked,404549,Individual,194A,10%,40454.9,364094.1,Interest Expense
Commission paid to agent,27642,Individual,194H,5%,1382.1,26259.9,Commission Expense
Audit fees paid,441604,Professional,194J,10%,44160.4,397443.6,Professional Fees
Agent incentive paid,315142,Firm,194H,5%,15757.1,299384.9,Commission Expense
Raw material purchase made,268221,Contractor,194Q,0.1%,268.22,267952.78,Purchase Expense
Goods purchased from vendor,63909,Individual,194Q,0.1%,63.91,63845.09,Purchase Expense
Contractor payment made,354515,Firm,194C,1%,3545.15,350969.85,Contractor Expense
Sales commission payment,62908,Individual,194H,5%,3145.4,59762.6,Commission Expense
Finance charges paid,105638,Individual,194A,10%,10563.8,95074.2,Interest Expense
Warehouse rent paid,408818,Individual,194I,10%,40881.8,367936.2,Rent Expense
Audit fees paid,167021,Firm,194J,10%,16702.1,150318.9,Professional Fees
Agent incentive paid,236702,Contractor,194H,5%,11835.1,224866.9,Commission Expense
Shop rent transferred,246661,Firm,194I,10%,24666.1,221994.9,Rent Expense
Sales commission payment,236177,Contractor,194H,5%,11808.85,224368.15,Commission Expense
Transport charges paid,161028,Contractor,194C,1%,1610.28,159417.72,Contractor Expense
Referral commission paid,441825,Company,194H,5%,22091.25,419733.75,Commission Expense
Warehouse rent paid,16050,Company,194I,10%,1605.0,14445.0,Rent Expense
Labour charges paid,169875,Company,194C,1%,1698.75,168176.25,Contractor Expense
CA fees paid,303819,Contractor,194J,10%,30381.9,273437.1,Professional Fees
Bank interest paid,250918,Individual,194A,10%,25091.8,225826.2,Interest Expense
Commission paid to agent,175245,Individual,194H,5%,8762.25,166482.75,Commission Expense
Building lease payment,230486,Professional,194I,10%,23048.6,207437.4,Rent Expense
Transport charges paid,413653,Firm,194C,1%,4136.53,409516.47,Contractor Expense
Shop rent transferred,466176,Firm,194I,10%,46617.6,419558.4,Rent Expense
Finance charges paid,441494,Company,194A,10%,44149.4,397344.6,Interest Expense
Interest payment booked,405877,Firm,194A,10%,40587.7,365289.3,Interest Expense
Bulk inventory purchase,235870,Company,194Q,0.1%,235.87,235634.13,Purchase Expense
Referral commission paid,175282,Company,194H,5%,8764.1,166517.9,Commission Expense
CA fees paid,231986,Professional,194J,10%,23198.6,208787.4,Professional Fees
Shop rent transferred,160858,Company,194I,10%,16085.8,144772.2,Rent Expense
CA fees paid,363898,Contractor,194J,10%,36389.8,327508.2,Professional Fees
Interest paid on loan,489659,Company,194A,10%,48965.9,440693.1,Interest Expense
Warehouse rent paid,377673,Firm,194I,10%,37767.3,339905.7,Rent Expense
Vendor supply payment,60154,Professional,194Q,0.1%,60.15,60093.85,Purchase Expense
Interest payment booked,335748,Professional,194A,10%,33574.8,302173.2,Interest Expense
Labour charges paid,28971,Contractor,194C,1%,289.71,28681.29,Contractor Expense
Sales commission payment,110050,Company,194H,5%,5502.5,104547.5,Commission Expense
Warehouse rent paid,163136,Contractor,194I,10%,16313.6,146822.4,Rent Expense
Contractor payment made,345248,Individual,194C,1%,3452.48,341795.52,Contractor Expense
Agent incentive paid,289042,Firm,194H,5%,14452.1,274589.9,Commission Expense
Brokerage charges paid,5868,Firm,194H,5%,293.4,5574.6,Commission Expense
Legal consultancy fees paid,39373,Firm,194J,10%,3937.3,35435.7,Professional Fees
Raw material purchase made,328812,Professional,194Q,0.1%,328.81,328483.19,Purchase Expense
Doctor consultation fees paid,66391,Firm,194J,10%,6639.1,59751.9,Professional Fees
Finance charges paid,409961,Company,194A,10%,40996.1,368964.9,Interest Expense
Freight charges paid,397842,Individual,194C,1%,3978.42,393863.58,Contractor Expense
Shop rent transferred,337612,Company,194I,10%,33761.2,303850.8,Rent Expense
Office rent paid,132102,Individual,194I,10%,13210.2,118891.8,Rent Expense
Freight charges paid,91142,Firm,194C,1%,911.42,90230.58,Contractor Expense
Vendor supply payment,85013,Individual,194Q,0.1%,85.01,84927.99,Purchase Expense
Bulk inventory purchase,310445,Contractor,194Q,0.1%,310.44,310134.56,Purchase Expense
Contractor payment made,391623,Individual,194C,1%,3916.23,387706.77,Contractor Expense
Doctor consultation fees paid,306672,Professional,194J,10%,30667.2,276004.8,Professional Fees
Sales commission payment,44106,Individual,194H,5%,2205.3,41900.7,Commission Expense
Sales commission payment,456167,Professional,194H,5%,22808.35,433358.65,Commission Expense
Warehouse rent paid,468388,Individual,194I,10%,46838.8,421549.2,Rent Expense
Bulk inventory purchase,107669,Firm,194Q,0.1%,107.67,107561.33,Purchase Expense
Construction work payment,310768,Company,194C,1%,3107.68,307660.32,Contractor Expense
Audit fees paid,394836,Company,194J,10%,39483.6,355352.4,Professional Fees
Audit fees paid,343821,Professional,194J,10%,34382.1,309438.9,Professional Fees
Interest on unsecured loan,203141,Company,194A,10%,20314.1,182826.9,Interest Expense
Goods purchased from vendor,399542,Company,194Q,0.1%,399.54,399142.46,Purchase Expense
Referral commission paid,476227,Firm,194H,5%,23811.35,452415.65,Commission Expense
Agent incentive paid,231697,Company,194H,5%,11584.85,220112.15,Commission Expense
Construction work payment,481239,Professional,194C,1%,4812.39,476426.61,Contractor Expense
Labour charges paid,130128,Professional,194C,1%,1301.28,128826.72,Contractor Expense
Brokerage charges paid,167744,Contractor,194H,5%,8387.2,159356.8,Commission Expense
Freight charges paid,301537,Professional,194C,1%,3015.37,298521.63,Contractor Expense
Doctor consultation fees paid,458229,Contractor,194J,10%,45822.9,412406.1,Professional Fees
Transport charges paid,59095,Company,194C,1%,590.95,58504.05,Contractor Expense
Labour charges paid,230657,Contractor,194C,1%,2306.57,228350.43,Contractor Expense
Bulk inventory purchase,153610,Contractor,194Q,0.1%,153.61,153456.39,Purchase Expense
Brokerage charges paid,363285,Individual,194H,5%,18164.25,345120.75,Commission Expense
Office rent paid,404065,Company,194I,10%,40406.5,363658.5,Rent Expense
Brokerage charges paid,96128,Contractor,194H,5%,4806.4,91321.6,Commission Expense
Bulk inventory purchase,122749,Company,194Q,0.1%,122.75,122626.25,Purchase Expense
Labour charges paid,289470,Contractor,194C,1%,2894.7,286575.3,Contractor Expense
Contractor payment made,204846,Company,194C,1%,2048.46,202797.54,Contractor Expense
Shop rent transferred,264485,Firm,194I,10%,26448.5,238036.5,Rent Expense
Doctor consultation fees paid,344998,Professional,194J,10%,34499.8,310498.2,Professional Fees
Contractor payment made,202606,Contractor,194C,1%,2026.06,200579.94,Contractor Expense
Audit fees paid,160831,Company,194J,10%,16083.1,144747.9,Professional Fees
Construction work payment,168081,Professional,194C,1%,1680.81,166400.19,Contractor Expense
Audit fees paid,132198,Company,194J,10%,13219.8,118978.2,Professional Fees
Shop rent transferred,349823,Company,194I,10%,34982.3,314840.7,Rent Expense
Referral commission paid,302421,Firm,194H,5%,15121.05,287299.95,Commission Expense
Building lease payment,369051,Company,194I,10%,36905.1,332145.9,Rent Expense
Raw material purchase made,130803,Firm,194Q,0.1%,130.8,130672.2,Purchase Expense
Goods purchased from vendor,281476,Firm,194Q,0.1%,281.48,281194.52,Purchase Expense
Property rent paid,148566,Company,194I,10%,14856.6,133709.4,Rent Expense
Agent incentive paid,360960,Contractor,194H,5%,18048.0,342912.0,Commission Expense
Transport charges paid,187645,Firm,194C,1%,1876.45,185768.55,Contractor Expense
Office rent paid,466081,Professional,194I,10%,46608.1,419472.9,Rent Expense
Bank interest paid,214316,Company,194A,10%,21431.6,192884.4,Interest Expense
Referral commission paid,414168,Professional,194H,5%,20708.4,393459.6,Commission Expense
Interest paid on loan,499550,Professional,194A,10%,49955.0,449595.0,Interest Expense
Construction work payment,118413,Individual,194C,1%,1184.13,117228.87,Contractor Expense
Property rent paid,173185,Firm,194I,10%,17318.5,155866.5,Rent Expense
Office rent paid,189377,Professional,194I,10%,18937.7,170439.3,Rent Expense
Interest payment booked,274741,Company,194A,10%,27474.1,247266.9,Interest Expense
Vendor supply payment,306330,Contractor,194Q,0.1%,306.33,306023.67,Purchase Expense
CA fees paid,137711,Firm,194J,10%,13771.1,123939.9,Professional Fees
Audit fees paid,134227,Professional,194J,10%,13422.7,120804.3,Professional Fees
Purchase of stock items,108861,Individual,194Q,0.1%,108.86,108752.14,Purchase Expense
Sales commission payment,365258,Firm,194H,5%,18262.9,346995.1,Commission Expense
Interest payment booked,452380,Professional,194A,10%,45238.0,407142.0,Interest Expense
Referral commission paid,338762,Professional,194H,5%,16938.1,321823.9,Commission Expense
Audit fees paid,33739,Professional,194J,10%,3373.9,30365.1,Professional Fees
Warehouse rent paid,383250,Firm,194I,10%,38325.0,344925.0,Rent Expense
Sales commission payment,363003,Contractor,194H,5%,18150.15,344852.85,Commission Expense
Interest paid on loan,209297,Company,194A,10%,20929.7,188367.3,Interest Expense
Warehouse rent paid,302638,Individual,194I,10%,30263.8,272374.2,Rent Expense
Property rent paid,457251,Contractor,194I,10%,45725.1,411525.9,Rent Expense
Referral commission paid,246197,Contractor,194H,5%,12309.85,233887.15,Commission Expense
Office rent paid,362749,Contractor,194I,10%,36274.9,326474.1,Rent Expense
Agent incentive paid,105474,Professional,194H,5%,5273.7,100200.3,Commission Expense
Office rent paid,87433,Firm,194I,10%,8743.3,78689.7,Rent Expense
Sales commission payment,201610,Firm,194H,5%,10080.5,191529.5,Commission Expense
Agent incentive paid,183288,Firm,194H,5%,9164.4,174123.6,Commission Expense
Interest paid on loan,360331,Professional,194A,10%,36033.1,324297.9,Interest Expense
