Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
Electricity Bill,Not Available,39962,0,2026-06-06,2026-06-06,REF14950,NA,CHQ9670,NA,Missing Entry
Vendor Payment,Vendor Payment,58729,58726,2026-06-30,2026-07-01,REF80166,REF80166,CHQ6392,CHQ6392,Fuzzy Matched
Customer Receipt,Not Available,72193,0,2026-06-25,2026-06-25,REF81885,NA,CHQ2144,NA,Missing Entry
Software Subscription,Software Subscription,39732,39732,2026-06-01,2026-06-01,REF36604,REF36604,CHQ1918,CHQ1918,Duplicate
GST Payment,GST Payment,80951,80959,2026-06-18,2026-06-20,REF91353,REF91353,CHQ2375,CHQ2375,Fuzzy Matched
Fuel Expense,Fuel Expense,13122,13122,2026-06-02,2026-06-02,REF89758,REF89758,CHQ6711,CHQ6711,Matched
Vendor Payment,Not Available,96551,0,2026-06-23,2026-06-23,REF89988,NA,CHQ8388,NA,Missing Entry
Electricity Bill,Electricity Bill,17843,17843,2026-06-18,2026-06-18,REF37110,REF37110,CHQ3029,CHQ3029,Matched
Salary Payment,Unknown Transaction,48480,193920,2026-06-26,2026-06-26,REF85760,REF85760,CHQ2638,CHQ2638,Suspicious
Professional Fees,Professional Fees,27984,-27984,2026-06-10,2026-06-10,REF45499,REF45499,CHQ5399,CHQ5399,Reversal Entry
Fuel Expense,Unknown Transaction,86567,173134,2026-06-16,2026-06-16,REF73692,REF73692,CHQ3611,CHQ3611,Suspicious
Professional Fees,Professional Fees,42850,42850,2026-06-22,2026-06-22,REF81650,REF81650,CHQ9667,CHQ9667,Matched
Customer Receipt,Customer Receipt,85846,-85846,2026-06-27,2026-06-27,REF25948,REF25948,CHQ8160,CHQ8160,Reversal Entry
Salary Payment,Salary Payment,40258,40258,2026-06-15,2026-06-15,REF33341,REF33341,CHQ7184,CHQ7184,Matched
Office Rent,Unknown Transaction,25974,77922,2026-06-05,2026-06-05,REF22236,REF22236,CHQ6739,CHQ6739,Suspicious
Fuel Expense,Not Available,73755,0,2026-06-07,2026-06-07,REF79941,NA,CHQ2131,NA,Missing Entry
Office Rent,Office Rent,95651,95657,2026-06-03,2026-06-05,REF94408,REF94408,CHQ1615,CHQ1615,Fuzzy Matched
Office Rent,Office Rent,70212,-70212,2026-06-26,2026-06-26,REF63546,REF63546,CHQ8002,CHQ8002,Reversal Entry
Customer Receipt,Customer Receipt,72903,72903,2026-06-08,2026-06-08,REF43470,REF43470,CHQ8931,CHQ8931,Matched
Vendor Payment,Unknown Transaction,25719,77157,2026-06-07,2026-06-07,REF97100,REF97100,CHQ8508,CHQ8508,Suspicious
Salary Payment,Unknown Transaction,49647,198588,2026-06-18,2026-06-18,REF63720,REF63720,CHQ2888,CHQ2888,Suspicious
Software Subscription,Unknown Transaction,62462,124924,2026-06-28,2026-06-28,REF31316,REF31316,CHQ5803,CHQ5803,Suspicious
Fuel Expense,Fuel Expense,32279,32279,2026-06-04,2026-06-04,REF18388,REF18388,CHQ9733,CHQ9733,Duplicate
Bank Charges,Unknown Transaction,21828,43656,2026-06-12,2026-06-12,REF96190,REF96190,CHQ4554,CHQ4554,Suspicious
Bank Charges,Bank Charges,59645,59641,2026-06-05,2026-06-07,REF11453,REF11453,CHQ4478,CHQ4478,Fuzzy Matched
Fuel Expense,Fuel Expense,61644,61644,2026-06-23,2026-06-23,REF75965,REF75965,CHQ7428,CHQ7428,Duplicate
Software Subscription,Software Subscription,62184,62184,2026-06-07,2026-06-07,REF47194,REF47194,CHQ6341,CHQ6341,Matched
Office Rent,Office Rent,12768,12768,2026-06-27,2026-06-27,REF26381,REF26381,CHQ5741,CHQ5741,Matched
GST Payment,GST Payment,71258,-71258,2026-06-09,2026-06-09,REF93764,REF93764,CHQ1811,CHQ1811,Reversal Entry
Bank Charges,Bank Charges,86777,-86777,2026-06-10,2026-06-10,REF99315,REF99315,CHQ3195,CHQ3195,Reversal Entry
Office Rent,Not Available,42802,0,2026-06-30,2026-06-30,REF65513,NA,CHQ6027,NA,Missing Entry
Salary Payment,Not Available,51593,0,2026-06-03,2026-06-03,REF62963,NA,CHQ6554,NA,Missing Entry
Fuel Expense,Unknown Transaction,72314,216942,2026-06-28,2026-06-28,REF43994,REF43994,CHQ2492,CHQ2492,Suspicious
Software Subscription,Software Subscription,45159,45159,2026-06-02,2026-06-02,REF98577,REF98577,CHQ8512,CHQ8512,Duplicate
Bank Charges,Bank Charges,53059,-53059,2026-06-13,2026-06-13,REF19878,REF19878,CHQ9830,CHQ9830,Reversal Entry
Professional Fees,Not Available,83461,0,2026-06-05,2026-06-05,REF99424,NA,CHQ5795,NA,Missing Entry
Office Rent,Not Available,70019,0,2026-06-22,2026-06-22,REF60426,NA,CHQ9577,NA,Missing Entry
GST Payment,Unknown Transaction,65115,325575,2026-06-15,2026-06-15,REF53918,REF53918,CHQ7703,CHQ7703,Suspicious
Professional Fees,Not Available,70952,0,2026-06-21,2026-06-21,REF67471,NA,CHQ2462,NA,Missing Entry
Bank Charges,Unknown Transaction,16105,32210,2026-06-08,2026-06-08,REF52409,REF52409,CHQ5377,CHQ5377,Suspicious
Electricity Bill,Not Available,78487,0,2026-07-01,2026-07-01,REF62652,NA,CHQ1515,NA,Missing Entry
Bank Charges,Bank Charges,56835,56831,2026-06-26,2026-06-29,REF37783,REF37783,CHQ9203,CHQ9203,Fuzzy Matched
Professional Fees,Professional Fees,35933,-35933,2026-06-25,2026-06-25,REF90406,REF90406,CHQ6503,CHQ6503,Reversal Entry
Vendor Payment,Vendor Payment,2480,2480,2026-06-22,2026-06-22,REF95691,REF95691,CHQ5710,CHQ5710,Matched
Fuel Expense,Fuel Expense,12970,12975,2026-06-04,2026-06-07,REF36140,REF36140,CHQ2440,CHQ2440,Fuzzy Matched
Vendor Payment,Vendor Payment,70303,-70303,2026-06-03,2026-06-03,REF12611,REF12611,CHQ5706,CHQ5706,Reversal Entry
Fuel Expense,Fuel Expense,82584,82584,2026-06-14,2026-06-14,REF97817,REF97817,CHQ9001,CHQ9001,Matched
Professional Fees,Professional Fees,31198,31198,2026-06-26,2026-06-26,REF69277,REF69277,CHQ8644,CHQ8644,Duplicate
Customer Receipt,Not Available,84713,0,2026-06-17,2026-06-17,REF20211,NA,CHQ4658,NA,Missing Entry
Salary Payment,Salary Payment,57396,57393,2026-06-27,2026-06-30,REF97823,REF97823,CHQ9448,CHQ9448,Fuzzy Matched
Fuel Expense,Fuel Expense,6631,6627,2026-06-29,2026-07-02,REF83361,REF83361,CHQ9533,CHQ9533,Fuzzy Matched
Vendor Payment,Vendor Payment,29730,-29730,2026-06-21,2026-06-21,REF92611,REF92611,CHQ5281,CHQ5281,Reversal Entry
Customer Receipt,Not Available,40688,0,2026-06-17,2026-06-17,REF49434,NA,CHQ8076,NA,Missing Entry
Fuel Expense,Not Available,28751,0,2026-06-28,2026-06-28,REF59558,NA,CHQ4278,NA,Missing Entry
Salary Payment,Salary Payment,74872,-74872,2026-06-26,2026-06-26,REF93107,REF93107,CHQ9929,CHQ9929,Reversal Entry
Customer Receipt,Customer Receipt,35611,35611,2026-06-05,2026-06-05,REF30547,REF30547,CHQ5129,CHQ5129,Duplicate
Office Rent,Office Rent,43465,43465,2026-06-14,2026-06-14,REF96285,REF96285,CHQ4819,CHQ4819,Duplicate
Salary Payment,Salary Payment,11107,-11107,2026-06-07,2026-06-07,REF35338,REF35338,CHQ2837,CHQ2837,Reversal Entry
GST Payment,Not Available,57780,0,2026-06-14,2026-06-14,REF87686,NA,CHQ7810,NA,Missing Entry
Customer Receipt,Unknown Transaction,73991,221973,2026-06-13,2026-06-13,REF94928,REF94928,CHQ5148,CHQ5148,Suspicious
Salary Payment,Salary Payment,77946,77946,2026-06-25,2026-06-25,REF67439,REF67439,CHQ4065,CHQ4065,Duplicate
Vendor Payment,Vendor Payment,77101,77101,2026-06-12,2026-06-12,REF47094,REF47094,CHQ8805,CHQ8805,Duplicate
Fuel Expense,Not Available,36079,0,2026-06-01,2026-06-01,REF91713,NA,CHQ3146,NA,Missing Entry
Office Rent,Office Rent,23504,23504,2026-06-05,2026-06-05,REF55463,REF55463,CHQ8209,CHQ8209,Matched
Professional Fees,Professional Fees,55948,55948,2026-06-13,2026-06-13,REF83112,REF83112,CHQ2449,CHQ2449,Matched
Electricity Bill,Electricity Bill,4602,4606,2026-06-18,2026-06-20,REF85906,REF85906,CHQ5483,CHQ5483,Fuzzy Matched
Office Rent,Office Rent,75935,75935,2026-06-16,2026-06-16,REF61659,REF61659,CHQ6833,CHQ6833,Matched
Bank Charges,Bank Charges,17202,17202,2026-06-15,2026-06-18,REF78337,REF78337,CHQ8373,CHQ8373,Fuzzy Matched
Fuel Expense,Fuel Expense,34360,34363,2026-06-30,2026-07-02,REF88878,REF88878,CHQ6734,CHQ6734,Fuzzy Matched
Office Rent,Office Rent,14944,14946,2026-06-12,2026-06-15,REF26402,REF26402,CHQ5231,CHQ5231,Fuzzy Matched
GST Payment,GST Payment,79336,-79336,2026-06-04,2026-06-04,REF55370,REF55370,CHQ3914,CHQ3914,Reversal Entry
GST Payment,GST Payment,73478,73478,2026-06-09,2026-06-09,REF28190,REF28190,CHQ6276,CHQ6276,Matched
Salary Payment,Salary Payment,14481,14481,2026-06-05,2026-06-05,REF48374,REF48374,CHQ2173,CHQ2173,Duplicate
Office Rent,Office Rent,65611,65611,2026-06-04,2026-06-04,REF33180,REF33180,CHQ9719,CHQ9719,Matched
Electricity Bill,Unknown Transaction,23864,71592,2026-06-23,2026-06-23,REF45872,REF45872,CHQ3294,CHQ3294,Suspicious
Electricity Bill,Electricity Bill,22366,22360,2026-06-20,2026-06-23,REF38517,REF38517,CHQ5867,CHQ5867,Fuzzy Matched
Fuel Expense,Fuel Expense,92386,92391,2026-06-28,2026-06-29,REF71759,REF71759,CHQ4472,CHQ4472,Fuzzy Matched
Customer Receipt,Not Available,23635,0,2026-06-11,2026-06-11,REF73621,NA,CHQ9489,NA,Missing Entry
Salary Payment,Salary Payment,6880,6880,2026-06-09,2026-06-09,REF31606,REF31606,CHQ5940,CHQ5940,Duplicate
Software Subscription,Unknown Transaction,57544,172632,2026-07-01,2026-07-01,REF52400,REF52400,CHQ1745,CHQ1745,Suspicious
Customer Receipt,Not Available,52156,0,2026-06-01,2026-06-01,REF51324,NA,CHQ7191,NA,Missing Entry
Vendor Payment,Vendor Payment,37327,37327,2026-06-21,2026-06-21,REF94511,REF94511,CHQ5772,CHQ5772,Duplicate
Fuel Expense,Fuel Expense,24733,24733,2026-06-18,2026-06-18,REF49258,REF49258,CHQ5933,CHQ5933,Duplicate
Salary Payment,Unknown Transaction,39415,157660,2026-06-11,2026-06-11,REF97638,REF97638,CHQ3686,CHQ3686,Suspicious
Customer Receipt,Customer Receipt,38682,38684,2026-06-05,2026-06-07,REF91488,REF91488,CHQ9811,CHQ9811,Fuzzy Matched
Professional Fees,Professional Fees,72718,72718,2026-07-01,2026-07-01,REF30250,REF30250,CHQ8606,CHQ8606,Matched
GST Payment,GST Payment,98839,98839,2026-06-13,2026-06-13,REF69419,REF69419,CHQ5012,CHQ5012,Matched
Office Rent,Not Available,15495,0,2026-06-19,2026-06-19,REF49693,NA,CHQ1715,NA,Missing Entry
Professional Fees,Professional Fees,89380,89380,2026-06-04,2026-06-04,REF75491,REF75491,CHQ4140,CHQ4140,Duplicate
Bank Charges,Unknown Transaction,2285,6855,2026-06-09,2026-06-09,REF13581,REF13581,CHQ9081,CHQ9081,Suspicious
Bank Charges,Bank Charges,78704,78704,2026-07-01,2026-07-01,REF31444,REF31444,CHQ5214,CHQ5214,Duplicate
Salary Payment,Salary Payment,35282,35282,2026-06-23,2026-06-23,REF99750,REF99750,CHQ9361,CHQ9361,Duplicate
Vendor Payment,Vendor Payment,21365,-21365,2026-06-13,2026-06-13,REF23802,REF23802,CHQ9532,CHQ9532,Reversal Entry
GST Payment,Unknown Transaction,59396,118792,2026-06-26,2026-06-26,REF15836,REF15836,CHQ2195,CHQ2195,Suspicious
Salary Payment,Unknown Transaction,92122,184244,2026-06-16,2026-06-16,REF86234,REF86234,CHQ4418,CHQ4418,Suspicious
Fuel Expense,Not Available,55780,0,2026-06-20,2026-06-20,REF72533,NA,CHQ8096,NA,Missing Entry
Salary Payment,Salary Payment,29499,29499,2026-06-09,2026-06-09,REF81665,REF81665,CHQ2777,CHQ2777,Duplicate
Software Subscription,Software Subscription,36918,36918,2026-06-10,2026-06-10,REF51121,REF51121,CHQ1175,CHQ1175,Matched
Electricity Bill,Electricity Bill,94650,-94650,2026-07-01,2026-07-01,REF96923,REF96923,CHQ3309,CHQ3309,Reversal Entry
GST Payment,GST Payment,15742,15742,2026-06-21,2026-06-21,REF55284,REF55284,CHQ1346,CHQ1346,Matched
Bank Charges,Not Available,22756,0,2026-06-29,2026-06-29,REF15590,NA,CHQ4911,NA,Missing Entry
Bank Charges,Bank Charges,44358,44358,2026-06-04,2026-06-04,REF45206,REF45206,CHQ5035,CHQ5035,Matched
Customer Receipt,Customer Receipt,74126,74129,2026-06-20,2026-06-21,REF75520,REF75520,CHQ4709,CHQ4709,Fuzzy Matched
Bank Charges,Unknown Transaction,76732,153464,2026-06-23,2026-06-23,REF51318,REF51318,CHQ4270,CHQ4270,Suspicious
Electricity Bill,Electricity Bill,51773,51771,2026-06-23,2026-06-24,REF25267,REF25267,CHQ5254,CHQ5254,Fuzzy Matched
Fuel Expense,Fuel Expense,55843,55843,2026-06-27,2026-06-27,REF47801,REF47801,CHQ4102,CHQ4102,Matched
GST Payment,GST Payment,57959,57958,2026-06-09,2026-06-11,REF45926,REF45926,CHQ6423,CHQ6423,Fuzzy Matched
Salary Payment,Unknown Transaction,70234,280936,2026-06-12,2026-06-12,REF98365,REF98365,CHQ6852,CHQ6852,Suspicious
Office Rent,Unknown Transaction,56768,170304,2026-06-18,2026-06-18,REF82711,REF82711,CHQ9223,CHQ9223,Suspicious
Vendor Payment,Vendor Payment,15290,-15290,2026-06-28,2026-06-28,REF87012,REF87012,CHQ1915,CHQ1915,Reversal Entry
Professional Fees,Not Available,79361,0,2026-06-04,2026-06-04,REF41224,NA,CHQ2160,NA,Missing Entry
Fuel Expense,Fuel Expense,26275,26275,2026-06-17,2026-06-17,REF26079,REF26079,CHQ2888,CHQ2888,Matched
Software Subscription,Software Subscription,66943,66943,2026-06-11,2026-06-11,REF67605,REF67605,CHQ4842,CHQ4842,Matched
Customer Receipt,Not Available,81081,0,2026-06-02,2026-06-02,REF70474,NA,CHQ8735,NA,Missing Entry
GST Payment,GST Payment,19026,19026,2026-06-14,2026-06-14,REF72271,REF72271,CHQ4846,CHQ4846,Matched
Salary Payment,Unknown Transaction,16811,50433,2026-06-07,2026-06-07,REF12543,REF12543,CHQ1786,CHQ1786,Suspicious
Professional Fees,Professional Fees,37235,37239,2026-06-04,2026-06-06,REF18418,REF18418,CHQ1126,CHQ1126,Fuzzy Matched
Bank Charges,Bank Charges,10902,10902,2026-06-13,2026-06-13,REF16748,REF16748,CHQ3601,CHQ3601,Duplicate
Office Rent,Not Available,32282,0,2026-06-19,2026-06-19,REF16335,NA,CHQ9960,NA,Missing Entry
Office Rent,Office Rent,49053,49053,2026-06-09,2026-06-09,REF13858,REF13858,CHQ9106,CHQ9106,Duplicate
Professional Fees,Unknown Transaction,43914,131742,2026-06-04,2026-06-04,REF78162,REF78162,CHQ7009,CHQ7009,Suspicious
Fuel Expense,Not Available,41270,0,2026-06-14,2026-06-14,REF95018,NA,CHQ9127,NA,Missing Entry
Bank Charges,Bank Charges,83704,-83704,2026-06-04,2026-06-04,REF90327,REF90327,CHQ3979,CHQ3979,Reversal Entry
Salary Payment,Unknown Transaction,2858,8574,2026-06-18,2026-06-18,REF73626,REF73626,CHQ9157,CHQ9157,Suspicious
Fuel Expense,Fuel Expense,8271,8271,2026-06-11,2026-06-11,REF85505,REF85505,CHQ4358,CHQ4358,Matched
Office Rent,Office Rent,15678,-15678,2026-06-10,2026-06-10,REF42490,REF42490,CHQ1352,CHQ1352,Reversal Entry
Customer Receipt,Customer Receipt,33507,-33507,2026-06-04,2026-06-04,REF88793,REF88793,CHQ9734,CHQ9734,Reversal Entry
Office Rent,Not Available,21444,0,2026-06-23,2026-06-23,REF38025,NA,CHQ3261,NA,Missing Entry
Fuel Expense,Not Available,3545,0,2026-06-13,2026-06-13,REF59878,NA,CHQ2919,NA,Missing Entry
Electricity Bill,Electricity Bill,32184,-32184,2026-06-04,2026-06-04,REF22516,REF22516,CHQ8732,CHQ8732,Reversal Entry
GST Payment,GST Payment,5988,-5988,2026-06-07,2026-06-07,REF30649,REF30649,CHQ2266,CHQ2266,Reversal Entry
Vendor Payment,Vendor Payment,60431,60431,2026-06-17,2026-06-17,REF52685,REF52685,CHQ1465,CHQ1465,Duplicate
Salary Payment,Salary Payment,39927,39921,2026-06-11,2026-06-14,REF58489,REF58489,CHQ3103,CHQ3103,Fuzzy Matched
Electricity Bill,Electricity Bill,50209,50219,2026-06-19,2026-06-21,REF90445,REF90445,CHQ1296,CHQ1296,Fuzzy Matched
Bank Charges,Bank Charges,7479,-7479,2026-06-23,2026-06-23,REF86319,REF86319,CHQ1652,CHQ1652,Reversal Entry
Professional Fees,Unknown Transaction,60155,120310,2026-06-15,2026-06-15,REF28534,REF28534,CHQ6291,CHQ6291,Suspicious
Salary Payment,Not Available,99094,0,2026-06-04,2026-06-04,REF92077,NA,CHQ4479,NA,Missing Entry
Professional Fees,Professional Fees,18664,18669,2026-06-15,2026-06-16,REF56292,REF56292,CHQ7685,CHQ7685,Fuzzy Matched
Salary Payment,Salary Payment,96162,96162,2026-06-16,2026-06-16,REF91556,REF91556,CHQ3625,CHQ3625,Matched
GST Payment,GST Payment,45156,45160,2026-06-04,2026-06-06,REF17957,REF17957,CHQ9121,CHQ9121,Fuzzy Matched
Software Subscription,Unknown Transaction,38581,154324,2026-06-26,2026-06-26,REF31911,REF31911,CHQ1858,CHQ1858,Suspicious
Office Rent,Office Rent,79600,79600,2026-06-14,2026-06-14,REF11201,REF11201,CHQ6188,CHQ6188,Matched
Fuel Expense,Not Available,78751,0,2026-06-01,2026-06-01,REF28291,NA,CHQ3366,NA,Missing Entry
Bank Charges,Bank Charges,5699,5699,2026-06-19,2026-06-19,REF49378,REF49378,CHQ2450,CHQ2450,Duplicate
GST Payment,GST Payment,95066,95066,2026-06-24,2026-06-24,REF48227,REF48227,CHQ8210,CHQ8210,Duplicate
Software Subscription,Software Subscription,51944,-51944,2026-06-04,2026-06-04,REF99961,REF99961,CHQ6746,CHQ6746,Reversal Entry
Salary Payment,Not Available,69869,0,2026-06-06,2026-06-06,REF92250,NA,CHQ7755,NA,Missing Entry
Software Subscription,Software Subscription,65955,65955,2026-06-18,2026-06-18,REF96225,REF96225,CHQ7631,CHQ7631,Matched
Vendor Payment,Unknown Transaction,31006,93018,2026-06-17,2026-06-17,REF26048,REF26048,CHQ4891,CHQ4891,Suspicious
Office Rent,Office Rent,25963,25971,2026-06-04,2026-06-07,REF86831,REF86831,CHQ4641,CHQ4641,Fuzzy Matched
Professional Fees,Professional Fees,15152,-15152,2026-06-22,2026-06-22,REF33930,REF33930,CHQ2058,CHQ2058,Reversal Entry
Electricity Bill,Not Available,29328,0,2026-06-04,2026-06-04,REF85504,NA,CHQ9409,NA,Missing Entry
Fuel Expense,Fuel Expense,96446,96446,2026-06-21,2026-06-21,REF34191,REF34191,CHQ6058,CHQ6058,Matched
Vendor Payment,Vendor Payment,91637,-91637,2026-06-01,2026-06-01,REF93485,REF93485,CHQ2197,CHQ2197,Reversal Entry
Software Subscription,Unknown Transaction,47116,94232,2026-06-11,2026-06-11,REF37682,REF37682,CHQ2066,CHQ2066,Suspicious
Office Rent,Office Rent,52823,52826,2026-06-24,2026-06-27,REF25734,REF25734,CHQ1308,CHQ1308,Fuzzy Matched
Software Subscription,Unknown Transaction,3043,12172,2026-06-26,2026-06-26,REF16373,REF16373,CHQ7042,CHQ7042,Suspicious
Office Rent,Office Rent,68485,68485,2026-06-23,2026-06-25,REF15355,REF15355,CHQ7616,CHQ7616,Fuzzy Matched
Bank Charges,Bank Charges,47910,47916,2026-06-10,2026-06-12,REF94758,REF94758,CHQ8084,CHQ8084,Fuzzy Matched
Bank Charges,Unknown Transaction,74615,298460,2026-06-14,2026-06-14,REF80663,REF80663,CHQ3481,CHQ3481,Suspicious
Electricity Bill,Electricity Bill,80957,80957,2026-06-15,2026-06-15,REF96948,REF96948,CHQ7066,CHQ7066,Matched
Professional Fees,Professional Fees,9302,9302,2026-06-20,2026-06-20,REF37730,REF37730,CHQ1285,CHQ1285,Duplicate
Electricity Bill,Electricity Bill,53397,53397,2026-06-23,2026-06-23,REF10762,REF10762,CHQ2772,CHQ2772,Duplicate
Salary Payment,Salary Payment,12998,12995,2026-06-22,2026-06-23,REF69442,REF69442,CHQ8880,CHQ8880,Fuzzy Matched
Bank Charges,Bank Charges,67438,-67438,2026-06-16,2026-06-16,REF62890,REF62890,CHQ5883,CHQ5883,Reversal Entry
Office Rent,Unknown Transaction,66897,133794,2026-06-24,2026-06-24,REF91578,REF91578,CHQ9053,CHQ9053,Suspicious
Customer Receipt,Customer Receipt,35770,35770,2026-06-25,2026-06-25,REF71784,REF71784,CHQ7899,CHQ7899,Duplicate
Fuel Expense,Not Available,24705,0,2026-06-03,2026-06-03,REF75106,NA,CHQ3383,NA,Missing Entry
GST Payment,Not Available,92174,0,2026-06-22,2026-06-22,REF81917,NA,CHQ5341,NA,Missing Entry
Customer Receipt,Customer Receipt,30401,30403,2026-06-22,2026-06-25,REF42385,REF42385,CHQ1321,CHQ1321,Fuzzy Matched
Salary Payment,Salary Payment,54433,54433,2026-06-23,2026-06-23,REF88834,REF88834,CHQ9349,CHQ9349,Matched
Bank Charges,Unknown Transaction,16453,65812,2026-06-02,2026-06-02,REF66068,REF66068,CHQ7402,CHQ7402,Suspicious
Professional Fees,Not Available,10596,0,2026-06-17,2026-06-17,REF52550,NA,CHQ5085,NA,Missing Entry
Customer Receipt,Customer Receipt,89266,-89266,2026-06-30,2026-06-30,REF55483,REF55483,CHQ5843,CHQ5843,Reversal Entry
GST Payment,GST Payment,47378,47378,2026-06-11,2026-06-11,REF25160,REF25160,CHQ5945,CHQ5945,Matched
Customer Receipt,Unknown Transaction,65502,196506,2026-06-18,2026-06-18,REF52830,REF52830,CHQ2571,CHQ2571,Suspicious
Software Subscription,Software Subscription,45418,45418,2026-06-01,2026-06-01,REF10989,REF10989,CHQ6801,CHQ6801,Duplicate
Office Rent,Office Rent,11799,11799,2026-06-29,2026-06-29,REF69143,REF69143,CHQ3726,CHQ3726,Matched
Salary Payment,Salary Payment,98463,98463,2026-06-09,2026-06-09,REF40277,REF40277,CHQ5231,CHQ5231,Matched
Salary Payment,Salary Payment,45469,45469,2026-06-30,2026-06-30,REF37894,REF37894,CHQ3275,CHQ3275,Duplicate
GST Payment,Not Available,77151,0,2026-06-21,2026-06-21,REF29470,NA,CHQ8303,NA,Missing Entry
Electricity Bill,Not Available,87620,0,2026-06-15,2026-06-15,REF13437,NA,CHQ1353,NA,Missing Entry
Electricity Bill,Unknown Transaction,46235,92470,2026-06-08,2026-06-08,REF45601,REF45601,CHQ9095,CHQ9095,Suspicious
Salary Payment,Salary Payment,14774,-14774,2026-06-09,2026-06-09,REF88985,REF88985,CHQ9322,CHQ9322,Reversal Entry
Fuel Expense,Fuel Expense,91590,91590,2026-07-01,2026-07-01,REF95679,REF95679,CHQ1328,CHQ1328,Duplicate
Bank Charges,Bank Charges,21116,-21116,2026-06-17,2026-06-17,REF64438,REF64438,CHQ9034,CHQ9034,Reversal Entry
Vendor Payment,Vendor Payment,4073,4073,2026-06-26,2026-06-26,REF32233,REF32233,CHQ3364,CHQ3364,Duplicate
Software Subscription,Unknown Transaction,3124,12496,2026-06-22,2026-06-22,REF96323,REF96323,CHQ8748,CHQ8748,Suspicious
Office Rent,Office Rent,38284,-38284,2026-06-29,2026-06-29,REF96985,REF96985,CHQ5461,CHQ5461,Reversal Entry
Fuel Expense,Fuel Expense,39946,39946,2026-06-18,2026-06-20,REF46795,REF46795,CHQ9288,CHQ9288,Fuzzy Matched
Software Subscription,Unknown Transaction,32288,161440,2026-06-25,2026-06-25,REF99945,REF99945,CHQ3482,CHQ3482,Suspicious
Salary Payment,Unknown Transaction,73573,147146,2026-06-11,2026-06-11,REF79265,REF79265,CHQ7353,CHQ7353,Suspicious
Vendor Payment,Vendor Payment,74098,74098,2026-06-12,2026-06-12,REF34940,REF34940,CHQ8627,CHQ8627,Matched
Office Rent,Unknown Transaction,75346,376730,2026-06-17,2026-06-17,REF48076,REF48076,CHQ8392,CHQ8392,Suspicious
Electricity Bill,Not Available,77857,0,2026-06-20,2026-06-20,REF40256,NA,CHQ2286,NA,Missing Entry
Customer Receipt,Customer Receipt,90735,90735,2026-06-24,2026-06-24,REF93687,REF93687,CHQ8844,CHQ8844,Duplicate
GST Payment,Unknown Transaction,15392,61568,2026-06-25,2026-06-25,REF43028,REF43028,CHQ8487,CHQ8487,Suspicious
Professional Fees,Professional Fees,94431,94435,2026-06-19,2026-06-21,REF29764,REF29764,CHQ6094,CHQ6094,Fuzzy Matched
Fuel Expense,Fuel Expense,19705,19700,2026-06-30,2026-07-01,REF56001,REF56001,CHQ7804,CHQ7804,Fuzzy Matched
Fuel Expense,Fuel Expense,84011,84007,2026-06-15,2026-06-16,REF61669,REF61669,CHQ7225,CHQ7225,Fuzzy Matched
Professional Fees,Not Available,80417,0,2026-06-21,2026-06-21,REF83060,NA,CHQ4025,NA,Missing Entry
