Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
GST Payment,GST Challan,67571,67571,2026-01-10,2026-01-10,REF626835,REF626835,NA,NA,Matched
Fuel Expense,Fuel Card Payment,219145,219145,2026-05-21,2026-05-21,REF259874,REF259874,NA,NA,Matched
Electricity Bill,Electricity Payment,450588,450588,2026-05-07,2026-05-07,REF463164,REF889357,CHQ4402,CHQ4402,Reference Mismatch
Vendor Payment,Vendor Transfer,422352,422352,2026-05-28,2026-05-28,REF302972,REF302972,CHQ3587,CHQ3587,Matched
Electricity Bill,Electricity Payment,76817,76817,2026-03-17,2026-03-17,REF217575,REF217575,NA,NA,Matched
Bank Charges,Bank Service Charge,230107,230107,2026-02-18,2026-02-18,REF845416,REF845416,CHQ5174,CHQ5174,Matched
Office Rent,Rent Transfer,233916,233916,2026-04-18,2026-04-18,REF662947,REF662947,CHQ2557,CHQ2557,Matched
Office Rent,Rent Transfer,382440,382440,2026-04-05,2026-04-05,REF611337,REF611337,CHQ1616,CHQ1616,Matched
Bank Charges,Bank Service Charge,352334,352334,2026-03-07,2026-03-07,REF172367,REF172367,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,351213,354264,2026-06-27,2026-06-27,REF811203,REF811203,CHQ9395,CHQ9395,Amount Mismatch
Advertising Expense,Marketing Expense,282510,282510,2026-05-12,2026-05-12,REF156394,REF156394,CHQ1713,CHQ1713,Matched
Insurance Premium,Insurance Debit,140924,140924,2026-04-27,2026-04-27,REF688189,REF688189,NA,NA,Matched
Vendor Payment,Vendor Transfer,10484,10484,2026-05-21,2026-05-21,REF597108,REF162820,NA,NA,Reference Mismatch
Internet Expense,Internet Payment,272195,272195,2026-05-18,2026-05-18,REF249284,REF249284,NA,NA,Matched
Loan EMI,EMI Debit,306169,306169,2026-02-15,2026-02-15,REF761865,REF761865,CHQ8961,CHQ8961,Matched
GST Payment,GST Challan,369547,369547,2026-01-06,2026-01-06,REF797730,REF797730,CHQ7990,CHQ7990,Unmatched
Customer Receipt,Customer Credit,400415,400415,2026-04-23,2026-04-23,REF652177,REF652177,CHQ1336,CHQ4549,Cheque Mismatch
Customer Receipt,Customer Credit,83334,83334,2026-06-22,2026-06-22,REF653272,REF653272,NA,NA,Matched
Fuel Expense,Fuel Card Payment,103491,103491,2026-04-13,2026-04-13,REF480103,REF480103,NA,NA,Matched
Software Subscription,Software Auto Debit,400488,400488,2026-05-28,2026-06-17,REF560062,REF560062,CHQ9123,CHQ9123,Date Difference
Travel Expense,Travel Reimbursement,465896,465896,2026-05-20,2026-05-25,REF460039,REF460039,NA,NA,Date Difference
Advertising Expense,Marketing Expense,474077,474077,2026-04-20,2026-04-20,REF821077,REF821077,CHQ6628,CHQ6628,Matched
Advertising Expense,Marketing Expense,17044,17044,2026-05-14,2026-05-14,REF178214,REF178214,CHQ1630,CHQ1630,Matched
Bank Charges,Bank Service Charge,190531,190531,2026-03-31,2026-03-31,REF740211,REF740211,CHQ3680,CHQ3680,Matched
Salary Payment,NEFT Salary Transfer,156618,156618,2026-01-19,2026-01-19,REF958457,REF958457,NA,CHQ3376,Cheque Mismatch
Fuel Expense,Fuel Card Payment,252542,252542,2026-03-18,2026-03-18,REF605212,REF605212,NA,NA,Matched
Internet Expense,Internet Payment,122982,122982,2026-04-17,2026-04-26,REF307231,REF307231,NA,NA,Date Difference
Software Subscription,Software Auto Debit,188991,188991,2026-04-11,2026-04-11,REF508268,REF508268,NA,NA,Matched
Insurance Premium,Insurance Debit,418133,418133,2026-03-20,2026-03-20,REF212893,REF212893,NA,NA,Unmatched
Office Rent,Rent Transfer,479376,479376,2026-02-04,2026-02-04,REF168449,REF168449,CHQ2782,CHQ2782,Matched
Travel Expense,Travel Reimbursement,10456,10456,2026-02-18,2026-02-18,REF531426,REF531426,NA,NA,Matched
Advertising Expense,Marketing Expense,138867,138867,2026-03-22,2026-03-22,REF866303,REF866303,CHQ1239,CHQ1239,Matched
Bank Charges,Bank Service Charge,218022,218022,2026-06-25,2026-06-25,REF657106,REF657106,CHQ9154,CHQ9154,Unmatched
Loan EMI,EMI Debit,423027,423027,2026-01-27,2026-01-27,REF146811,REF146811,CHQ6039,CHQ6039,Matched
GST Payment,GST Challan,492630,492630,2026-06-30,2026-06-30,REF888984,REF888984,NA,NA,Probable Match
Customer Receipt,Customer Credit,64850,64850,2026-03-17,2026-03-17,REF928929,REF259409,NA,NA,Reference Mismatch
Internet Expense,Internet Payment,156048,156048,2026-06-26,2026-06-26,REF621375,REF621375,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,63046,63046,2026-03-09,2026-03-09,REF475716,REF475716,CHQ7072,CHQ7072,Probable Match
Vendor Payment,Vendor Transfer,374392,374392,2026-01-31,2026-01-31,REF805406,REF805406,NA,NA,Matched
Advertising Expense,Marketing Expense,421475,421475,2026-05-13,2026-05-13,REF509306,REF509306,NA,NA,Matched
Insurance Premium,Insurance Debit,229707,229707,2026-05-18,2026-05-18,REF442655,REF442655,CHQ4995,CHQ4995,Matched
Professional Fees,Consultancy Payment,314928,314928,2026-06-02,2026-06-02,REF995428,REF995428,NA,NA,Matched
Loan EMI,EMI Debit,272009,272009,2026-02-18,2026-02-18,REF318350,REF318350,NA,NA,Probable Match
Fuel Expense,Fuel Card Payment,459170,459170,2026-02-17,2026-02-17,REF845606,REF845606,NA,NA,Matched
Electricity Bill,Electricity Payment,303886,303886,2026-05-04,2026-05-04,REF277534,REF277534,CHQ2487,CHQ2487,Probable Match
Internet Expense,Internet Payment,53912,56860,2026-05-30,2026-05-30,REF841533,REF841533,NA,NA,Amount Mismatch
Travel Expense,Travel Reimbursement,86530,86530,2026-01-25,2026-01-25,REF152836,REF152836,NA,NA,Matched
Vendor Payment,Vendor Transfer,203761,203761,2026-06-08,2026-06-08,REF239133,REF239133,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,361672,361672,2026-05-12,2026-05-12,REF313045,REF313045,NA,NA,Matched
Bank Charges,Bank Service Charge,172326,172326,2026-03-17,2026-03-17,REF821167,REF821167,NA,NA,Matched
Electricity Bill,Electricity Payment,486738,486738,2026-05-28,2026-05-28,REF708329,REF708329,NA,NA,Matched
Internet Expense,Internet Payment,447067,447067,2026-04-20,2026-04-20,REF718481,REF718481,CHQ3442,CHQ3442,Matched
Vendor Payment,Vendor Transfer,294254,294254,2026-05-16,2026-05-16,REF808585,REF808585,NA,NA,Matched
Bank Charges,Bank Service Charge,298231,298231,2026-05-25,2026-05-25,REF490999,REF490999,NA,NA,Matched
Electricity Bill,Electricity Payment,15800,15800,2026-03-25,2026-03-25,REF533942,REF533942,NA,NA,Matched
Insurance Premium,Insurance Debit,135734,135734,2026-04-12,2026-04-12,REF690660,REF690660,NA,NA,Matched
Customer Receipt,Customer Credit,167435,167435,2026-01-24,2026-01-24,REF911159,REF911159,CHQ3877,CHQ4073,Cheque Mismatch
Office Rent,Rent Transfer,442471,442471,2026-04-20,2026-04-20,REF512417,REF512417,CHQ8604,CHQ8604,Matched
Loan EMI,EMI Debit,120650,120650,2026-05-13,2026-05-13,REF378552,REF378552,CHQ7254,CHQ7254,Matched
Vendor Payment,Vendor Transfer,210095,210095,2026-01-19,2026-01-19,REF789720,REF480159,NA,NA,Reference Mismatch
Vendor Payment,Vendor Transfer,389362,389362,2026-03-18,2026-03-18,REF488068,REF488068,NA,NA,Matched
Professional Fees,Consultancy Payment,48275,48275,2026-03-19,2026-03-19,REF921265,REF921265,CHQ8713,CHQ8713,Matched
Advertising Expense,Marketing Expense,259783,262889,2026-05-05,2026-05-05,REF582115,REF582115,NA,NA,Amount Mismatch
Insurance Premium,Insurance Debit,203435,203435,2026-04-15,2026-04-15,REF503411,REF503411,CHQ5472,CHQ5472,Matched
Insurance Premium,Insurance Debit,480154,480154,2026-03-23,2026-03-23,REF241717,REF241717,NA,NA,Matched
Insurance Premium,Insurance Debit,6933,6933,2026-05-21,2026-05-21,REF562413,REF562413,NA,NA,Matched
Professional Fees,Consultancy Payment,92037,92037,2026-02-01,2026-02-01,REF345190,REF345190,CHQ8757,CHQ8757,Matched
Customer Receipt,Customer Credit,313333,313333,2026-06-20,2026-06-20,REF789536,REF789536,CHQ3802,CHQ3802,Matched
Insurance Premium,Insurance Debit,37462,37462,2026-01-30,2026-01-30,REF107502,REF107502,CHQ9987,CHQ9987,Matched
Vendor Payment,Vendor Transfer,195445,195445,2026-01-26,2026-01-26,REF300148,REF300148,NA,NA,Matched
Internet Expense,Internet Payment,180380,180380,2026-02-24,2026-02-24,REF644750,REF644750,NA,NA,Matched
Customer Receipt,Customer Credit,49868,49868,2026-04-18,2026-04-18,REF191667,REF191667,CHQ3363,CHQ3363,Probable Match
Electricity Bill,Electricity Payment,443745,443745,2026-05-26,2026-05-26,REF791134,REF791134,NA,NA,Matched
Vendor Payment,Vendor Transfer,439361,439361,2026-04-17,2026-04-17,REF759785,REF759785,CHQ9616,CHQ9616,Matched
GST Payment,GST Challan,464514,464514,2026-06-05,2026-06-05,REF480217,REF480217,NA,NA,Matched
GST Payment,GST Challan,499975,499975,2026-02-20,2026-02-20,REF124617,REF124617,CHQ2660,CHQ2660,Matched
Software Subscription,Software Auto Debit,418879,418879,2026-03-11,2026-03-11,REF306826,REF306826,NA,NA,Matched
Professional Fees,Consultancy Payment,154844,154844,2026-01-22,2026-01-22,REF639582,REF639582,NA,NA,Matched
Vendor Payment,Vendor Transfer,61734,61734,2026-03-15,2026-03-15,REF662242,REF662242,NA,NA,Probable Match
Insurance Premium,Insurance Debit,453087,453087,2026-02-23,2026-02-23,REF506902,REF506902,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,18188,18188,2026-06-01,2026-06-01,REF869951,REF869951,CHQ3510,CHQ3510,Matched
Professional Fees,Consultancy Payment,252133,252133,2026-05-11,2026-05-11,REF805571,REF805571,NA,NA,Matched
Travel Expense,Travel Reimbursement,401154,401154,2026-05-17,2026-05-26,REF857541,REF857541,NA,NA,Date Difference
Internet Expense,Internet Payment,223384,227338,2026-02-23,2026-02-23,REF575532,REF575532,NA,NA,Amount Mismatch
Customer Receipt,Customer Credit,405126,405126,2026-01-15,2026-01-15,REF659761,REF218301,NA,NA,Reference Mismatch
Electricity Bill,Electricity Payment,270700,270700,2026-06-06,2026-06-06,REF330756,REF330756,NA,NA,Matched
Internet Expense,Internet Payment,376932,379233,2026-04-17,2026-04-17,REF357944,REF357944,CHQ9559,CHQ9559,Amount Mismatch
Professional Fees,Consultancy Payment,316841,316841,2026-01-31,2026-01-31,REF385403,REF385403,NA,NA,Matched
Internet Expense,Internet Payment,382202,382202,2026-05-16,2026-05-16,REF650332,REF650332,CHQ7067,CHQ7067,Probable Match
Electricity Bill,Electricity Payment,11163,13540,2026-06-10,2026-06-10,REF963307,REF963307,NA,NA,Amount Mismatch
Salary Payment,NEFT Salary Transfer,77771,77771,2026-06-07,2026-06-07,REF642045,REF642045,NA,NA,Unmatched
Vendor Payment,Vendor Transfer,110610,110610,2026-04-13,2026-04-13,REF452524,REF452524,NA,NA,Probable Match
Office Rent,Rent Transfer,227315,227315,2026-01-19,2026-02-02,REF816686,REF816686,CHQ4663,CHQ4663,Date Difference
GST Payment,GST Challan,126548,126548,2026-01-28,2026-01-28,REF590996,REF590996,NA,NA,Matched
Bank Charges,Bank Service Charge,218406,218406,2026-04-29,2026-04-29,REF572960,REF572960,NA,NA,Matched
Customer Receipt,Customer Credit,212247,212247,2026-01-15,2026-01-15,REF644271,REF644271,CHQ3650,CHQ3650,Matched
Advertising Expense,Marketing Expense,293089,293089,2026-03-22,2026-03-22,REF753749,REF753749,CHQ9900,CHQ9900,Matched
Insurance Premium,Insurance Debit,332379,332379,2026-05-31,2026-05-31,REF410769,REF410769,CHQ6806,CHQ6806,Matched
Fuel Expense,Fuel Card Payment,74638,74638,2026-06-18,2026-06-18,REF309336,REF309336,NA,NA,Matched
Travel Expense,Travel Reimbursement,302596,302596,2026-02-04,2026-02-04,REF341295,REF341295,CHQ5639,CHQ5639,Matched
Salary Payment,NEFT Salary Transfer,290829,290829,2026-01-13,2026-01-13,REF573401,REF573401,CHQ4101,CHQ4101,Probable Match
Salary Payment,NEFT Salary Transfer,293241,293241,2026-02-19,2026-02-19,REF240059,REF240059,CHQ3751,CHQ3751,Probable Match
Customer Receipt,Customer Credit,431474,431474,2026-02-27,2026-02-27,REF829832,REF829832,CHQ1081,CHQ1081,Matched
Bank Charges,Bank Service Charge,177454,177454,2026-02-26,2026-02-26,REF435536,REF196919,NA,NA,Reference Mismatch
Bank Charges,Bank Service Charge,11941,11941,2026-03-10,2026-03-10,REF369996,REF369996,CHQ7883,CHQ7883,Matched
Electricity Bill,Electricity Payment,66373,66373,2026-01-24,2026-01-24,REF766914,REF332869,NA,NA,Reference Mismatch
Fuel Expense,Fuel Card Payment,352349,352349,2026-05-20,2026-05-20,REF270313,REF503682,NA,NA,Reference Mismatch
Office Rent,Rent Transfer,55216,55216,2026-02-01,2026-02-01,REF779465,REF779465,CHQ3718,CHQ3718,Matched
Bank Charges,Bank Service Charge,376520,376520,2026-01-06,2026-01-06,REF744106,REF744106,NA,NA,Matched
Fuel Expense,Fuel Card Payment,483641,483641,2026-02-28,2026-02-28,REF234150,REF234150,CHQ4380,CHQ4380,Matched
Fuel Expense,Fuel Card Payment,454446,454446,2026-03-17,2026-03-17,REF549927,REF549927,NA,NA,Probable Match
Customer Receipt,Customer Credit,161847,161847,2026-01-18,2026-01-18,REF419427,REF419427,NA,NA,Matched
GST Payment,GST Challan,336570,336570,2026-03-31,2026-03-31,REF973396,REF973396,NA,NA,Matched
Software Subscription,Software Auto Debit,432667,432667,2026-01-25,2026-01-25,REF901032,REF901032,NA,NA,Probable Match
Customer Receipt,Customer Credit,89669,89669,2026-06-03,2026-06-03,REF127221,REF127221,NA,NA,Matched
Electricity Bill,Electricity Payment,396022,396022,2026-03-02,2026-03-02,REF593059,REF593059,NA,NA,Probable Match
Advertising Expense,Marketing Expense,382196,382196,2026-06-09,2026-06-09,REF700796,REF700796,CHQ7468,CHQ7468,Matched
Customer Receipt,Customer Credit,182213,182213,2026-01-28,2026-01-28,REF761627,REF761627,CHQ5683,CHQ5683,Matched
Professional Fees,Consultancy Payment,354637,354637,2026-01-22,2026-01-22,REF266616,REF266616,NA,NA,Probable Match
Internet Expense,Internet Payment,240654,240654,2026-05-15,2026-05-15,REF634578,REF634578,CHQ2417,CHQ2417,Matched
Office Rent,Rent Transfer,391947,391947,2026-05-16,2026-05-16,REF264416,REF264416,CHQ1794,CHQ1794,Matched
Office Rent,Rent Transfer,444770,444770,2026-05-07,2026-05-07,REF178381,REF178381,CHQ5781,CHQ5781,Matched
Advertising Expense,Marketing Expense,347257,347257,2026-06-07,2026-06-07,REF379200,REF379200,CHQ6941,CHQ6941,Matched
Advertising Expense,Marketing Expense,363405,363405,2026-01-08,2026-01-08,REF527305,REF527305,NA,NA,Matched
Vendor Payment,Vendor Transfer,204797,204797,2026-01-18,2026-01-18,REF250333,REF250333,CHQ7766,CHQ7766,Matched
Electricity Bill,Electricity Payment,346934,346934,2026-04-07,2026-04-27,REF958944,REF958944,CHQ5388,CHQ5388,Date Difference
Bank Charges,Bank Service Charge,262720,262720,2026-06-11,2026-06-11,REF845724,REF845724,NA,NA,Matched
Advertising Expense,Marketing Expense,38768,38768,2026-01-06,2026-01-06,REF366402,REF366402,NA,NA,Probable Match
Advertising Expense,Marketing Expense,358132,358132,2026-05-04,2026-05-04,REF565060,REF565060,CHQ6163,CHQ6163,Matched
Advertising Expense,Marketing Expense,215742,215742,2026-02-20,2026-02-20,REF583703,REF583703,NA,NA,Probable Match
Travel Expense,Travel Reimbursement,229945,229945,2026-01-28,2026-01-28,REF854962,REF854962,NA,NA,Matched
Bank Charges,Bank Service Charge,335442,335442,2026-01-06,2026-01-06,REF347201,REF347201,NA,NA,Matched
Professional Fees,Consultancy Payment,338184,338184,2026-01-09,2026-01-09,REF833261,REF833261,CHQ5962,CHQ5962,Probable Match
Insurance Premium,Insurance Debit,120548,120548,2026-06-14,2026-06-14,REF449984,REF449984,CHQ6465,CHQ6465,Matched
Software Subscription,Software Auto Debit,98132,98132,2026-02-09,2026-02-09,REF728669,REF728669,NA,NA,Matched
Customer Receipt,Customer Credit,1169,1169,2026-06-01,2026-06-01,REF337165,REF337165,CHQ7792,CHQ7792,Matched
Fuel Expense,Fuel Card Payment,246485,246485,2026-02-19,2026-02-19,REF114226,REF278137,NA,NA,Reference Mismatch
Travel Expense,Travel Reimbursement,299196,299196,2026-01-03,2026-01-03,REF847175,REF847175,CHQ5832,CHQ5832,Matched
Professional Fees,Consultancy Payment,263454,263454,2026-01-06,2026-01-06,REF639229,REF639229,NA,NA,Matched
Software Subscription,Software Auto Debit,101442,101442,2026-03-05,2026-03-05,REF795368,REF795368,CHQ3791,CHQ3791,Matched
Internet Expense,Internet Payment,163687,163687,2026-01-21,2026-01-21,REF282155,REF282155,CHQ3524,CHQ3524,Matched
Software Subscription,Software Auto Debit,264005,264005,2026-04-15,2026-04-15,REF785052,REF785052,CHQ3082,CHQ3082,Matched
Fuel Expense,Fuel Card Payment,395525,395525,2026-01-08,2026-01-08,REF968290,REF968290,CHQ2104,CHQ2104,Matched
Salary Payment,NEFT Salary Transfer,431636,431636,2026-05-07,2026-05-07,REF795525,REF795525,NA,NA,Matched
GST Payment,GST Challan,400218,400218,2026-05-05,2026-05-20,REF631493,REF631493,NA,NA,Date Difference
Advertising Expense,Marketing Expense,17779,17779,2026-05-16,2026-05-16,REF360325,REF360325,NA,NA,Probable Match
Loan EMI,EMI Debit,3266,3266,2026-03-19,2026-03-28,REF854514,REF854514,NA,NA,Date Difference
Bank Charges,Bank Service Charge,257759,261315,2026-03-25,2026-03-25,REF954234,REF954234,NA,NA,Amount Mismatch
Bank Charges,Bank Service Charge,144110,144110,2026-04-24,2026-04-24,REF371383,REF371383,CHQ7261,CHQ7782,Cheque Mismatch
Software Subscription,Software Auto Debit,283523,283523,2026-04-17,2026-04-17,REF900560,REF900560,CHQ7903,CHQ7903,Matched
Internet Expense,Internet Payment,486013,486013,2026-05-06,2026-05-06,REF861746,REF861746,CHQ6743,CHQ6743,Matched
Office Rent,Rent Transfer,181434,181434,2026-02-24,2026-02-24,REF618334,REF618334,CHQ3159,CHQ3159,Matched
Loan EMI,EMI Debit,54847,57107,2026-01-06,2026-01-06,REF234855,REF234855,NA,NA,Amount Mismatch
GST Payment,GST Challan,317017,317017,2026-04-24,2026-04-24,REF953408,REF953408,CHQ1420,CHQ1420,Matched
Vendor Payment,Vendor Transfer,319486,319486,2026-05-02,2026-05-02,REF457586,REF457586,NA,NA,Matched
GST Payment,GST Challan,274985,274985,2026-04-25,2026-04-25,REF992425,REF992425,CHQ9716,CHQ9716,Matched
Vendor Payment,Vendor Transfer,492997,492997,2026-04-08,2026-04-08,REF479994,REF479994,NA,NA,Matched
Software Subscription,Software Auto Debit,313772,313772,2026-03-19,2026-03-19,REF135836,REF135836,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,282904,282904,2026-05-31,2026-05-31,REF144233,REF144233,CHQ8158,CHQ8158,Matched
Salary Payment,NEFT Salary Transfer,105756,105756,2026-04-05,2026-04-05,REF788555,REF788555,NA,NA,Matched
Internet Expense,Internet Payment,127212,127212,2026-02-24,2026-02-24,REF198814,REF198814,CHQ6956,CHQ6956,Matched
Salary Payment,NEFT Salary Transfer,461828,461828,2026-05-09,2026-05-09,REF185011,REF185011,NA,CHQ1164,Cheque Mismatch
Travel Expense,Travel Reimbursement,138388,138388,2026-02-05,2026-02-05,REF282159,REF282159,NA,NA,Probable Match
Customer Receipt,Customer Credit,152209,152209,2026-02-24,2026-02-24,REF519102,REF519102,NA,CHQ6530,Cheque Mismatch
Professional Fees,Consultancy Payment,55288,55288,2026-02-24,2026-02-24,REF695942,REF695942,NA,NA,Matched
Fuel Expense,Fuel Card Payment,144382,144382,2026-06-18,2026-06-18,REF987758,REF987758,NA,NA,Matched
Internet Expense,Internet Payment,364432,364432,2026-04-18,2026-04-18,REF204075,REF204075,NA,NA,Probable Match
Salary Payment,NEFT Salary Transfer,418242,418242,2026-03-21,2026-04-09,REF178193,REF178193,NA,NA,Date Difference
Salary Payment,NEFT Salary Transfer,423783,423783,2026-01-10,2026-01-10,REF409600,REF409600,NA,NA,Matched
Travel Expense,Travel Reimbursement,483824,483824,2026-02-10,2026-02-10,REF831824,REF831824,NA,NA,Matched
Loan EMI,EMI Debit,357620,357620,2026-05-22,2026-05-22,REF119199,REF119199,NA,NA,Matched
Fuel Expense,Fuel Card Payment,461500,461500,2026-04-26,2026-04-26,REF897564,REF897564,NA,NA,Matched
Insurance Premium,Insurance Debit,294808,294808,2026-02-07,2026-02-07,REF446423,REF446423,CHQ9159,CHQ2897,Cheque Mismatch
Electricity Bill,Electricity Payment,445564,445564,2026-06-05,2026-06-05,REF817703,REF817703,NA,NA,Matched
Professional Fees,Consultancy Payment,372411,372411,2026-02-04,2026-02-04,REF400856,REF400856,NA,NA,Matched
Customer Receipt,Customer Credit,293749,294852,2026-02-04,2026-02-04,REF950189,REF950189,CHQ6866,CHQ6866,Amount Mismatch
Internet Expense,Internet Payment,388448,388448,2026-05-04,2026-05-04,REF501180,REF501180,CHQ6489,CHQ6489,Matched
Electricity Bill,Electricity Payment,317925,317925,2026-06-24,2026-06-24,REF717439,REF717439,CHQ9858,CHQ9858,Matched
Fuel Expense,Fuel Card Payment,20993,20993,2026-03-05,2026-03-05,REF778636,REF778636,CHQ9096,CHQ9096,Matched
Salary Payment,NEFT Salary Transfer,201656,201656,2026-01-31,2026-01-31,REF867559,REF867559,CHQ4390,CHQ4390,Matched
Office Rent,Rent Transfer,132029,132029,2026-05-15,2026-05-15,REF434409,REF434409,CHQ9008,CHQ9008,Matched
Salary Payment,NEFT Salary Transfer,277456,277456,2026-06-30,2026-06-30,REF306305,REF306305,CHQ2827,CHQ2827,Matched
Vendor Payment,Vendor Transfer,329663,329663,2026-01-17,2026-01-17,REF994617,REF994617,NA,NA,Probable Match
Travel Expense,Travel Reimbursement,481859,481859,2026-05-16,2026-05-16,REF185853,REF185853,CHQ8451,CHQ8451,Matched
Customer Receipt,Customer Credit,143642,143642,2026-02-16,2026-02-16,REF443486,REF443486,NA,NA,Matched
