Agency_ID,Guard_ID,State,Document_Name,Document_Status,Training_Completed,Police_Verified,Medical_Fit,Expiry_Days_Left,Risk_Level
AGENCY_3402,GUARD_50706,Delhi,PAN Card,Expired,No,Yes,Yes,140,High Risk
AGENCY_8272,GUARD_67119,Delhi,Character Certificate,Submitted,No,No,Yes,38,High Risk
AGENCY_5590,GUARD_60963,Punjab,Shop Act License,Missing,Yes,Yes,Yes,243,Medium Risk
AGENCY_3328,GUARD_15493,Punjab,Shop Act License,Missing,Yes,No,Yes,267,High Risk
AGENCY_2316,GUARD_40113,Delhi,EPF Registration,Missing,No,Yes,Yes,56,High Risk
AGENCY_5137,GUARD_96521,Rajasthan,Training Certificate,Expired,No,No,No,362,High Risk
AGENCY_6200,GUARD_59877,Punjab,Medical Fitness,Expired,Yes,Yes,Yes,294,High Risk
AGENCY_5616,GUARD_93995,Rajasthan,GST Certificate,Expired,No,Yes,Yes,327,High Risk
AGENCY_1934,GUARD_19084,Rajasthan,Medical Fitness,Missing,No,Yes,Yes,323,High Risk
AGENCY_3348,GUARD_71193,Delhi,ESIC Registration,Verified,No,No,Yes,61,High Risk
AGENCY_5943,GUARD_44653,Uttar Pradesh,Police Verification,Missing,No,No,No,249,High Risk
AGENCY_6350,GUARD_34727,Rajasthan,GST Certificate,Missing,No,No,No,12,High Risk
AGENCY_3478,GUARD_31530,Rajasthan,Police Verification,Expired,No,No,Yes,219,High Risk
AGENCY_3697,GUARD_24993,Uttar Pradesh,Address Proof,Missing,Yes,Yes,No,188,Medium Risk
AGENCY_1590,GUARD_97658,Punjab,Aadhaar Card,Verified,Yes,No,Yes,112,High Risk
AGENCY_5850,GUARD_27703,Punjab,Address Proof,Expired,No,No,Yes,133,High Risk
AGENCY_3876,GUARD_49638,Delhi,Medical Fitness,Verified,No,No,Yes,218,High Risk
AGENCY_9578,GUARD_83288,Rajasthan,Aadhaar Card,Expired,Yes,No,Yes,216,High Risk
AGENCY_6567,GUARD_94230,Delhi,Training Certificate,Missing,No,Yes,No,265,High Risk
AGENCY_1122,GUARD_21085,Uttar Pradesh,Training Certificate,Expired,No,No,No,127,High Risk
AGENCY_8284,GUARD_60527,Rajasthan,ESIC Registration,Expired,No,Yes,Yes,3,High Risk
AGENCY_7151,GUARD_87188,Delhi,GST Certificate,Verified,No,Yes,Yes,7,High Risk
AGENCY_9560,GUARD_27707,Haryana,Training Certificate,Missing,Yes,No,No,301,High Risk
AGENCY_5671,GUARD_37593,Punjab,Employment Contract,Expired,No,No,No,340,High Risk
AGENCY_6209,GUARD_70024,Uttar Pradesh,ESIC Registration,Submitted,No,Yes,Yes,314,High Risk
AGENCY_8817,GUARD_80109,Uttar Pradesh,GST Certificate,Verified,No,No,No,100,High Risk
AGENCY_3361,GUARD_10982,Delhi,Character Certificate,Expired,Yes,No,Yes,356,High Risk
AGENCY_2202,GUARD_94363,Rajasthan,Character Certificate,Missing,Yes,Yes,No,324,Medium Risk
AGENCY_5223,GUARD_67426,Rajasthan,Medical Fitness,Expired,No,No,No,96,High Risk
AGENCY_2305,GUARD_66648,Rajasthan,Employment Contract,Verified,No,Yes,Yes,307,High Risk
AGENCY_3374,GUARD_28539,Delhi,ESIC Registration,Missing,Yes,No,Yes,190,High Risk
AGENCY_9466,GUARD_94949,Punjab,Bank Passbook,Verified,Yes,Yes,No,107,Low Risk
AGENCY_4442,GUARD_67739,Punjab,Aadhaar Card,Verified,Yes,Yes,Yes,236,Low Risk
AGENCY_8045,GUARD_61967,Uttar Pradesh,Police Verification,Submitted,No,No,No,53,High Risk
AGENCY_9221,GUARD_13459,Haryana,ESIC Registration,Submitted,No,Yes,No,215,High Risk
AGENCY_3843,GUARD_74173,Delhi,Character Certificate,Missing,No,No,Yes,145,High Risk
AGENCY_5608,GUARD_22302,Haryana,ESIC Registration,Submitted,No,No,Yes,173,High Risk
AGENCY_9184,GUARD_32473,Punjab,Address Proof,Missing,No,No,No,349,High Risk
AGENCY_2243,GUARD_22823,Uttar Pradesh,Training Certificate,Submitted,No,Yes,Yes,128,High Risk
AGENCY_5390,GUARD_45051,Delhi,Address Proof,Verified,No,No,Yes,170,High Risk
AGENCY_3045,GUARD_47838,Haryana,Bank Passbook,Missing,No,No,Yes,269,High Risk
AGENCY_1446,GUARD_26895,Uttar Pradesh,Medical Fitness,Verified,Yes,No,No,37,High Risk
AGENCY_5552,GUARD_25522,Uttar Pradesh,Employment Contract,Missing,No,No,No,319,High Risk
AGENCY_8520,GUARD_18396,Punjab,Character Certificate,Missing,No,Yes,Yes,102,High Risk
AGENCY_3664,GUARD_50032,Delhi,Address Proof,Verified,No,Yes,No,250,High Risk
AGENCY_7724,GUARD_49500,Punjab,Aadhaar Card,Expired,Yes,No,Yes,189,High Risk
AGENCY_6365,GUARD_10966,Haryana,Shop Act License,Missing,No,Yes,Yes,300,High Risk
AGENCY_6876,GUARD_15876,Punjab,Training Certificate,Submitted,No,No,Yes,102,High Risk
AGENCY_9015,GUARD_20883,Rajasthan,ESIC Registration,Missing,No,No,No,283,High Risk
AGENCY_6331,GUARD_28045,Uttar Pradesh,Employment Contract,Expired,Yes,Yes,No,44,High Risk
AGENCY_7860,GUARD_29321,Rajasthan,Police Verification,Verified,Yes,No,Yes,307,High Risk
AGENCY_4476,GUARD_33951,Rajasthan,GST Certificate,Missing,Yes,Yes,Yes,288,Medium Risk
AGENCY_2842,GUARD_23004,Delhi,Employment Contract,Verified,Yes,Yes,Yes,12,Low Risk
AGENCY_5818,GUARD_20401,Uttar Pradesh,Character Certificate,Submitted,Yes,No,No,15,High Risk
AGENCY_6675,GUARD_30490,Delhi,ESIC Registration,Expired,No,No,Yes,309,High Risk
AGENCY_7798,GUARD_92280,Punjab,Employment Contract,Expired,Yes,Yes,Yes,344,High Risk
AGENCY_4422,GUARD_46741,Rajasthan,EPF Registration,Expired,No,No,No,321,High Risk
AGENCY_2285,GUARD_40069,Rajasthan,Address Proof,Verified,Yes,No,Yes,154,High Risk
AGENCY_8993,GUARD_30871,Punjab,Affidavit,Submitted,Yes,No,No,67,High Risk
AGENCY_3623,GUARD_38551,Haryana,Training Certificate,Submitted,No,Yes,No,346,High Risk
AGENCY_2204,GUARD_55469,Rajasthan,Character Certificate,Missing,No,No,Yes,319,High Risk
AGENCY_5362,GUARD_62954,Haryana,Aadhaar Card,Expired,No,No,Yes,333,High Risk
AGENCY_5673,GUARD_40071,Uttar Pradesh,EPF Registration,Missing,Yes,No,No,90,High Risk
AGENCY_3831,GUARD_56209,Haryana,Shop Act License,Expired,Yes,No,Yes,177,High Risk
AGENCY_4670,GUARD_18662,Rajasthan,PAN Card,Submitted,Yes,Yes,Yes,316,Low Risk
AGENCY_3603,GUARD_68269,Punjab,Employment Contract,Verified,No,No,No,51,High Risk
AGENCY_3860,GUARD_21876,Punjab,PAN Card,Verified,No,No,Yes,347,High Risk
AGENCY_9629,GUARD_88357,Uttar Pradesh,Aadhaar Card,Submitted,Yes,No,Yes,307,High Risk
AGENCY_3111,GUARD_97704,Haryana,Affidavit,Submitted,No,Yes,No,46,High Risk
AGENCY_7509,GUARD_55847,Rajasthan,Bank Passbook,Expired,Yes,Yes,No,197,High Risk
AGENCY_2839,GUARD_96020,Delhi,EPF Registration,Missing,No,No,Yes,223,High Risk
AGENCY_2578,GUARD_92434,Uttar Pradesh,PAN Card,Expired,No,No,No,156,High Risk
AGENCY_5674,GUARD_57451,Punjab,Address Proof,Expired,No,No,No,254,High Risk
AGENCY_7011,GUARD_33920,Punjab,ESIC Registration,Verified,Yes,No,No,360,High Risk
AGENCY_2582,GUARD_86991,Haryana,Aadhaar Card,Expired,No,No,No,101,High Risk
AGENCY_8970,GUARD_14647,Punjab,Address Proof,Missing,Yes,No,No,296,High Risk
AGENCY_4768,GUARD_97382,Uttar Pradesh,Employment Contract,Submitted,No,Yes,Yes,191,High Risk
AGENCY_7129,GUARD_81129,Punjab,ESIC Registration,Submitted,Yes,Yes,Yes,233,Low Risk
AGENCY_1618,GUARD_91495,Haryana,Training Certificate,Verified,No,Yes,Yes,110,High Risk
AGENCY_5407,GUARD_10656,Rajasthan,Aadhaar Card,Expired,No,Yes,Yes,135,High Risk
AGENCY_1949,GUARD_68935,Punjab,Police Verification,Missing,Yes,No,Yes,317,High Risk
AGENCY_4069,GUARD_95272,Punjab,Training Certificate,Submitted,No,Yes,Yes,128,High Risk
AGENCY_2667,GUARD_84270,Haryana,Affidavit,Submitted,No,No,No,282,High Risk
AGENCY_8533,GUARD_10172,Uttar Pradesh,Bank Passbook,Expired,Yes,No,No,267,High Risk
AGENCY_5845,GUARD_17452,Uttar Pradesh,Training Certificate,Submitted,Yes,Yes,Yes,170,Low Risk
AGENCY_1914,GUARD_97293,Haryana,Shop Act License,Submitted,No,Yes,Yes,252,High Risk
AGENCY_2786,GUARD_51815,Rajasthan,Address Proof,Submitted,Yes,Yes,No,136,Low Risk
AGENCY_5954,GUARD_30594,Punjab,Training Certificate,Verified,Yes,Yes,No,80,Low Risk
AGENCY_2456,GUARD_50411,Uttar Pradesh,ESIC Registration,Submitted,No,Yes,Yes,83,High Risk
AGENCY_2998,GUARD_61804,Uttar Pradesh,Training Certificate,Verified,Yes,Yes,Yes,144,Low Risk
AGENCY_2019,GUARD_12371,Delhi,Bank Passbook,Missing,Yes,Yes,No,78,Medium Risk
AGENCY_9733,GUARD_12980,Haryana,Affidavit,Expired,Yes,Yes,Yes,142,High Risk
AGENCY_2563,GUARD_84963,Haryana,PAN Card,Verified,Yes,Yes,Yes,199,Low Risk
AGENCY_6604,GUARD_37106,Haryana,Affidavit,Verified,No,No,Yes,332,High Risk
AGENCY_3178,GUARD_91773,Delhi,Shop Act License,Verified,No,Yes,No,183,High Risk
AGENCY_9359,GUARD_34373,Uttar Pradesh,GST Certificate,Missing,No,Yes,No,157,High Risk
AGENCY_6671,GUARD_78317,Delhi,GST Certificate,Verified,No,Yes,Yes,98,High Risk
AGENCY_8059,GUARD_19345,Delhi,Aadhaar Card,Verified,Yes,No,No,352,High Risk
AGENCY_4409,GUARD_28561,Uttar Pradesh,Affidavit,Submitted,No,Yes,Yes,141,High Risk
AGENCY_9421,GUARD_34453,Haryana,ESIC Registration,Missing,No,Yes,No,207,High Risk
AGENCY_5537,GUARD_94620,Haryana,GST Certificate,Expired,No,No,Yes,11,High Risk
AGENCY_2917,GUARD_66263,Punjab,Address Proof,Submitted,No,No,No,283,High Risk
AGENCY_3528,GUARD_85471,Punjab,Address Proof,Verified,Yes,No,No,136,High Risk
AGENCY_4904,GUARD_49355,Uttar Pradesh,Shop Act License,Submitted,Yes,No,No,25,High Risk
AGENCY_8566,GUARD_20107,Delhi,Training Certificate,Missing,No,Yes,No,233,High Risk
AGENCY_4762,GUARD_53002,Haryana,GST Certificate,Missing,No,Yes,Yes,327,High Risk
AGENCY_4739,GUARD_55372,Punjab,Shop Act License,Expired,No,Yes,No,138,High Risk
AGENCY_4767,GUARD_38736,Uttar Pradesh,Bank Passbook,Expired,Yes,No,No,275,High Risk
AGENCY_4351,GUARD_18168,Haryana,Medical Fitness,Verified,No,No,No,153,High Risk
AGENCY_4233,GUARD_15821,Delhi,ESIC Registration,Expired,No,No,No,94,High Risk
AGENCY_8311,GUARD_50566,Rajasthan,Police Verification,Expired,Yes,Yes,No,364,High Risk
AGENCY_5930,GUARD_32422,Haryana,Employment Contract,Missing,Yes,Yes,Yes,33,Medium Risk
AGENCY_1705,GUARD_69957,Punjab,GST Certificate,Expired,Yes,No,Yes,295,High Risk
AGENCY_9823,GUARD_65384,Punjab,Address Proof,Verified,No,Yes,Yes,147,High Risk
AGENCY_8862,GUARD_98582,Rajasthan,Medical Fitness,Missing,No,Yes,Yes,224,High Risk
AGENCY_9462,GUARD_46531,Haryana,Police Verification,Expired,No,Yes,Yes,91,High Risk
AGENCY_2793,GUARD_65915,Uttar Pradesh,Affidavit,Verified,No,No,No,163,High Risk
AGENCY_9800,GUARD_44357,Punjab,GST Certificate,Expired,No,Yes,Yes,221,High Risk
AGENCY_9899,GUARD_83161,Delhi,Aadhaar Card,Submitted,No,Yes,Yes,155,High Risk
AGENCY_1858,GUARD_34145,Rajasthan,Training Certificate,Expired,No,Yes,Yes,270,High Risk
AGENCY_1000,GUARD_85761,Delhi,PAN Card,Expired,No,Yes,No,114,High Risk
AGENCY_6565,GUARD_51080,Uttar Pradesh,Character Certificate,Missing,No,No,Yes,229,High Risk
AGENCY_8409,GUARD_53129,Rajasthan,Bank Passbook,Submitted,No,No,No,31,High Risk
AGENCY_7630,GUARD_58230,Rajasthan,Shop Act License,Submitted,Yes,Yes,Yes,323,Low Risk
AGENCY_9160,GUARD_50164,Delhi,EPF Registration,Verified,Yes,Yes,No,232,Low Risk
AGENCY_2983,GUARD_41455,Haryana,ESIC Registration,Missing,Yes,Yes,No,118,Medium Risk
AGENCY_2400,GUARD_65987,Punjab,EPF Registration,Verified,Yes,Yes,Yes,212,Low Risk
AGENCY_4300,GUARD_79861,Haryana,EPF Registration,Submitted,Yes,Yes,No,24,Low Risk
AGENCY_9497,GUARD_46330,Delhi,Police Verification,Missing,Yes,No,No,268,High Risk
AGENCY_5787,GUARD_36828,Punjab,Shop Act License,Submitted,No,Yes,No,146,High Risk
AGENCY_7646,GUARD_82510,Haryana,GST Certificate,Missing,No,No,No,191,High Risk
AGENCY_3425,GUARD_36093,Delhi,Employment Contract,Missing,No,No,No,176,High Risk
AGENCY_4209,GUARD_18476,Uttar Pradesh,EPF Registration,Missing,No,Yes,Yes,68,High Risk
AGENCY_4253,GUARD_13838,Punjab,Address Proof,Verified,Yes,No,Yes,185,High Risk
AGENCY_1872,GUARD_99897,Delhi,ESIC Registration,Expired,Yes,Yes,No,75,High Risk
AGENCY_6184,GUARD_38214,Delhi,Medical Fitness,Expired,No,Yes,No,171,High Risk
AGENCY_8761,GUARD_39422,Haryana,Training Certificate,Submitted,Yes,Yes,Yes,47,Low Risk
AGENCY_4580,GUARD_91554,Uttar Pradesh,Shop Act License,Expired,Yes,No,Yes,170,High Risk
AGENCY_8261,GUARD_54187,Delhi,Bank Passbook,Submitted,No,No,No,315,High Risk
AGENCY_4011,GUARD_71099,Delhi,Character Certificate,Missing,Yes,No,No,5,High Risk
AGENCY_1281,GUARD_44306,Punjab,Aadhaar Card,Verified,Yes,Yes,Yes,268,Low Risk
AGENCY_1131,GUARD_71288,Haryana,Character Certificate,Missing,No,No,No,318,High Risk
AGENCY_5539,GUARD_45527,Haryana,Aadhaar Card,Verified,Yes,Yes,Yes,247,Low Risk
AGENCY_3346,GUARD_66755,Rajasthan,Training Certificate,Verified,No,Yes,No,196,High Risk
AGENCY_8992,GUARD_94087,Rajasthan,Aadhaar Card,Missing,No,Yes,No,65,High Risk
AGENCY_6612,GUARD_26628,Delhi,Training Certificate,Verified,Yes,Yes,No,299,Low Risk
AGENCY_8961,GUARD_27699,Delhi,Police Verification,Verified,No,Yes,No,279,High Risk
AGENCY_2161,GUARD_68971,Delhi,Employment Contract,Expired,Yes,Yes,Yes,239,High Risk
AGENCY_8499,GUARD_65769,Punjab,Aadhaar Card,Missing,No,Yes,Yes,218,High Risk
AGENCY_1386,GUARD_81609,Uttar Pradesh,Training Certificate,Missing,Yes,Yes,Yes,360,Medium Risk
AGENCY_4952,GUARD_70941,Delhi,Bank Passbook,Verified,No,No,No,21,High Risk
AGENCY_3755,GUARD_41701,Uttar Pradesh,Medical Fitness,Missing,Yes,No,Yes,162,High Risk
AGENCY_2202,GUARD_28579,Uttar Pradesh,Training Certificate,Missing,No,Yes,No,164,High Risk
AGENCY_8443,GUARD_34263,Uttar Pradesh,Address Proof,Submitted,Yes,No,No,270,High Risk
AGENCY_2732,GUARD_88752,Haryana,Character Certificate,Missing,No,No,Yes,20,High Risk
AGENCY_4133,GUARD_79345,Rajasthan,ESIC Registration,Missing,No,Yes,No,259,High Risk
AGENCY_8940,GUARD_66700,Rajasthan,EPF Registration,Missing,No,No,Yes,306,High Risk
AGENCY_7847,GUARD_86946,Delhi,Employment Contract,Verified,Yes,No,Yes,81,High Risk
AGENCY_5613,GUARD_80081,Punjab,Employment Contract,Submitted,No,Yes,Yes,107,High Risk
AGENCY_3888,GUARD_73523,Haryana,Address Proof,Submitted,No,No,No,257,High Risk
AGENCY_6027,GUARD_32127,Rajasthan,Training Certificate,Verified,Yes,Yes,No,86,Low Risk
AGENCY_8107,GUARD_39819,Uttar Pradesh,Address Proof,Submitted,Yes,No,No,253,High Risk
AGENCY_1382,GUARD_90135,Rajasthan,Medical Fitness,Expired,Yes,Yes,No,358,High Risk
AGENCY_1376,GUARD_40551,Delhi,Address Proof,Verified,Yes,Yes,Yes,78,Low Risk
AGENCY_9597,GUARD_63973,Uttar Pradesh,Training Certificate,Verified,No,No,No,299,High Risk
AGENCY_4550,GUARD_97009,Rajasthan,Address Proof,Missing,No,Yes,Yes,99,High Risk
AGENCY_5393,GUARD_59970,Punjab,PAN Card,Submitted,Yes,No,No,280,High Risk
AGENCY_8332,GUARD_81980,Delhi,Address Proof,Expired,Yes,Yes,Yes,127,High Risk
AGENCY_2655,GUARD_35175,Rajasthan,Shop Act License,Submitted,No,No,Yes,235,High Risk
AGENCY_5646,GUARD_64082,Haryana,Employment Contract,Submitted,No,Yes,No,73,High Risk
AGENCY_4840,GUARD_72247,Haryana,EPF Registration,Expired,Yes,Yes,No,317,High Risk
AGENCY_6273,GUARD_68025,Haryana,Medical Fitness,Missing,Yes,No,Yes,323,High Risk
AGENCY_3684,GUARD_48473,Rajasthan,Medical Fitness,Expired,Yes,Yes,No,324,High Risk
AGENCY_7634,GUARD_26008,Haryana,Medical Fitness,Submitted,No,Yes,No,314,High Risk
AGENCY_2132,GUARD_95556,Delhi,Training Certificate,Verified,Yes,No,No,226,High Risk
AGENCY_1013,GUARD_47879,Uttar Pradesh,Police Verification,Submitted,Yes,No,Yes,262,High Risk
AGENCY_9339,GUARD_34918,Punjab,ESIC Registration,Submitted,No,No,No,356,High Risk
AGENCY_9041,GUARD_74496,Uttar Pradesh,Aadhaar Card,Expired,Yes,No,Yes,126,High Risk
AGENCY_3753,GUARD_96747,Rajasthan,Employment Contract,Verified,No,Yes,Yes,82,High Risk
AGENCY_8375,GUARD_62667,Haryana,Aadhaar Card,Expired,Yes,No,No,348,High Risk
AGENCY_2334,GUARD_89883,Uttar Pradesh,EPF Registration,Submitted,Yes,Yes,Yes,66,Low Risk
AGENCY_3119,GUARD_15809,Punjab,Shop Act License,Expired,Yes,Yes,No,19,High Risk
AGENCY_6396,GUARD_50149,Punjab,Police Verification,Expired,No,No,No,37,High Risk
AGENCY_3004,GUARD_53735,Delhi,ESIC Registration,Verified,Yes,No,No,122,High Risk
AGENCY_3365,GUARD_92539,Haryana,Character Certificate,Submitted,No,Yes,No,196,High Risk
AGENCY_8353,GUARD_62009,Uttar Pradesh,Address Proof,Submitted,Yes,No,No,40,High Risk
AGENCY_8610,GUARD_32454,Punjab,Aadhaar Card,Verified,Yes,Yes,Yes,239,Low Risk
AGENCY_8269,GUARD_26097,Punjab,Affidavit,Submitted,Yes,Yes,Yes,19,Low Risk
AGENCY_1300,GUARD_31197,Haryana,Aadhaar Card,Submitted,Yes,No,Yes,142,High Risk
AGENCY_3775,GUARD_79332,Uttar Pradesh,Address Proof,Missing,No,No,No,137,High Risk
AGENCY_6451,GUARD_21488,Rajasthan,Address Proof,Submitted,No,Yes,Yes,291,High Risk
AGENCY_3754,GUARD_84700,Uttar Pradesh,Aadhaar Card,Expired,Yes,No,Yes,96,High Risk
AGENCY_3382,GUARD_47296,Rajasthan,Aadhaar Card,Verified,Yes,No,Yes,127,High Risk
AGENCY_7360,GUARD_42133,Uttar Pradesh,ESIC Registration,Expired,Yes,No,No,172,High Risk
AGENCY_2015,GUARD_20172,Rajasthan,Training Certificate,Verified,Yes,Yes,Yes,9,Low Risk
AGENCY_6014,GUARD_60246,Rajasthan,Medical Fitness,Submitted,No,No,No,347,High Risk
AGENCY_5659,GUARD_37740,Punjab,Employment Contract,Verified,Yes,Yes,Yes,100,Low Risk
AGENCY_5388,GUARD_94690,Uttar Pradesh,ESIC Registration,Verified,No,No,Yes,177,High Risk
AGENCY_5015,GUARD_52859,Rajasthan,Aadhaar Card,Expired,Yes,No,No,313,High Risk
AGENCY_4083,GUARD_49669,Delhi,PAN Card,Verified,No,Yes,Yes,321,High Risk
AGENCY_1983,GUARD_70697,Punjab,Employment Contract,Verified,No,No,Yes,71,High Risk
AGENCY_1749,GUARD_89646,Delhi,Police Verification,Verified,Yes,No,Yes,84,High Risk
AGENCY_6287,GUARD_39553,Rajasthan,Bank Passbook,Expired,No,Yes,No,357,High Risk
AGENCY_6279,GUARD_12318,Delhi,Training Certificate,Verified,Yes,Yes,Yes,52,Low Risk
AGENCY_2118,GUARD_56635,Delhi,ESIC Registration,Verified,Yes,Yes,Yes,109,Low Risk
AGENCY_4910,GUARD_13987,Uttar Pradesh,Affidavit,Submitted,Yes,No,Yes,334,High Risk
AGENCY_5165,GUARD_38716,Punjab,Police Verification,Verified,Yes,No,No,312,High Risk
AGENCY_5135,GUARD_81458,Haryana,PAN Card,Missing,Yes,Yes,No,302,Medium Risk
AGENCY_5120,GUARD_97396,Haryana,Character Certificate,Submitted,Yes,No,No,126,High Risk
AGENCY_1059,GUARD_36825,Punjab,Shop Act License,Verified,Yes,Yes,No,316,Low Risk
AGENCY_1496,GUARD_28143,Uttar Pradesh,EPF Registration,Verified,Yes,Yes,Yes,334,Low Risk
AGENCY_8628,GUARD_71470,Uttar Pradesh,Address Proof,Expired,No,Yes,Yes,351,High Risk
AGENCY_1849,GUARD_24578,Haryana,ESIC Registration,Verified,Yes,Yes,No,246,Low Risk
AGENCY_4794,GUARD_92555,Rajasthan,Character Certificate,Submitted,Yes,Yes,Yes,69,Low Risk
AGENCY_6307,GUARD_98432,Uttar Pradesh,ESIC Registration,Missing,No,Yes,No,349,High Risk
AGENCY_6312,GUARD_86016,Haryana,Affidavit,Submitted,Yes,No,No,63,High Risk
AGENCY_2666,GUARD_41970,Delhi,GST Certificate,Missing,No,Yes,No,351,High Risk
AGENCY_7982,GUARD_45061,Haryana,Training Certificate,Submitted,Yes,Yes,Yes,30,Low Risk
AGENCY_3800,GUARD_98345,Punjab,Shop Act License,Missing,No,No,Yes,338,High Risk
AGENCY_8988,GUARD_11698,Haryana,Employment Contract,Verified,No,No,Yes,233,High Risk
AGENCY_3944,GUARD_28274,Uttar Pradesh,GST Certificate,Missing,Yes,Yes,No,259,Medium Risk
AGENCY_1659,GUARD_90142,Haryana,Employment Contract,Verified,Yes,Yes,No,317,Low Risk
AGENCY_4291,GUARD_96848,Haryana,ESIC Registration,Submitted,No,No,No,174,High Risk
AGENCY_1852,GUARD_89479,Haryana,ESIC Registration,Expired,No,No,No,299,High Risk
AGENCY_3888,GUARD_47487,Delhi,PAN Card,Verified,Yes,Yes,No,325,Low Risk
AGENCY_8774,GUARD_12750,Haryana,ESIC Registration,Missing,No,Yes,No,82,High Risk
AGENCY_9796,GUARD_46689,Haryana,Police Verification,Expired,Yes,Yes,No,316,High Risk
AGENCY_9121,GUARD_39170,Haryana,Police Verification,Submitted,Yes,Yes,Yes,125,Low Risk
AGENCY_4044,GUARD_72827,Rajasthan,Affidavit,Missing,Yes,Yes,Yes,63,Medium Risk
AGENCY_9112,GUARD_10121,Punjab,Shop Act License,Submitted,Yes,Yes,No,47,Low Risk
AGENCY_5463,GUARD_23093,Haryana,Police Verification,Expired,Yes,No,Yes,291,High Risk
AGENCY_3923,GUARD_64536,Uttar Pradesh,Aadhaar Card,Verified,Yes,No,No,336,High Risk
AGENCY_8893,GUARD_69816,Uttar Pradesh,Bank Passbook,Missing,Yes,No,Yes,308,High Risk
AGENCY_4521,GUARD_42839,Rajasthan,Medical Fitness,Submitted,Yes,No,Yes,86,High Risk
AGENCY_6197,GUARD_76238,Delhi,Police Verification,Verified,Yes,No,Yes,269,High Risk
AGENCY_9379,GUARD_51252,Delhi,Aadhaar Card,Missing,No,Yes,No,73,High Risk
AGENCY_8789,GUARD_48185,Rajasthan,Shop Act License,Expired,No,No,No,154,High Risk
AGENCY_5346,GUARD_22880,Punjab,Aadhaar Card,Expired,Yes,Yes,No,142,High Risk
AGENCY_8228,GUARD_26319,Haryana,Affidavit,Expired,Yes,Yes,No,91,High Risk
AGENCY_3338,GUARD_48025,Rajasthan,Affidavit,Submitted,No,Yes,No,145,High Risk
AGENCY_1730,GUARD_87641,Rajasthan,Medical Fitness,Expired,Yes,Yes,Yes,205,High Risk
AGENCY_8777,GUARD_58387,Haryana,PAN Card,Submitted,Yes,No,No,40,High Risk
AGENCY_8995,GUARD_13748,Delhi,GST Certificate,Expired,Yes,No,Yes,228,High Risk
AGENCY_8754,GUARD_53484,Uttar Pradesh,Training Certificate,Expired,Yes,Yes,Yes,333,High Risk
AGENCY_9818,GUARD_23477,Delhi,Affidavit,Verified,Yes,No,No,167,High Risk
AGENCY_1542,GUARD_99370,Punjab,Training Certificate,Submitted,Yes,No,No,283,High Risk
AGENCY_5789,GUARD_95470,Delhi,Aadhaar Card,Expired,No,No,Yes,343,High Risk
AGENCY_1953,GUARD_54034,Rajasthan,Employment Contract,Verified,Yes,No,No,156,High Risk
AGENCY_6032,GUARD_31009,Uttar Pradesh,Employment Contract,Submitted,Yes,No,No,103,High Risk
